arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.005,0,960000,S,5
0.293,0,990000,B,5
0.346,0,950000,S,5
0.413,0,1010000,S,5
0.612,0,980000,B,5
0.849,0,1020000,S,5
0.899,0,890000,B,5
0.945,0,970000,B,5
0.995,0,1010000,S,5
1.301,0,990000,B,5
1.576,0,990000,B,5
1.828,0,1000000,B,5
1.843,0,990000,S,5
1.859,0,950000,B,5
1.881,0,970000,S,5
1.907,0,1010000,S,5
1.972,0,1070000,S,5
2.127,0,1000000,S,5
2.137,0,1030000,S,5
2.4,0,980000,S,5
2.541,0,950000,B,5
2.701,0,940000,B,5
2.91,0,960000,S,5
2.993,0,960000,B,5
3.217,0,1000000,S,5
3.256,0,1040000,S,5
3.38,0,1070000,S,5
3.764,0,980000,B,5
3.792,0,960000,B,5
4.002,0,980000,S,5
4.005,0,970000,B,5
4.386,0,1010000,B,5
4.398,0,1010000,B,5
4.399,0,1030000,S,5
4.439,0,960000,B,5
4.445,0,1110000,B,5
4.616,0,1060000,B,5
4.659,0,1060000,S,5
4.677,0,1020000,B,5
4.688,0,1070000,S,5
4.766,0,1030000,B,5
4.997,0,990000,B,5
5.123,0,1040000,B,5
5.161,0,1040000,B,5
5.297,0,1050000,S,5
5.356,0,1050000,B,5
5.362,0,1040000,B,5
5.417,0,1050000,S,5
5.584,0,1020000,B,5
5.63,0,1030000,B,5
5.676,0,1060000,S,5
5.688,0,1080000,S,5
5.749,0,1010000,B,5
5.852,0,1020000,S,5
5.884,0,1000000,B,5
6.358,0,1050000,B,5
6.491,0,1040000,B,5
6.542,0,1050000,S,5
6.888,0,1110000,S,5
6.914,0,1050000,B,5
7.12,0,1000000,B,5
7.133,0,1040000,B,5
7.253,0,1010000,S,5
7.574,0,1070000,S,5
7.722,0,1070000,S,5
7.782,0,1000000,B,5
7.859,0,1030000,B,5
7.876,0,1020000,S,5
8.117,0,1020000,B,5
8.151,0,1110000,S,5
8.44,0,1050000,B,5
8.611,0,1010000,S,5
8.791,0,1030000,S,5
8.791,0,1140000,S,5
9.267,0,1070000,S,5
9.271,0,1100000,S,5
9.299,0,1060000,S,5
9.304,0,1000000,B,5
9.369,0,1040000,S,5
9.388,0,1130000,S,5
9.404,0,1010000,B,5
9.475,0,1080000,S,5
9.516,0,1000000,B,5
9.544,0,1070000,S,5
9.718,0,980000,B,5
9.736,0,1110000,S,5
10.361,0,990000,B,5
10.385,0,1090000,S,5
10.475,0,1030000,B,5
10.651,0,990000,B,5
10.712,0,1020000,S,5
10.777,0,1090000,S,5
10.89,0,1020000,B,5
10.958,0,1080000,B,5
11.311,0,1060000,B,5
11.391,0,1130000,S,5
11.601,0,1000000,B,5
11.641,0,1110000,S,5
11.784,0,1060000,S,5
11.83,0,1040000,B,5
11.912,0,1040000,S,5
11.949,0,970000,B,5
12.296,0,1010000,B,5
12.297,0,990000,B,5
12.315,0,960000,B,5
12.376,0,1030000,B,5
12.449,0,1030000,B,5
12.465,0,1020000,B,5
12.57,0,1100000,S,5
12.58,0,1060000,B,5
12.743,0,1080000,S,5
12.759,0,1010000,S,5
12.788,0,1060000,S,5
12.798,0,1070000,B,5
12.908,0,1070000,S,5
12.951,0,1080000,S,5
12.971,0,980000,B,5
13.017,0,1130000,S,5
13.089,0,990000,B,5
13.123,0,1090000,S,5
13.152,0,1020000,B,5
13.169,0,990000,B,5
13.186,0,1080000,B,5
13.291,0,1050000,S,5
13.385,0,1060000,S,5
13.5,0,1030000,B,5
13.555,0,1050000,S,5
13.621,0,1030000,B,5
13.642,0,1060000,S,5
13.674,0,990000,B,5
13.738,0,1040000,S,5
13.767,0,1080000,S,5
13.831,0,980000,B,5
13.947,0,1050000,B,5
14.193,0,1120000,S,5
14.199,0,1000000,B,5
14.268,0,1070000,B,5
14.378,0,1070000,B,5
14.433,0,990000,B,5
14.478,0,1030000,B,5
14.579,0,940000,B,5
14.709,0,1100000,S,5
14.781,0,1040000,B,5
14.808,0,1020000,S,5
14.81,0,1080000,S,5
14.862,0,990000,B,5
14.876,0,970000,B,5
14.889,0,1000000,S,5
14.898,0,1060000,B,5
15.202,0,1020000,S,5
15.211,0,1050000,S,5
15.35,0,1050000,B,5
15.891,0,1020000,B,5
16.122,0,1070000,B,5
16.211,0,1050000,B,5
16.607,0,1080000,S,5
16.633,0,1060000,S,5
16.678,0,1040000,B,5
16.682,0,1040000,B,5
16.683,0,1070000,S,5
16.703,0,1030000,B,5
16.745,0,1100000,S,5
16.79,0,1020000,S,5
16.814,0,1000000,S,5
16.867,0,1070000,S,5
16.916,0,1040000,S,5
17.036,0,1110000,S,5
17.043,0,1020000,B,5
17.253,0,1040000,B,5
17.302,0,1100000,B,5
17.359,0,1050000,B,5
17.374,0,1050000,B,5
17.419,0,1010000,B,5
17.631,0,1010000,B,5
18.004,0,1030000,B,5
18.258,0,1080000,S,5
18.296,0,1020000,S,5
18.336,0,1020000,B,5
18.389,0,1010000,S,5
18.709,0,970000,B,5
18.774,0,1030000,B,5
18.832,0,1090000,S,5
18.835,0,980000,B,5
19.19,0,1040000,S,5
19.25,0,1050000,S,5
19.337,0,1060000,B,5
19.374,0,1070000,B,5
19.44,0,990000,B,5
19.477,0,1000000,B,5
19.715,0,1030000,S,5
19.845,0,1050000,S,5
19.995,0,1010000,B,5
20.033,0,990000,B,5
20.098,0,1040000,B,5
20.304,0,1060000,S,5
20.309,0,1000000,B,5
20.431,0,1040000,S,5
20.472,0,1110000,S,5
20.605,0,1070000,S,5
20.8,0,1040000,S,5
20.821,0,1040000,S,5
20.836,0,1060000,S,5
20.933,0,1020000,B,5
20.944,0,1040000,B,5
21.016,0,1070000,S,5
21.265,0,1030000,S,5
21.333,0,1100000,S,5
21.366,0,1010000,B,5
