arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.026,0,900000,B,5
0.123,0,900000,B,5
0.154,0,960000,S,5
0.251,0,970000,B,5
0.321,0,870000,B,5
0.361,0,900000,S,5
0.427,0,950000,S,5
0.621,0,880000,B,5
0.687,0,920000,B,5
0.757,0,860000,B,5
0.819,0,860000,B,5
0.822,0,910000,S,5
0.95,0,900000,S,5
1.078,0,880000,B,5
1.09,0,920000,B,5
1.158,0,860000,B,5
1.169,0,870000,B,5
1.245,0,920000,B,5
1.339,0,880000,B,5
1.439,0,940000,S,5
1.503,0,910000,B,5
1.506,0,920000,B,5
2.13,0,890000,B,5
2.259,0,880000,B,5
2.331,0,840000,B,5
2.409,0,900000,B,5
2.448,0,960000,S,5
2.473,0,950000,S,5
2.506,0,880000,S,5
2.584,0,940000,S,5
2.663,0,900000,B,5
3.254,0,890000,B,5
3.311,0,840000,B,5
3.391,0,900000,S,5
3.647,0,840000,B,5
3.655,0,960000,S,5
3.723,0,940000,B,5
3.877,0,880000,B,5
3.912,0,880000,S,5
3.953,0,910000,S,5
4.043,0,920000,B,5
4.048,0,930000,S,5
4.137,0,930000,B,5
4.142,0,850000,B,5
4.174,0,950000,S,5
4.181,0,880000,B,5
4.187,0,940000,S,5
4.245,0,920000,B,5
4.275,0,900000,B,5
4.326,0,990000,S,5
4.387,0,900000,B,5
4.436,0,940000,S,5
4.441,0,850000,B,5
4.587,0,940000,S,5
4.636,0,850000,B,5
4.659,0,910000,B,5
4.706,0,920000,S,5
4.844,0,950000,S,5
4.878,0,890000,B,5
4.953,0,920000,S,5
5.069,0,870000,B,5
5.355,0,890000,B,5
5.435,0,990000,S,5
5.499,0,900000,B,5
5.524,0,960000,S,5
5.69,0,950000,B,5
5.755,0,990000,S,5
5.826,0,900000,B,5
5.959,0,860000,B,5
5.961,0,880000,S,5
5.983,0,940000,B,5
5.987,0,870000,B,5
6.08,0,970000,S,5
6.117,0,980000,S,5
6.268,0,920000,B,5
6.33,0,1000000,S,5
6.336,0,930000,B,5
6.445,0,880000,B,5
6.453,0,930000,S,5
6.488,0,880000,B,5
6.703,0,880000,S,5
6.991,0,960000,S,5
7.033,0,940000,S,5
7.075,0,960000,S,5
7.243,0,880000,B,5
7.268,0,920000,S,5
7.348,0,910000,S,5
7.375,0,900000,B,5
7.442,0,860000,B,5
7.761,0,950000,S,5
7.808,0,980000,S,5
8.046,0,950000,S,5
8.101,0,920000,S,5
8.165,0,900000,B,5
8.166,0,880000,B,5
8.175,0,890000,B,5
8.229,0,930000,B,5
8.333,0,890000,B,5
8.357,0,860000,B,5
8.464,0,860000,B,5
8.54,0,930000,B,5
8.775,0,930000,S,5
8.912,0,940000,S,5
8.984,0,900000,S,5
9.043,0,920000,S,5
9.149,0,850000,B,5
9.152,0,920000,B,5
9.182,0,870000,B,5
9.208,0,940000,B,5
9.26,0,880000,B,5
9.275,0,920000,B,5
9.364,0,930000,S,5
9.439,0,910000,S,5
9.502,0,910000,B,5
9.556,0,900000,B,5
9.65,0,870000,B,5
9.702,0,910000,B,5
9.713,0,950000,S,5
9.934,0,870000,B,5
10.297,0,950000,B,5
10.519,0,900000,B,5
10.568,0,840000,B,5
10.606,0,930000,B,5
10.698,0,900000,B,5
10.875,0,870000,B,5
10.976,0,870000,B,5
11.052,0,960000,S,5
11.059,0,920000,B,5
11.168,0,900000,S,5
11.367,0,890000,B,5
11.392,0,860000,B,5
11.412,0,930000,B,5
11.563,0,900000,S,5
11.592,0,900000,S,5
11.74,0,900000,B,5
11.751,0,930000,B,5
11.969,0,900000,B,5
12.009,0,950000,S,5
12.029,0,890000,B,5
12.142,0,930000,S,5
12.193,0,950000,S,5
12.261,0,930000,S,5
12.299,0,940000,S,5
12.66,0,900000,S,5
12.668,0,950000,S,5
12.757,0,910000,B,5
12.931,0,940000,B,5
13.128,0,930000,B,5
13.178,0,920000,S,5
13.499,0,960000,S,5
13.583,0,910000,B,5
13.621,0,930000,B,5
13.622,0,970000,S,5
13.63,0,920000,B,5
13.814,0,960000,B,5
13.946,0,1000000,S,5
14.073,0,920000,B,5
14.101,0,930000,B,5
14.12,0,860000,B,5
14.269,0,940000,B,5
14.397,0,910000,B,5
14.397,0,1010000,S,5
14.555,0,1040000,S,5
14.611,0,900000,B,5
14.737,0,960000,S,5
14.785,0,900000,B,5
14.786,0,940000,S,5
14.912,0,960000,B,5
14.919,0,970000,S,5
14.924,0,960000,S,5
15.02,0,930000,B,5
15.064,0,1000000,S,5
15.091,0,960000,B,5
15.124,0,870000,B,5
15.412,0,940000,B,5
15.632,0,960000,S,5
15.685,0,1000000,S,5
15.717,0,920000,B,5
15.735,0,940000,B,5
15.761,0,950000,S,5
15.796,0,960000,B,5
16.206,0,920000,S,5
16.439,0,950000,B,5
16.479,0,940000,S,5
16.513,0,940000,S,5
16.869,0,990000,S,5
16.943,0,890000,B,5
17.112,0,940000,S,5
17.12,0,910000,B,5
17.123,0,920000,B,5
17.182,0,960000,B,5
17.183,0,1010000,B,5
17.274,0,930000,B,5
17.315,0,980000,B,5
17.324,0,890000,B,5
17.405,0,920000,B,5
17.467,0,890000,B,5
17.779,0,850000,B,5
18.048,0,950000,S,5
18.295,0,940000,S,5
18.577,0,960000,B,5
18.779,0,990000,B,5
18.948,0,940000,B,5
19.01,0,960000,B,5
19.015,0,930000,B,5
19.12,0,970000,S,5
19.211,0,1010000,S,5
19.225,0,920000,S,5
19.423,0,1050000,S,5
19.622,0,930000,B,5
19.658,0,870000,B,5
19.701,0,970000,S,5
19.74,0,910000,B,5
19.762,0,910000,B,5
19.822,0,900000,B,5
19.837,0,960000,S,5
19.84,0,950000,S,5
19.897,0,910000,B,5
20.005,0,950000,S,5
20.098,0,900000,S,5
20.26,0,980000,S,5
20.533,0,980000,S,5
20.597,0,910000,B,5
20.706,0,930000,S,5
20.844,0,930000,S,5
20.851,0,1000000,S,5
20.937,0,910000,B,5
20.986,0,960000,B,5
21.08,0,950000,B,5
21.128,0,940000,B,5
21.272,0,950000,S,5
21.43,0,900000,B,5
21.457,0,870000,B,5
21.477,0,970000,S,5
21.651,0,900000,B,5
21.78,0,960000,S,5
21.817,0,970000,S,5
21.871,0,870000,B,5
22.088,0,1020000,S,5
22.232,0,920000,B,5
22.292,0,940000,B,5
22.394,0,920000,S,5
22.475,0,930000,B,5
22.513,0,960000,S,5
22.666,0,910000,B,5
22.731,0,960000,S,5
22.789,0,950000,B,5
22.852,0,970000,B,5
22.906,0,920000,S,5
22.933,0,940000,B,5
22.968,0,1010000,B,5
23.168,0,1020000,S,5
23.219,0,980000,S,5
23.282,0,890000,B,5
23.288,0,990000,S,5
23.445,0,970000,S,5
23.715,0,910000,B,5
23.736,0,1000000,B,5
23.851,0,940000,B,5
23.865,0,930000,B,5
23.89,0,1010000,S,5
23.903,0,900000,B,5
24.034,0,910000,B,5
24.153,0,930000,B,5
24.195,0,1000000,S,5
24.304,0,950000,B,5
24.44,0,920000,S,5
24.546,0,970000,S,5
24.662,0,940000,B,5
24.743,0,870000,B,5
24.886,0,960000,S,5
25.177,0,940000,B,5
25.288,0,980000,S,5
25.303,0,880000,B,5
25.365,0,930000,S,5
25.581,0,970000,S,5
25.599,0,910000,B,5
25.639,0,960000,S,5
25.641,0,1000000,S,5
25.916,0,1030000,S,5
25.947,0,1000000,B,5
26.07,0,950000,S,5
26.247,0,940000,S,5
26.45,0,910000,B,5
26.458,0,1010000,S,5
26.72,0,880000,B,5
26.726,0,890000,S,5
26.776,0,910000,B,5
26.794,0,950000,S,5
26.838,0,940000,S,5
26.89,0,960000,S,5
27.133,0,1000000,S,5
27.264,0,950000,B,5
27.337,0,910000,B,5
27.392,0,860000,B,5
27.399,0,940000,B,5
27.57,0,950000,S,5
27.868,0,960000,B,5
27.885,0,990000,S,5
27.917,0,960000,S,5
28.073,0,870000,B,5
28.239,0,930000,B,5
28.316,0,940000,B,5
28.417,0,930000,S,5
28.419,0,970000,B,5
28.482,0,950000,S,5
28.524,0,870000,B,5
28.646,0,900000,S,5
28.827,0,980000,B,5
29.424,0,930000,S,5
29.479,0,950000,B,5
29.513,0,910000,S,5
29.515,0,970000,B,5
29.541,0,1020000,S,5
29.719,0,930000,S,5
29.803,0,880000,B,5
29.819,0,990000,S,5
29.98,0,950000,S,5
30.015,0,920000,B,5
30.056,0,920000,S,5
30.107,0,920000,B,5
30.124,0,890000,B,5
30.174,0,1000000,S,5
30.254,0,920000,S,5
30.278,0,900000,B,5
30.279,0,970000,B,5
30.471,0,920000,B,5
30.567,0,940000,S,5
30.663,0,960000,S,5
30.799,0,920000,B,5
30.838,0,960000,S,5
30.862,0,950000,B,5
30.903,0,990000,S,5
30.95,0,920000,B,5
31.142,0,950000,S,5
31.309,0,1030000,S,5
31.337,0,990000,S,5
31.356,0,940000,B,5
31.362,0,930000,B,5
31.534,0,980000,S,5
31.689,0,940000,B,5
31.776,0,990000,S,5
31.894,0,940000,B,5
31.921,0,980000,S,5
31.969,0,950000,B,5
32.028,0,970000,S,5
32.173,0,970000,S,5
32.236,0,990000,S,5
32.296,0,980000,S,5
32.375,0,950000,S,5
32.394,0,1000000,S,5
32.551,0,990000,S,5
32.609,0,910000,B,5
32.666,0,980000,S,5
32.792,0,980000,S,5
32.998,0,960000,S,5
33.844,0,930000,S,5
33.885,0,830000,S,5
34.111,0,850000,B,5
34.161,0,820000,B,5
34.302,0,780000,B,5
34.311,0,860000,B,5
34.387,0,950000,S,5
34.397,0,830000,S,5
34.433,0,870000,S,5
34.569,0,860000,B,5
34.727,0,810000,S,5
34.967,0,880000,S,5
35.278,0,860000,B,5
35.626,0,760000,B,5
35.65,0,860000,B,5
35.783,0,900000,S,5
35.807,0,840000,B,5
35.893,0,880000,B,5
36.032,0,860000,S,5
36.068,0,840000,B,5
36.152,0,850000,B,5
36.224,0,840000,B,5
36.231,0,860000,B,5
36.439,0,810000,B,5
36.586,0,850000,S,5
36.902,0,840000,S,5
37.07,0,840000,B,5
37.181,0,870000,B,5
37.302,0,940000,S,5
37.491,0,890000,B,5
37.886,0,790000,B,5
37.888,0,890000,S,5
37.892,0,900000,B,5
37.964,0,840000,S,5
38.048,0,900000,S,5
38.183,0,800000,B,5
38.273,0,840000,B,5
38.291,0,860000,B,5
38.474,0,920000,S,5
38.481,0,880000,S,5
38.63,0,860000,S,5
38.654,0,780000,B,5
38.681,0,790000,B,5
38.836,0,910000,S,5
38.946,0,880000,B,5
39.043,0,910000,S,5
39.085,0,890000,B,5
39.159,0,940000,S,5
39.565,0,950000,B,5
39.689,0,880000,B,5
39.716,0,940000,S,5
39.719,0,930000,S,5
39.751,0,920000,S,5
39.93,0,840000,B,5
39.931,0,880000,B,5
40.223,0,880000,S,5
40.255,0,870000,S,5
40.319,0,910000,B,5
40.393,0,880000,S,5
40.478,0,860000,S,5
40.551,0,880000,S,5
40.622,0,900000,S,5
40.94,0,870000,S,5
40.979,0,930000,S,5
41.035,0,880000,B,5
41.123,0,890000,B,5
41.386,0,920000,B,5
41.393,0,910000,S,5
41.438,0,960000,S,5
41.544,0,920000,S,5
41.56,0,910000,S,5
41.744,0,850000,B,5
41.937,0,930000,S,5
41.967,0,900000,S,5
42.082,0,920000,B,5
42.127,0,910000,B,5
42.143,0,900000,S,5
42.203,0,890000,S,5
42.231,0,910000,B,5
42.244,0,910000,S,5
42.25,0,940000,S,5
42.255,0,900000,B,5
42.356,0,910000,B,5
42.456,0,940000,S,5
42.489,0,890000,B,5
42.748,0,890000,B,5
42.885,0,880000,B,5
43.489,0,880000,B,5
43.536,0,910000,S,5
43.558,0,930000,S,5
43.58,0,970000,S,5
43.651,0,960000,S,5
43.718,0,860000,B,5
43.913,0,890000,B,5
43.949,0,890000,B,5
43.964,0,840000,B,5
44.012,0,860000,B,5
44.139,0,960000,S,5
44.202,0,930000,S,5
44.247,0,940000,B,5
44.323,0,880000,B,5
44.413,0,970000,S,5
44.541,0,890000,B,5
44.724,0,900000,S,5
44.755,0,940000,S,5
44.991,0,920000,B,5
45.08,0,940000,S,5
45.274,0,890000,B,5
