arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.014,0,1070000,S,5
0.18,0,1030000,B,5
0.206,0,1050000,S,5
0.278,0,1110000,S,5
0.518,0,1100000,S,5
0.578,0,1030000,B,5
0.696,0,1060000,S,5
0.801,0,1070000,B,5
0.83,0,1050000,B,5
0.925,0,1040000,B,5
0.957,0,1040000,B,5
1.193,0,1050000,S,5
1.23,0,1130000,S,5
1.241,0,1120000,S,5
1.308,0,1090000,S,5
1.368,0,1040000,B,5
1.453,0,1050000,B,5
1.647,0,1030000,S,5
1.686,0,990000,B,5
1.85,0,1040000,S,5
1.936,0,1080000,S,5
1.982,0,1030000,B,5
2.005,0,1040000,B,5
2.206,0,1100000,S,5
2.213,0,1010000,B,5
2.287,0,990000,B,5
2.357,0,1100000,S,5
2.437,0,990000,B,5
2.561,0,990000,B,5
2.861,0,1110000,S,5
3.106,0,1060000,S,5
3.115,0,1020000,S,5
3.397,0,1050000,S,5
3.524,0,1050000,B,5
3.569,0,1000000,B,5
3.922,0,1010000,S,5
3.954,0,990000,S,5
4.02,0,1020000,S,5
4.177,0,1020000,S,5
4.342,0,950000,S,5
4.384,0,960000,B,5
4.464,0,1010000,S,5
4.546,0,970000,S,5
4.554,0,1010000,S,5
4.936,0,1030000,S,5
4.995,0,1000000,S,5
5.011,0,930000,B,5
5.051,0,940000,B,5
5.172,0,1040000,S,5
5.226,0,960000,B,5
5.283,0,980000,S,5
5.291,0,1030000,S,5
5.306,0,1000000,B,5
5.344,0,1010000,S,5
5.412,0,940000,B,5
5.649,0,1000000,S,5
5.66,0,1010000,S,5
5.774,0,960000,B,5
5.851,0,960000,B,5
6.091,0,920000,B,5
6.311,0,970000,B,5
6.507,0,1040000,S,5
6.522,0,1030000,S,5
6.543,0,1010000,B,5
6.698,0,1030000,S,5
6.715,0,980000,S,5
6.741,0,1000000,S,5
6.831,0,1000000,B,5
6.837,0,950000,B,5
6.872,0,1010000,S,5
6.988,0,970000,S,5
7.098,0,870000,B,5
7.194,0,960000,B,5
7.268,0,970000,S,5
7.65,0,1030000,B,5
7.774,0,980000,B,5
7.872,0,1000000,B,5
7.929,0,980000,S,5
7.948,0,1000000,S,5
8.141,0,940000,B,5
8.168,0,970000,B,5
8.243,0,990000,S,5
8.282,0,950000,B,5
8.315,0,1050000,S,5
8.4,0,970000,B,5
8.479,0,1050000,S,5
8.484,0,1040000,S,5
8.606,0,990000,B,5
8.623,0,1060000,S,5
8.647,0,1030000,S,5
8.691,0,1000000,B,5
8.792,0,1010000,S,5
8.947,0,960000,B,5
9.014,0,1020000,S,5
9.043,0,1010000,S,5
9.12,0,940000,B,5
9.145,0,960000,S,5
9.327,0,950000,B,5
9.367,0,970000,B,5
9.424,0,970000,B,5
9.425,0,930000,B,5
9.516,0,990000,S,5
9.64,0,960000,B,5
9.659,0,950000,B,5
9.671,0,1000000,S,5
9.786,0,960000,B,5
9.84,0,940000,B,5
9.943,0,950000,S,5
9.992,0,1000000,S,5
10.002,0,990000,S,5
10.111,0,990000,S,5
10.233,0,960000,B,5
10.444,0,980000,B,5
10.514,0,1000000,B,5
10.583,0,980000,B,5
10.612,0,990000,S,5
10.974,0,1010000,S,5
11.002,0,980000,S,5
11.628,0,980000,B,5
11.792,0,980000,B,5
11.873,0,1000000,S,5
12.056,0,930000,B,5
12.155,0,950000,B,5
12.174,0,980000,B,5
12.25,0,990000,S,5
12.267,0,980000,B,5
12.338,0,950000,B,5
12.389,0,990000,B,5
12.414,0,930000,B,5
12.436,0,1010000,B,5
12.473,0,970000,B,5
12.478,0,1020000,S,5
12.549,0,1070000,S,5
12.686,0,1030000,S,5
12.736,0,950000,S,5
12.808,0,990000,S,5
12.918,0,970000,B,5
12.962,0,910000,B,5
13.041,0,990000,B,5
13.049,0,1040000,S,5
13.049,0,930000,B,5
13.069,0,1010000,S,5
13.272,0,990000,S,5
13.32,0,980000,B,5
13.359,0,1020000,S,5
13.361,0,980000,S,5
13.743,0,960000,B,5
13.775,0,1010000,S,5
14.02,0,990000,B,5
14.099,0,980000,S,5
14.153,0,980000,S,5
14.155,0,1040000,B,5
14.196,0,980000,S,5
14.277,0,980000,B,5
14.369,0,940000,B,5
14.403,0,960000,B,5
14.722,0,1050000,S,5
14.937,0,960000,B,5
15.117,0,990000,B,5
15.232,0,1010000,S,5
15.398,0,990000,S,5
15.403,0,980000,B,5
15.592,0,980000,S,5
15.701,0,960000,B,5
15.795,0,950000,B,5
15.896,0,980000,S,5
16.112,0,980000,S,5
16.176,0,960000,B,5
16.18,0,930000,B,5
16.217,0,1020000,S,5
16.324,0,1030000,S,5
16.401,0,1000000,B,5
16.432,0,1000000,B,5
16.504,0,980000,B,5
16.543,0,1040000,S,5
16.568,0,990000,S,5
16.593,0,1000000,S,5
16.619,0,990000,S,5
16.649,0,990000,B,5
16.679,0,940000,B,5
16.684,0,960000,B,5
16.802,0,1030000,B,5
16.818,0,1000000,S,5
16.843,0,960000,B,5
16.983,0,1000000,B,5
17.404,0,1050000,S,5
17.605,0,1010000,S,5
17.794,0,950000,B,5
17.873,0,1070000,S,5
17.902,0,930000,B,5
17.914,0,970000,S,5
17.998,0,1050000,S,5
18.236,0,1020000,S,5
18.261,0,980000,B,5
18.272,0,1010000,B,5
18.284,0,1000000,S,5
18.497,0,930000,S,5
18.526,0,970000,S,5
18.565,0,1000000,S,5
18.605,0,960000,B,5
18.752,0,1000000,S,5
18.819,0,910000,B,5
18.886,0,1010000,B,5
18.929,0,990000,S,5
19.005,0,1010000,S,5
19.055,0,970000,B,5
19.226,0,970000,B,5
19.229,0,1010000,S,5
19.366,0,940000,B,5
19.372,0,1030000,S,5
19.569,0,920000,B,5
19.61,0,980000,S,5
19.876,0,920000,B,5
20.013,0,990000,S,5
20.073,0,1010000,S,5
20.188,0,1030000,S,5
20.225,0,980000,B,5
20.233,0,940000,B,5
20.243,0,1010000,S,5
20.245,0,1000000,S,5
20.352,0,960000,S,5
20.411,0,990000,S,5
20.412,0,1070000,S,5
20.461,0,990000,B,5
20.556,0,1000000,S,5
20.706,0,1020000,B,5
20.817,0,1060000,S,5
20.92,0,1020000,S,5
20.93,0,1010000,B,5
20.949,0,1000000,B,5
20.95,0,970000,S,5
21.12,0,1020000,B,5
21.136,0,1030000,B,5
21.166,0,1000000,B,5
21.213,0,1050000,B,5
21.253,0,980000,B,5
21.586,0,1010000,B,5
21.719,0,1040000,S,5
21.72,0,1030000,S,5
21.759,0,1060000,B,5
21.793,0,1050000,B,5
22.04,0,1050000,B,5
22.159,0,960000,B,5
22.174,0,1060000,S,5
22.254,0,1050000,S,5
22.259,0,1010000,B,5
22.411,0,1040000,B,5
22.811,0,1080000,S,5
22.916,0,1120000,S,5
22.973,0,1010000,B,5
22.974,0,960000,B,5
23.023,0,990000,S,5
23.051,0,1080000,S,5
23.075,0,1070000,B,5
23.088,0,1070000,S,5
23.113,0,1060000,B,5
23.25,0,1050000,B,5
23.262,0,1050000,S,5
23.266,0,1070000,S,5
23.3,0,1010000,B,5
23.508,0,1060000,B,5
23.55,0,1040000,B,5
23.623,0,1040000,S,5
23.635,0,1050000,S,5
23.637,0,1040000,B,5
23.763,0,1050000,S,5
23.768,0,1020000,S,5
23.87,0,1090000,S,5
23.921,0,960000,B,5
23.966,0,1000000,B,5
23.969,0,1130000,S,5
24.065,0,1070000,S,5
24.072,0,1040000,B,5
24.264,0,1110000,S,5
24.386,0,980000,B,5
24.414,0,1060000,S,5
24.712,0,980000,B,5
24.854,0,1040000,B,5
24.985,0,1060000,S,5
25.056,0,1020000,B,5
25.268,0,1000000,B,5
25.372,0,1060000,B,5
25.659,0,1040000,S,5
25.701,0,1100000,S,5
25.859,0,990000,S,5
25.86,0,1080000,B,5
25.871,0,1070000,S,5
25.923,0,1000000,B,5
25.944,0,1090000,S,5
25.982,0,1050000,S,5
26.476,0,1020000,S,5
26.52,0,1030000,B,5
26.558,0,1050000,S,5
26.565,0,1020000,S,5
26.688,0,1030000,B,5
26.77,0,1040000,S,5
26.771,0,1070000,S,5
26.883,0,1020000,S,5
27.379,0,1020000,B,5
27.411,0,1010000,S,5
27.445,0,1040000,B,5
27.461,0,1080000,B,5
27.544,0,1080000,S,5
27.628,0,1080000,S,5
27.863,0,980000,B,5
28.108,0,1040000,S,5
28.334,0,1010000,B,5
28.425,0,1050000,S,5
28.539,0,1100000,S,5
28.669,0,1050000,B,5
28.838,0,1100000,S,5
28.86,0,1050000,S,5
29.034,0,980000,S,5
29.062,0,1040000,B,5
29.095,0,1030000,B,5
29.208,0,1000000,B,5
29.364,0,1010000,S,5
29.449,0,1050000,B,5
29.597,0,1070000,S,5
29.631,0,1060000,S,5
29.779,0,1050000,S,5
29.798,0,1060000,S,5
29.876,0,1130000,S,5
29.989,0,970000,B,5
30.293,0,1020000,B,5
30.348,0,1020000,S,5
30.446,0,1040000,S,5
30.532,0,1030000,S,5
30.568,0,1060000,B,5
30.658,0,1020000,S,5
30.694,0,1020000,B,5
30.797,0,1070000,B,5
30.835,0,1000000,B,5
30.903,0,1010000,B,5
30.914,0,1030000,B,5
30.934,0,1000000,B,5
30.961,0,1060000,S,5
31.003,0,1040000,S,5
31.004,0,1020000,B,5
31.238,0,1010000,B,5
31.244,0,1000000,B,5
31.313,0,980000,B,5
31.37,0,1060000,S,5
31.482,0,980000,B,5
31.487,0,1000000,B,5
31.517,0,1090000,S,5
31.754,0,1060000,S,5
31.83,0,1010000,B,5
31.836,0,1070000,S,5
31.872,0,1100000,S,5
32.014,0,1060000,B,5
32.15,0,1010000,B,5
32.219,0,1040000,S,5
32.348,0,1000000,B,5
32.384,0,1030000,S,5
32.511,0,1090000,S,5
32.552,0,1090000,S,5
32.585,0,1070000,B,5
32.667,0,1040000,B,5
32.675,0,960000,B,5
32.679,0,1000000,B,5
32.702,0,1060000,S,5
32.8,0,1070000,S,5
32.81,0,1030000,S,5
32.836,0,1050000,S,5
33.028,0,1050000,S,5
33.09,0,1080000,B,5
33.113,0,1060000,S,5
33.234,0,1040000,B,5
33.41,0,1030000,B,5
33.508,0,1040000,B,5
33.556,0,1060000,S,5
33.59,0,1040000,B,5
33.628,0,1020000,S,5
33.668,0,1040000,S,5
33.73,0,1040000,B,5
33.975,0,1060000,B,5
33.985,0,1030000,B,5
33.997,0,1050000,S,5
34.121,0,1050000,S,5
34.185,0,1090000,S,5
34.211,0,990000,B,5
34.227,0,1070000,S,5
34.367,0,1020000,B,5
34.451,0,1030000,B,5
34.466,0,1070000,S,5
34.497,0,1060000,S,5
34.538,0,1020000,B,5
34.643,0,1010000,S,5
34.704,0,1060000,B,5
34.801,0,1030000,B,5
35.064,0,990000,B,5
35.195,0,1060000,B,5
35.247,0,1070000,B,5
35.309,0,1060000,S,5
35.46,0,960000,B,5
35.659,0,1000000,B,5
35.666,0,1100000,S,5
35.67,0,1030000,B,5
35.885,0,1060000,S,5
36.06,0,1070000,S,5
36.123,0,950000,B,5
36.124,0,1070000,S,5
36.158,0,1030000,B,5
36.243,0,1040000,B,5
36.244,0,1070000,S,5
36.369,0,1070000,S,5
36.502,0,1020000,B,5
36.696,0,1030000,S,5
36.751,0,1100000,S,5
36.759,0,1020000,S,5
36.84,0,1080000,S,5
36.907,0,1110000,S,5
37.012,0,1110000,S,5
37.181,0,1050000,S,5
37.184,0,1060000,S,5
37.185,0,1090000,S,5
37.225,0,1030000,B,5
37.271,0,1060000,S,5
37.274,0,1090000,S,5
37.36,0,1040000,B,5
37.604,0,1030000,S,5
37.671,0,1020000,B,5
37.676,0,1070000,S,5
37.676,0,1040000,B,5
37.963,0,1010000,B,5
38.088,0,1060000,B,5
38.179,0,1050000,B,5
38.304,0,1010000,B,5
38.338,0,1070000,S,5
38.39,0,1010000,S,5
38.575,0,1020000,B,5
38.83,0,1030000,B,5
38.847,0,1090000,S,5
39.065,0,1030000,S,5
39.15,0,1070000,S,5
39.229,0,1050000,S,5
39.244,0,1120000,B,5
39.575,0,1030000,B,5
39.632,0,1060000,S,5
39.635,0,1090000,S,5
39.783,0,970000,B,5
39.947,0,1020000,B,5
40.13,0,1040000,B,5
40.171,0,1050000,S,5
40.267,0,1010000,B,5
40.302,0,1050000,S,5
40.308,0,1120000,S,5
40.493,0,1040000,S,5
40.52,0,1040000,B,5
40.632,0,1040000,S,5
40.763,0,1070000,S,5
40.802,0,1050000,B,5
40.905,0,1020000,B,5
40.955,0,1030000,B,5
40.983,0,1050000,B,5
41.086,0,1030000,B,5
41.089,0,1060000,S,5
41.231,0,1080000,S,5
41.248,0,1020000,B,5
41.399,0,1030000,B,5
41.469,0,1070000,S,5
41.482,0,980000,B,5
41.494,0,1040000,B,5
41.899,0,1100000,S,5
42.014,0,1000000,B,5
42.12,0,1030000,B,5
42.143,0,1050000,B,5
42.203,0,1060000,S,5
42.617,0,1070000,B,5
42.618,0,1020000,S,5
42.677,0,1100000,S,5
43.153,0,1060000,S,5
43.262,0,990000,S,5
43.828,0,1070000,S,5
43.84,0,1060000,S,5
43.892,0,1120000,S,5
43.939,0,1060000,S,5
44.388,0,1130000,S,5
44.492,0,1050000,S,5
44.558,0,1090000,S,5
44.804,0,1040000,S,5
44.853,0,1070000,B,5
44.89,0,1080000,S,5
45.117,0,1140000,S,5
45.127,0,1040000,S,5
45.143,0,1060000,S,5
45.493,0,1010000,B,5
45.557,0,1110000,B,5
45.624,0,1010000,S,5
45.699,0,970000,B,5
45.802,0,1140000,S,5
45.823,0,1030000,B,5
45.89,0,1110000,S,5
45.99,0,1050000,B,5
46.066,0,1050000,B,5
46.145,0,1050000,S,5
46.15,0,1020000,S,5
46.197,0,1040000,B,5
46.277,0,1130000,S,5
46.463,0,990000,S,5
46.516,0,1050000,S,5
46.74,0,1050000,B,5
46.804,0,1110000,S,5
46.84,0,1020000,B,5
46.881,0,1060000,B,5
46.921,0,1120000,S,5
46.995,0,1030000,S,5
46.999,0,1070000,S,5
47.088,0,1030000,S,5
47.188,0,1030000,S,5
47.216,0,1140000,S,5
47.258,0,1110000,S,5
47.263,0,1040000,B,5
47.478,0,1000000,B,5
47.483,0,1090000,B,5
47.55,0,1040000,B,5
47.584,0,1080000,S,5
47.674,0,1090000,S,5
47.724,0,1130000,S,5
47.875,0,1130000,S,5
47.974,0,1070000,B,5
48.117,0,1020000,S,5
48.17,0,1020000,B,5
48.173,0,1010000,B,5
48.225,0,1050000,B,5
48.275,0,1030000,B,5
48.495,0,990000,B,5
48.512,0,1070000,S,5
48.58,0,1070000,S,5
48.646,0,1070000,B,5
48.667,0,1050000,S,5
48.768,0,1070000,S,5
48.78,0,1070000,S,5
48.785,0,1010000,B,5
48.809,0,1130000,B,5
48.853,0,1050000,S,5
49.028,0,1030000,B,5
49.093,0,1020000,B,5
49.105,0,1060000,S,5
49.485,0,980000,B,5
49.541,0,1050000,S,5
49.577,0,1050000,B,5
49.694,0,1080000,S,5
49.739,0,1020000,B,5
49.754,0,1100000,S,5
49.961,0,1010000,B,5
