arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.008,0,1040000,S,5
0.05,0,980000,B,5
0.138,0,980000,B,5
0.295,0,950000,B,5
0.358,0,950000,B,5
0.598,0,1010000,B,5
0.63,0,1030000,B,5
0.995,0,990000,B,5
1.096,0,990000,B,5
1.295,0,980000,B,5
1.346,0,1080000,S,5
1.356,0,960000,B,5
1.478,0,1010000,B,5
1.58,0,1040000,S,5
1.624,0,1060000,S,5
1.719,0,1000000,S,5
1.895,0,1020000,S,5
1.913,0,960000,B,5
1.921,0,960000,B,5
2.193,0,1050000,S,5
2.345,0,1040000,S,5
2.42,0,930000,B,5
2.65,0,1060000,S,5
2.742,0,1020000,S,5
2.785,0,950000,B,5
2.871,0,990000,B,5
2.899,0,980000,S,5
3.256,0,1050000,S,5
3.27,0,1050000,S,5
3.396,0,1000000,B,5
3.434,0,970000,B,5
3.618,0,1030000,S,5
3.661,0,1020000,S,5
3.687,0,1010000,B,5
3.823,0,1030000,B,5
4.035,0,970000,B,5
4.073,0,1030000,S,5
4.103,0,1030000,S,5
4.18,0,1040000,S,5
4.192,0,970000,S,5
4.304,0,980000,B,5
4.489,0,1010000,B,5
4.504,0,900000,B,5
4.653,0,990000,B,5
4.661,0,890000,B,5
4.809,0,1010000,S,5
4.978,0,950000,B,5
5.41,0,1030000,B,5
5.463,0,1030000,S,5
5.683,0,980000,B,5
5.777,0,1020000,B,5
6.0,0,1000000,S,5
6.044,0,1010000,B,5
6.112,0,1000000,B,5
6.161,0,1040000,S,5
6.178,0,970000,B,5
6.219,0,960000,B,5
6.337,0,980000,B,5
6.523,0,940000,B,5
6.532,0,950000,S,5
6.555,0,1010000,S,5
7.08,0,1000000,S,5
7.352,0,1020000,S,5
7.369,0,1010000,S,5
7.406,0,1030000,S,5
7.527,0,1040000,S,5
7.668,0,950000,B,5
7.669,0,1060000,S,5
8.036,0,1010000,B,5
8.043,0,1020000,B,5
8.081,0,1020000,S,5
8.346,0,1020000,S,5
8.354,0,980000,B,5
8.354,0,1040000,S,5
8.755,0,980000,B,5
8.786,0,960000,S,5
9.038,0,1000000,B,5
9.237,0,960000,B,5
9.275,0,1030000,S,5
9.278,0,970000,S,5
9.349,0,1010000,S,5
9.497,0,1050000,B,5
9.551,0,1000000,S,5
9.718,0,1010000,B,5
9.767,0,1070000,S,5
9.865,0,1030000,S,5
9.93,0,980000,B,5
10.007,0,1010000,S,5
10.02,0,990000,S,5
10.027,0,980000,S,5
10.046,0,950000,B,5
10.17,0,1020000,B,5
10.25,0,1010000,S,5
10.256,0,1030000,S,5
10.313,0,1000000,S,5
10.344,0,1080000,S,5
10.355,0,930000,B,5
10.769,0,1020000,S,5
10.887,0,1030000,S,5
10.892,0,1020000,S,5
10.936,0,1000000,S,5
10.971,0,960000,B,5
11.075,0,960000,B,5
11.327,0,980000,B,5
11.58,0,1000000,S,5
11.738,0,960000,S,5
11.745,0,980000,B,5
12.074,0,1010000,B,5
12.114,0,1050000,S,5
12.207,0,1000000,B,5
12.321,0,1050000,S,5
12.353,0,940000,B,5
12.433,0,980000,B,5
12.497,0,1060000,S,5
12.572,0,980000,B,5
12.594,0,1020000,S,5
12.627,0,970000,S,5
12.753,0,1030000,S,5
12.858,0,1000000,B,5
12.863,0,930000,B,5
12.897,0,950000,B,5
12.912,0,1020000,S,5
12.933,0,980000,B,5
13.074,0,1000000,B,5
13.142,0,950000,B,5
13.193,0,1020000,S,5
13.195,0,1000000,S,5
13.239,0,1000000,S,5
13.27,0,960000,S,5
13.388,0,990000,B,5
13.603,0,1040000,S,5
13.662,0,1020000,S,5
13.901,0,1020000,S,5
13.948,0,1080000,S,5
14.101,0,1020000,S,5
14.104,0,1000000,B,5
14.121,0,1060000,S,5
14.235,0,980000,B,5
14.241,0,980000,B,5
14.441,0,990000,S,5
14.47,0,970000,B,5
14.693,0,1070000,S,5
14.947,0,1010000,S,5
15.002,0,960000,B,5
15.054,0,1010000,B,5
15.066,0,990000,S,5
15.095,0,1050000,S,5
15.262,0,980000,B,5
15.281,0,1020000,B,5
15.344,0,920000,B,5
15.402,0,920000,B,5
15.539,0,1050000,S,5
15.585,0,1000000,B,5
15.601,0,960000,B,5
15.893,0,1060000,S,5
15.954,0,1030000,S,5
15.976,0,1030000,S,5
16.075,0,1010000,S,5
16.19,0,970000,S,5
16.674,0,940000,B,5
16.758,0,1010000,B,5
16.81,0,1010000,B,5
16.948,0,1050000,S,5
17.472,0,970000,B,5
17.523,0,960000,B,5
17.54,0,960000,B,5
17.632,0,1000000,S,5
17.639,0,990000,B,5
17.69,0,1050000,S,5
17.773,0,1010000,S,5
17.961,0,1010000,S,5
17.986,0,1020000,S,5
18.078,0,1020000,S,5
18.12,0,950000,S,5
18.245,0,990000,S,5
18.414,0,1090000,S,5
18.586,0,960000,B,5
18.629,0,1010000,S,5
18.643,0,980000,B,5
18.644,0,980000,B,5
18.963,0,1000000,S,5
18.985,0,1040000,S,5
19.26,0,940000,S,5
19.28,0,1060000,S,5
19.401,0,1040000,S,5
19.419,0,990000,S,5
19.43,0,970000,B,5
19.499,0,1040000,S,5
19.507,0,990000,B,5
19.535,0,1050000,S,5
19.57,0,1020000,S,5
19.79,0,1030000,S,5
19.891,0,990000,S,5
19.906,0,1000000,S,5
20.04,0,1000000,B,5
20.221,0,1040000,S,5
20.346,0,1040000,S,5
20.389,0,990000,B,5
20.391,0,1010000,S,5
20.464,0,940000,B,5
20.511,0,1000000,B,5
20.534,0,970000,B,5
20.549,0,990000,B,5
20.604,0,960000,B,5
20.663,0,960000,S,5
20.792,0,990000,B,5
21.156,0,1010000,S,5
21.229,0,1010000,S,5
21.288,0,970000,B,5
21.297,0,1050000,S,5
21.795,0,1010000,B,5
22.128,0,960000,B,5
22.14,0,1030000,S,5
22.318,0,1040000,S,5
22.384,0,1080000,S,5
22.401,0,1010000,S,5
22.43,0,1020000,B,5
22.447,0,980000,B,5
22.486,0,1070000,S,5
22.51,0,970000,B,5
22.543,0,1000000,B,5
22.613,0,980000,B,5
22.676,0,990000,B,5
22.682,0,1010000,B,5
22.882,0,980000,S,5
22.933,0,1010000,S,5
23.027,0,1050000,S,5
23.054,0,970000,B,5
23.085,0,1080000,S,5
23.112,0,970000,B,5
23.311,0,1040000,S,5
23.424,0,980000,S,5
23.46,0,990000,B,5
23.554,0,1010000,B,5
23.598,0,990000,B,5
23.804,0,1040000,S,5
24.174,0,990000,S,5
24.197,0,970000,B,5
24.327,0,1020000,S,5
24.382,0,1040000,S,5
24.399,0,1000000,B,5
24.583,0,960000,B,5
24.739,0,1010000,S,5
25.232,0,970000,B,5
25.237,0,960000,B,5
25.346,0,1000000,S,5
25.463,0,990000,S,5
25.53,0,1010000,S,5
25.536,0,1000000,B,5
25.575,0,1010000,S,5
25.739,0,990000,S,5
25.789,0,990000,B,5
25.838,0,1050000,S,5
25.945,0,960000,B,5
26.059,0,1000000,S,5
26.167,0,1020000,B,5
26.399,0,1040000,S,5
26.495,0,1000000,B,5
26.557,0,1000000,S,5
26.602,0,960000,B,5
26.701,0,980000,B,5
26.862,0,1000000,B,5
27.056,0,1040000,B,5
27.06,0,960000,B,5
27.1,0,980000,S,5
27.124,0,970000,S,5
27.163,0,990000,B,5
27.219,0,1030000,S,5
27.242,0,1020000,S,5
27.492,0,990000,B,5
27.538,0,1040000,S,5
27.572,0,1030000,S,5
27.572,0,930000,B,5
27.627,0,970000,B,5
27.652,0,1010000,S,5
27.745,0,1030000,S,5
27.793,0,1030000,S,5
27.935,0,1060000,S,5
27.981,0,1050000,S,5
28.088,0,1040000,S,5
28.207,0,970000,B,5
28.215,0,1010000,B,5
28.226,0,1010000,B,5
28.264,0,980000,B,5
28.293,0,1020000,S,5
28.454,0,1060000,S,5
28.616,0,990000,S,5
28.664,0,1040000,S,5
28.689,0,970000,B,5
28.701,0,1000000,S,5
28.786,0,980000,B,5
28.857,0,990000,B,5
