arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.004,0,1030000,S,5
0.021,0,1000000,B,5
0.043,0,970000,B,5
0.072,0,1010000,S,5
0.131,0,990000,B,5
0.134,0,990000,B,5
0.138,0,980000,B,5
0.159,0,1010000,S,5
0.194,0,990000,S,5
0.394,0,1010000,B,5
0.407,0,980000,B,5
0.418,0,990000,S,5
0.418,0,1030000,S,5
0.433,0,990000,B,5
0.496,0,1040000,S,5
0.542,0,1050000,S,5
0.624,0,1050000,S,5
0.718,0,1030000,B,5
0.791,0,1000000,B,5
0.837,0,1110000,S,5
0.837,0,1030000,S,5
0.933,0,960000,B,5
0.943,0,1050000,S,5
0.967,0,980000,B,5
0.976,0,970000,B,5
0.982,0,1010000,S,5
0.995,0,1020000,B,5
1.234,0,960000,B,5
1.345,0,940000,B,5
1.422,0,990000,S,5
1.433,0,1010000,B,5
1.506,0,990000,S,5
1.508,0,990000,S,5
1.629,0,1080000,S,5
1.677,0,1020000,S,5
1.741,0,1040000,S,5
1.808,0,1030000,S,5
1.832,0,1030000,S,5
1.852,0,1010000,B,5
1.898,0,940000,B,5
1.966,0,1010000,S,5
2.147,0,1040000,S,5
2.15,0,1030000,S,5
2.214,0,1010000,S,5
2.252,0,950000,B,5
2.377,0,1020000,S,5
2.387,0,1010000,B,5
2.411,0,980000,B,5
2.479,0,1030000,S,5
2.499,0,960000,B,5
2.526,0,1010000,B,5
2.632,0,1010000,S,5
2.683,0,1040000,S,5
2.732,0,950000,B,5
2.779,0,980000,S,5
2.786,0,1030000,S,5
2.803,0,1000000,S,5
2.846,0,1000000,B,5
2.858,0,960000,B,5
2.862,0,960000,S,5
2.897,0,1080000,S,5
2.899,0,950000,S,5
2.963,0,1030000,S,5
2.998,0,1030000,S,5
3.004,0,990000,B,5
3.017,0,1020000,S,5
3.087,0,980000,B,5
3.132,0,960000,B,5
3.16,0,970000,B,5
3.197,0,1030000,S,5
3.279,0,1040000,S,5
3.293,0,980000,S,5
3.306,0,1020000,S,5
3.464,0,960000,S,5
3.579,0,980000,S,5
3.682,0,980000,S,5
3.705,0,1000000,B,5
3.75,0,1020000,S,5
3.776,0,1000000,S,5
3.813,0,1010000,S,5
3.888,0,980000,B,5
3.893,0,970000,B,5
3.918,0,970000,B,5
3.948,0,1020000,S,5
3.949,0,1000000,S,5
4.081,0,1000000,B,5
4.106,0,970000,B,5
4.271,0,970000,B,5
4.304,0,950000,S,5
4.327,0,1030000,S,5
4.4,0,1020000,S,5
4.413,0,950000,B,5
4.52,0,1020000,S,5
4.577,0,1090000,S,5
4.639,0,950000,B,5
4.64,0,960000,B,5
4.711,0,1000000,B,5
4.818,0,1030000,S,5
4.828,0,1030000,S,5
4.839,0,980000,S,5
4.883,0,1010000,B,5
4.901,0,980000,B,5
4.913,0,970000,S,5
4.979,0,1030000,S,5
5.176,0,950000,B,5
5.213,0,950000,B,5
5.288,0,1050000,B,5
5.327,0,1010000,S,5
5.331,0,980000,S,5
5.359,0,1020000,S,5
5.363,0,930000,B,5
5.397,0,1060000,B,5
5.446,0,980000,B,5
5.515,0,1060000,S,5
5.549,0,990000,B,5
5.586,0,970000,B,5
5.614,0,950000,B,5
5.63,0,970000,B,5
5.766,0,1070000,S,5
5.832,0,1020000,S,5
5.847,0,980000,B,5
5.851,0,1010000,S,5
6.052,0,990000,B,5
6.071,0,950000,B,5
6.162,0,960000,S,5
6.175,0,980000,S,5
6.242,0,930000,B,5
6.432,0,1010000,S,5
6.437,0,980000,S,5
6.491,0,1000000,S,5
6.502,0,1000000,B,5
6.507,0,1010000,B,5
6.589,0,980000,S,5
6.603,0,950000,B,5
6.744,0,1050000,S,5
6.88,0,1020000,S,5
6.911,0,960000,B,5
6.917,0,1050000,S,5
6.938,0,1030000,S,5
7.008,0,980000,B,5
7.008,0,1020000,S,5
7.29,0,950000,B,5
7.312,0,1020000,B,5
7.317,0,1000000,B,5
7.326,0,1020000,B,5
7.393,0,960000,B,5
7.411,0,990000,B,5
7.568,0,1030000,S,5
7.59,0,1010000,S,5
7.619,0,1050000,S,5
7.671,0,1070000,S,5
7.728,0,960000,B,5
7.95,0,1000000,B,5
8.016,0,960000,B,5
8.031,0,970000,B,5
8.134,0,990000,S,5
8.162,0,1030000,S,5
8.254,0,960000,B,5
8.293,0,950000,B,5
8.315,0,1020000,B,5
8.361,0,960000,B,5
8.371,0,980000,B,5
8.392,0,1060000,S,5
8.445,0,980000,B,5
8.523,0,1010000,B,5
8.594,0,990000,B,5
8.605,0,1000000,S,5
8.64,0,970000,S,5
8.684,0,1020000,B,5
8.765,0,1000000,B,5
8.798,0,1000000,S,5
8.82,0,970000,B,5
8.845,0,1000000,S,5
8.884,0,990000,S,5
8.887,0,1040000,S,5
9.001,0,970000,B,5
9.056,0,1060000,S,5
9.059,0,1010000,B,5
9.073,0,930000,B,5
9.146,0,1000000,S,5
9.148,0,1040000,S,5
9.221,0,990000,B,5
9.241,0,990000,B,5
9.279,0,1050000,S,5
9.279,0,1010000,S,5
9.491,0,1090000,S,5
9.594,0,960000,B,5
9.615,0,1000000,S,5
9.617,0,1000000,B,5
9.62,0,1000000,S,5
9.691,0,1010000,S,5
9.822,0,960000,B,5
9.852,0,1050000,S,5
9.857,0,980000,B,5
9.874,0,1020000,S,5
9.884,0,990000,S,5
9.928,0,1060000,B,5
9.932,0,990000,B,5
9.946,0,990000,S,5
9.969,0,1040000,B,5
9.981,0,1050000,S,5
10.042,0,1030000,S,5
10.054,0,950000,B,5
10.093,0,1040000,S,5
10.382,0,1050000,S,5
10.391,0,970000,B,5
10.397,0,1010000,S,5
10.403,0,960000,B,5
10.427,0,1030000,S,5
10.453,0,970000,S,5
10.462,0,1000000,B,5
10.47,0,1000000,S,5
10.481,0,960000,B,5
10.5,0,970000,B,5
10.509,0,1020000,S,5
10.602,0,930000,B,5
10.622,0,1000000,S,5
10.637,0,1020000,S,5
10.653,0,1000000,B,5
10.697,0,960000,B,5
10.757,0,1030000,S,5
10.795,0,1030000,S,5
10.84,0,1010000,S,5
11.035,0,970000,B,5
11.079,0,1000000,S,5
11.142,0,1040000,B,5
11.198,0,1010000,S,5
11.26,0,1010000,B,5
11.382,0,1020000,S,5
11.385,0,980000,B,5
11.4,0,970000,B,5
11.433,0,1000000,B,5
11.493,0,990000,S,5
11.497,0,990000,B,5
11.529,0,1010000,B,5
11.536,0,930000,B,5
11.556,0,990000,B,5
11.613,0,990000,B,5
11.627,0,1050000,S,5
11.69,0,1010000,S,5
11.712,0,1010000,B,5
11.748,0,1030000,S,5
11.797,0,990000,S,5
11.879,0,970000,B,5
11.897,0,1040000,B,5
11.981,0,1000000,B,5
12.007,0,980000,B,5
12.042,0,980000,B,5
12.054,0,1000000,B,5
12.181,0,970000,B,5
12.224,0,990000,B,5
12.263,0,980000,B,5
12.312,0,940000,B,5
12.337,0,1040000,S,5
12.526,0,990000,B,5
12.547,0,970000,B,5
12.552,0,1010000,S,5
12.575,0,1060000,S,5
12.718,0,1040000,S,5
12.755,0,990000,B,5
12.867,0,970000,B,5
12.938,0,1020000,S,5
13.002,0,980000,S,5
13.032,0,1000000,B,5
13.099,0,1020000,S,5
13.111,0,1010000,S,5
13.258,0,1020000,B,5
13.311,0,990000,S,5
13.343,0,980000,S,5
13.425,0,1020000,B,5
13.44,0,1070000,S,5
13.73,0,900000,B,5
13.768,0,1030000,S,5
13.831,0,970000,B,5
14.064,0,1010000,B,5
14.078,0,1020000,S,5
14.189,0,970000,B,5
14.207,0,1000000,B,5
14.309,0,930000,B,5
14.483,0,960000,B,5
14.588,0,1010000,B,5
14.635,0,1030000,B,5
14.636,0,1010000,B,5
14.672,0,990000,S,5
14.778,0,950000,S,5
14.779,0,1020000,B,5
14.816,0,1020000,S,5
14.829,0,1000000,B,5
14.889,0,960000,B,5
14.915,0,1020000,B,5
14.977,0,1000000,S,5
15.04,0,1000000,S,5
15.106,0,990000,B,5
15.116,0,1010000,S,5
15.166,0,1030000,S,5
15.196,0,1050000,S,5
15.242,0,1000000,S,5
15.317,0,970000,B,5
15.415,0,1040000,S,5
15.417,0,970000,S,5
15.421,0,1060000,S,5
15.561,0,990000,B,5
15.639,0,1010000,B,5
15.67,0,1010000,S,5
15.853,0,940000,B,5
15.893,0,950000,B,5
15.907,0,960000,B,5
15.909,0,960000,B,5
16.098,0,1000000,S,5
16.151,0,940000,B,5
16.194,0,1030000,S,5
16.287,0,990000,B,5
16.31,0,990000,S,5
16.396,0,1070000,S,5
16.445,0,1050000,S,5
16.483,0,1020000,S,5
16.513,0,950000,B,5
16.528,0,1020000,B,5
16.571,0,1000000,S,5
16.579,0,990000,B,5
16.591,0,1030000,S,5
16.626,0,1000000,S,5
16.663,0,1080000,S,5
16.785,0,1050000,S,5
16.862,0,990000,S,5
16.884,0,1020000,S,5
16.888,0,960000,S,5
16.911,0,990000,B,5
16.923,0,1000000,B,5
16.987,0,1040000,S,5
17.132,0,970000,B,5
