arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.093,0,1010000,S,5,1000002.106
0.356,0,980000,B,5,1000002.106
0.365,0,930000,B,5,1000002.106
0.428,0,1020000,S,5,1000002.106
0.577,0,990000,B,5,1000002.106
0.866,0,980000,B,5,1000002.106
0.889,0,1030000,B,5,1000002.106
0.891,0,1060000,S,5,1000002.106
0.929,0,970000,B,5,1000002.106
0.968,0,940000,B,5,1000002.106
0.99,0,920000,B,5,1000002.106
1.035,0,920000,B,5,1000002.106
1.094,0,960000,B,5,1000002.106
1.159,0,980000,B,5,1000002.106
1.268,0,980000,B,5,1000002.106
1.269,0,1080000,S,5,1000002.106
1.274,0,1050000,B,5,1000002.106
1.291,0,980000,S,5,1000002.106
1.343,0,990000,S,5,1000002.106
1.344,0,970000,B,5,1000002.106
1.378,0,1070000,S,5,1000002.106
1.447,0,1020000,S,5,1000002.106
1.457,0,950000,B,5,1000002.106
1.491,0,1040000,S,5,1000002.106
1.547,0,1050000,S,5,1000002.106
1.649,0,1020000,S,5,1000002.106
1.716,0,950000,B,5,1000002.106
1.737,0,940000,B,5,1000002.106
1.757,0,1030000,S,5,1000002.106
1.785,0,980000,S,5,1000002.106
1.798,0,1020000,S,5,1000002.106
1.821,0,1000000,S,5,1000002.106
1.865,0,1020000,S,5,1000002.106
1.883,0,1050000,S,5,1000002.106
1.894,0,970000,B,5,1000002.106
1.978,0,970000,B,5,1000002.106
2.049,0,1040000,S,5,1000002.106
2.079,0,1020000,B,5,1000002.106
2.199,0,1010000,B,5,1000002.106
2.268,0,970000,B,5,1000002.106
2.343,0,950000,B,5,1000002.106
2.349,0,950000,B,5,1000002.106
2.412,0,1000000,S,5,1000002.106
2.474,0,950000,B,5,1000002.106
2.498,0,960000,S,5,1000002.106
2.5,0,1010000,S,5,1000002.106
2.569,0,1020000,B,5,1000002.106
2.584,0,1050000,S,5,1000002.106
2.82,0,930000,B,5,1000002.106
2.84,0,980000,B,5,1000002.106
2.848,0,1030000,S,5,1000002.106
2.95,0,970000,B,5,1000002.106
2.989,0,930000,B,5,1000002.106
3.005,0,1030000,B,5,1000002.106
3.031,0,980000,B,5,1000002.106
3.044,0,1050000,S,5,1000002.106
3.058,0,980000,B,5,1000002.106
3.062,0,1020000,S,5,1000002.106
3.084,0,980000,B,5,1000002.106
3.128,0,1020000,S,5,1000002.106
3.182,0,990000,B,5,1000002.106
3.201,0,1000000,S,5,1000002.106
3.23,0,970000,B,5,1000002.106
3.312,0,1020000,S,5,1000002.106
3.36,0,960000,S,5,1000002.106
3.368,0,1030000,S,5,1000002.106
3.373,0,1030000,S,5,1000002.106
3.442,0,970000,S,5,1000002.106
3.461,0,960000,B,5,1000002.106
3.483,0,1030000,S,5,1000002.106
3.505,0,1010000,B,5,1000002.106
3.555,0,1030000,S,5,1000002.106
3.668,0,1000000,S,5,1000002.106
3.703,0,1060000,S,5,1000002.106
3.793,0,980000,S,5,1000002.106
3.805,0,1010000,B,5,1000002.106
3.844,0,990000,B,5,1000002.106
3.853,0,990000,S,5,1000002.106
3.938,0,980000,B,5,1000002.106
3.94,0,960000,S,5,1000002.106
4.052,0,1030000,S,5,1000002.106
4.058,0,980000,B,5,1000002.106
4.108,0,960000,B,5,1000002.106
4.137,0,1010000,S,5,1000002.106
4.149,0,1000000,S,5,1000002.106
4.186,0,1010000,B,5,1000002.106
4.293,0,980000,S,5,1000002.106
4.352,0,940000,B,5,1000002.106
4.397,0,990000,B,5,1000002.106
4.402,0,970000,B,5,1000002.106
4.46,0,1000000,S,5,1000002.106
4.555,0,1040000,S,5,1000002.106
4.568,0,980000,B,5,1000002.106
4.604,0,1040000,S,5,1000002.106
4.692,0,990000,B,5,1000002.106
4.758,0,1030000,S,5,1000002.106
4.783,0,1030000,S,5,1000002.106
4.817,0,1030000,S,5,1000002.106
4.849,0,950000,B,5,1000002.106
4.868,0,990000,B,5,1000002.106
4.888,0,980000,B,5,1000002.106
5.049,0,950000,B,5,1000002.106
5.189,0,980000,B,5,1000002.106
5.242,0,910000,B,5,1000002.106
5.288,0,980000,B,5,1000002.106
5.342,0,1010000,B,5,1000002.106
5.345,0,1010000,B,5,1000002.106
5.353,0,1000000,B,5,1000002.106
5.366,0,950000,B,5,1000002.106
5.369,0,1020000,S,5,1000002.106
5.41,0,1020000,S,5,1000002.106
5.481,0,1000000,S,5,1000002.106
5.495,0,980000,S,5,1000002.106
5.511,0,970000,B,5,1000002.106
5.564,0,1040000,B,5,1000002.106
5.616,0,940000,B,5,1000002.106
5.662,0,1020000,S,5,1000002.106
5.766,0,1050000,S,5,1000002.106
5.776,0,970000,S,5,1000002.106
5.811,0,1010000,S,5,1000002.106
5.867,0,910000,B,5,1000002.106
5.938,0,1010000,B,5,1000002.106
5.946,0,940000,B,5,1000002.106
5.994,0,970000,S,5,1000002.106
6.002,0,960000,B,5,1000002.106
6.016,0,980000,B,5,1000002.106
6.174,0,960000,B,5,1000002.106
6.241,0,1030000,S,5,1000002.106
6.579,0,1080000,S,5,1000002.106
6.582,0,980000,B,5,1000002.106
6.609,0,950000,B,5,1000002.106
