arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.03,0,980000,B,5,1000010.636
0.112,0,970000,B,5,1000010.636
0.159,0,1010000,B,5,1000010.636
0.312,0,1040000,B,5,1000010.636
0.395,0,1050000,S,5,1000010.636
0.449,0,1010000,B,5,1000010.636
0.513,0,1020000,S,5,1000010.636
0.516,0,1010000,S,5,1000010.636
0.641,0,990000,S,5,1000010.636
0.727,0,1050000,S,5,1000010.636
0.768,0,910000,B,5,1000010.636
0.888,0,980000,B,5,1000010.636
0.914,0,1020000,S,5,1000010.636
0.939,0,990000,B,5,1000010.636
1.039,0,1050000,S,5,1000010.636
1.081,0,970000,B,5,1000010.636
1.107,0,1060000,S,5,1000010.636
1.62,0,1020000,S,5,1000010.636
1.622,0,1070000,S,5,1000010.636
1.793,0,1010000,S,5,1000010.636
2.096,0,920000,S,5,1000010.636
2.16,0,1000000,S,5,1000010.636
2.256,0,910000,B,5,1000010.636
2.736,0,1090000,S,5,1000010.636
2.789,0,1020000,B,5,1000010.636
3.334,0,1080000,S,5,1000010.636
3.34,0,1000000,B,5,1000010.636
3.738,0,1030000,S,5,1000010.636
3.984,0,1000000,S,5,1000010.636
4.318,0,990000,S,5,1000010.636
4.388,0,1040000,S,5,1000010.636
4.442,0,1030000,S,5,1000010.636
4.484,0,990000,S,5,1000010.636
4.56,0,1020000,S,5,1000010.636
4.687,0,980000,S,5,1000010.636
4.692,0,1020000,B,5,1000010.636
4.733,0,1010000,B,5,1000010.636
4.867,0,1030000,S,5,1000010.636
4.889,0,1000000,B,5,1000010.636
4.89,0,1010000,S,5,1000010.636
4.924,0,970000,B,5,1000010.636
4.935,0,1030000,S,5,1000010.636
5.106,0,970000,B,5,1000010.636
5.261,0,950000,B,5,1000000.693
5.312,0,990000,S,5,1000000.693
5.413,0,960000,B,5,1000000.693
5.754,0,1040000,S,5,1000000.693
5.882,0,1020000,B,5,1000000.693
5.944,0,980000,B,5,1000000.693
6.099,0,1020000,S,5,1000000.693
6.243,0,1050000,S,5,1000000.693
6.248,0,1030000,S,5,1000000.693
6.291,0,970000,B,5,1000000.693
6.302,0,1020000,S,5,1000000.693
6.333,0,1040000,S,5,1000000.693
6.662,0,960000,S,5,1000001.557
6.711,0,950000,B,5,1000001.557
6.979,0,1040000,S,5,1000001.557
7.079,0,1040000,S,5,1000001.557
7.093,0,1040000,S,5,1000001.557
7.345,0,1040000,S,5,1000001.564
7.357,0,1050000,S,5,1000001.564
7.359,0,1020000,S,5,1000001.564
7.38,0,1040000,B,5,1000001.564
7.412,0,1000000,S,5,1000001.564
7.457,0,910000,B,5,1000001.564
7.6,0,970000,B,5,1000001.564
7.661,0,1010000,B,5,1000001.564
7.73,0,990000,S,5,1000001.564
7.793,0,1060000,S,5,1000001.564
7.886,0,980000,B,5,1000001.564
7.898,0,1020000,S,5,1000001.564
7.901,0,1060000,S,5,1000001.564
8.097,0,1000000,S,5,1000001.564
8.154,0,990000,S,5,1000001.564
8.28,0,1000000,B,5,1000001.564
8.29,0,960000,B,5,1000001.564
8.302,0,1050000,S,5,1000001.564
8.321,0,940000,B,5,1000001.564
8.644,0,990000,B,5,1000001.564
8.661,0,1030000,S,5,1000001.564
8.76,0,980000,B,5,1000001.564
8.953,0,1030000,S,5,1000001.564
9.083,0,1020000,S,5,1000001.564
9.141,0,1020000,B,5,1000001.564
9.225,0,1040000,B,5,1000001.564
9.267,0,1010000,B,5,1000001.564
9.284,0,930000,B,5,1000001.564
9.498,0,1010000,S,5,1000001.564
9.582,0,1020000,S,5,1000001.564
9.703,0,990000,B,5,1000001.564
9.762,0,1000000,B,5,1000001.564
9.939,0,980000,B,5,1000001.564
9.954,0,1030000,B,5,1000001.564
10.119,0,1010000,B,5,1000001.564
10.219,0,1030000,S,5,1000001.564
10.394,0,1070000,S,5,1000001.564
10.556,0,1030000,S,5,1000001.564
10.671,0,1010000,S,5,1000001.564
10.86,0,940000,B,5,1000001.564
10.908,0,980000,B,5,1000001.93
10.935,0,960000,B,5,1000001.93
11.015,0,990000,S,5,1000001.93
11.154,0,1060000,S,5,1000001.93
11.251,0,950000,B,5,1000001.93
11.31,0,1010000,S,5,1000001.93
11.458,0,910000,S,5,1000001.93
11.519,0,980000,S,5,1000001.93
11.675,0,970000,B,5,1000001.93
