arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.051,1,1040000,B,5,1050460.834
0.1,1,1110000,B,5,1050460.834
0.143,1,1040000,B,5,1050460.834
0.353,1,1060000,S,5,1050460.834
0.538,1,1140000,S,5,1050460.834
0.634,1,1020000,B,5,1050460.834
0.676,1,1050000,B,5,1050460.834
0.677,1,1050000,S,5,1050460.834
0.838,1,1070000,S,5,1050460.834
1.06,1,1070000,S,5,1050460.834
1.125,1,1090000,B,5,1050460.834
1.334,1,1060000,B,5,1050460.834
1.63,1,1070000,S,5,1050460.834
1.639,1,1030000,B,5,1050460.834
1.647,1,1020000,B,5,1050460.834
1.79,1,1050000,B,5,1050460.834
2.055,1,1030000,B,5,1050460.834
2.086,1,1070000,S,5,1050460.834
2.122,1,1050000,S,5,1050460.834
2.201,1,1110000,S,5,1050460.834
2.227,1,1010000,B,5,1050460.834
2.259,1,1040000,S,5,1050460.834
2.416,1,1030000,B,5,1050460.834
2.546,1,1080000,S,5,1050460.834
2.704,1,1060000,B,5,1050460.834
2.786,1,1100000,S,5,1050460.834
2.984,1,1070000,B,5,1050460.834
3.028,1,1060000,B,5,1050460.834
3.057,1,1100000,S,5,1050460.834
3.225,1,1060000,B,5,1050460.834
3.368,1,1030000,S,5,1050460.834
3.428,1,1000000,B,5,1050460.834
3.48,1,1040000,B,5,1050460.834
3.485,1,1040000,S,5,1050460.834
3.594,1,1030000,S,5,1050460.834
3.669,1,1070000,S,5,1050460.834
3.753,1,1090000,S,5,1050460.834
3.765,1,1000000,S,5,1050460.834
3.846,1,1030000,B,5,1050460.834
3.931,1,1080000,B,5,1050460.834
4.053,1,990000,B,5,1050460.834
4.201,1,1070000,B,5,1050460.834
4.419,1,1110000,S,5,1050460.834
4.57,1,1080000,B,5,1050460.834
4.687,1,1070000,B,5,1050460.834
4.758,1,1050000,B,5,1050460.834
5.115,1,1050000,B,5,1050460.834
5.158,1,1010000,B,5,1050460.834
5.164,1,1100000,S,5,1050460.834
5.532,1,1040000,S,5,1050460.834
5.568,1,980000,S,5,1050460.834
5.685,1,1020000,B,5,1050460.834
5.833,1,1050000,S,5,1050460.834
5.835,1,1050000,S,5,1050460.834
5.862,1,970000,B,5,1050460.834
5.955,1,1000000,B,5,1050460.834
5.975,1,1060000,S,5,1050460.834
6.063,1,1030000,B,5,1050460.834
6.089,1,1010000,S,5,1050460.834
6.114,1,1070000,B,5,1050460.834
6.138,1,1020000,B,5,1050460.834
6.166,1,1020000,B,5,1050460.834
6.22,1,1050000,B,5,1050460.834
6.294,1,1100000,S,5,1050460.834
