arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.021,1,1200000,S,5,1148307.208
0.027,1,1120000,B,5,1148307.208
0.064,1,1120000,B,5,1148307.208
0.086,1,1160000,B,5,1148307.208
0.138,1,1180000,S,5,1148307.208
0.14,1,1180000,B,5,1148307.208
0.142,1,1090000,B,5,1148307.208
0.191,1,1210000,S,5,1148307.208
0.331,1,1120000,B,5,1148307.208
0.386,1,1090000,B,5,1148307.208
0.44,1,1150000,S,5,1148307.208
0.494,1,1190000,S,5,1148307.208
0.511,1,1170000,S,5,1148307.208
0.548,1,1120000,B,5,1148307.208
0.57,1,1130000,B,5,1148307.208
0.588,1,1140000,B,5,1148307.208
0.63,1,1110000,B,5,1148307.208
0.752,1,1100000,B,5,1148307.208
0.76,1,1130000,B,5,1148307.208
0.803,1,1100000,B,5,1148307.208
0.81,1,1140000,B,5,1148307.208
0.938,1,1140000,S,5,1148307.208
0.957,1,1130000,B,5,1148307.208
1.037,1,1120000,B,5,1148307.208
1.04,1,1190000,S,5,1148307.208
1.204,1,1200000,S,5,1148307.208
1.24,1,1130000,S,5,1148307.208
1.308,1,1210000,S,5,1148307.208
1.545,1,1110000,B,5,1148307.208
1.587,1,1220000,S,5,1148307.208
1.656,1,1180000,S,5,1148307.208
1.742,1,1160000,B,5,1148307.208
1.814,1,1110000,S,5,1148307.208
1.829,1,1210000,S,5,1148307.208
1.96,1,1110000,B,5,1148307.208
1.978,1,1160000,S,5,1148307.208
10.122,1,1110000,B,5,1148307.208
10.146,1,1170000,S,5,1148307.208
10.146,1,1100000,B,5,1148307.208
10.172,1,1130000,B,5,1148307.208
10.206,1,1120000,B,5,1148307.208
10.274,1,1100000,B,5,1148307.208
10.337,1,1160000,S,5,1148307.208
10.45,1,1230000,S,5,1148307.208
10.527,1,1160000,S,5,1148307.208
10.651,1,1220000,S,5,1148307.208
10.664,1,1200000,S,5,1148307.208
10.673,1,1140000,S,5,1148307.208
10.709,1,1070000,B,5,1148307.208
10.719,1,1110000,B,5,1148307.208
10.826,1,1200000,B,5,1148307.208
10.828,1,1210000,S,5,1148307.208
10.852,1,1100000,B,5,1148307.208
100.084,1,970000,S,5,977335.665
100.153,1,1010000,S,5,977335.665
100.243,1,990000,S,5,977335.665
100.269,1,980000,S,5,977335.665
100.39,1,1040000,S,5,977335.665
100.435,1,1060000,S,5,977335.665
100.482,1,980000,B,5,977335.665
100.504,1,1060000,S,5,977335.665
100.573,1,970000,B,5,977335.665
100.621,1,1000000,B,5,977335.665
100.627,1,970000,B,5,977335.665
100.627,1,1010000,S,5,977335.665
100.669,1,960000,B,5,977335.665
100.732,1,960000,B,5,977335.665
100.839,1,910000,B,5,977335.665
100.888,1,940000,B,5,977335.665
100.911,1,950000,S,5,977335.665
100.934,1,980000,B,5,977335.665
100.997,1,990000,B,5,977335.665
101.019,1,1060000,S,5,977335.665
101.046,1,990000,B,5,977335.665
101.07,1,1000000,S,5,977335.665
101.201,1,990000,B,5,977335.665
101.202,1,1050000,S,5,977335.665
101.239,1,990000,S,5,977335.665
101.315,1,950000,B,5,977335.665
101.325,1,970000,B,5,977335.665
101.372,1,1000000,S,5,977335.665
101.395,1,1020000,S,5,977335.665
101.397,1,910000,B,5,977335.665
101.408,1,1000000,S,5,977335.665
101.427,1,910000,B,5,977335.665
101.537,1,930000,B,5,977335.665
101.543,1,940000,B,5,977335.665
101.607,1,1020000,S,5,977335.665
101.641,1,990000,S,5,977335.665
101.662,1,970000,B,5,977335.665
101.673,1,1020000,S,5,977335.665
101.729,1,1040000,S,5,977335.665
101.744,1,980000,B,5,977335.665
101.768,1,970000,B,5,977335.665
101.799,1,980000,B,5,977335.665
101.83,1,980000,S,5,977335.665
101.855,1,990000,B,5,977335.665
101.912,1,1030000,S,5,977335.665
101.977,1,970000,B,5,977335.665
101.998,1,990000,S,5,977335.665
102.115,1,970000,B,5,977335.665
102.132,1,970000,B,5,977335.665
102.201,1,1010000,S,5,977335.665
102.395,1,1000000,S,5,977335.665
102.44,1,920000,B,5,977335.665
102.483,1,1010000,S,5,977335.665
102.486,1,970000,S,5,977335.665
102.518,1,950000,B,5,977335.665
102.587,1,970000,B,5,977335.665
102.736,1,1000000,B,5,977335.665
102.819,1,940000,S,5,977335.665
102.864,1,1020000,S,5,977335.665
103.037,1,910000,B,5,977335.665
103.067,1,940000,B,5,977335.665
103.257,1,970000,B,5,977335.665
103.257,1,960000,B,5,977335.665
103.261,1,990000,S,5,977335.665
103.273,1,970000,S,5,977335.665
103.336,1,1040000,S,5,977335.665
103.366,1,980000,B,5,977335.665
103.426,1,980000,B,5,977335.665
103.429,1,980000,S,5,977335.665
103.456,1,980000,S,5,977335.665
103.53,1,970000,B,5,977335.665
103.541,1,920000,B,5,977335.665
103.564,1,940000,S,5,977335.665
103.59,1,970000,S,5,977335.665
103.631,1,980000,S,5,977335.665
103.686,1,990000,S,5,977335.665
103.699,1,960000,B,5,977335.665
103.768,1,970000,S,5,977335.665
103.794,1,970000,S,5,977335.665
103.912,1,950000,B,5,977335.665
103.943,1,1020000,B,5,977335.665
103.944,1,950000,B,5,977335.665
104.007,1,980000,B,5,977335.665
104.023,1,980000,B,5,977335.665
104.085,1,980000,S,5,977335.665
104.088,1,1000000,S,5,977335.665
104.097,1,920000,B,5,977335.665
104.107,1,950000,B,5,977335.665
104.123,1,980000,B,5,977335.665
104.189,1,970000,B,5,977335.665
104.209,1,1000000,B,5,977335.665
104.25,1,970000,S,5,977335.665
104.25,1,1020000,S,5,977335.665
104.309,1,1010000,S,5,977335.665
104.325,1,990000,S,5,977335.665
104.475,1,960000,B,5,977335.665
104.525,1,950000,B,5,977335.665
104.579,1,990000,B,5,977335.665
104.646,1,1020000,B,5,977335.665
104.726,1,1000000,S,5,977335.665
104.746,1,970000,S,5,977335.665
104.757,1,1000000,S,5,977335.665
104.858,1,970000,B,5,977335.665
104.886,1,960000,S,5,977335.665
104.903,1,1000000,B,5,977335.665
104.903,1,960000,B,5,977335.665
104.909,1,960000,B,5,977335.665
104.994,1,930000,B,5,977335.665
105.05,1,950000,B,5,977335.665
105.095,1,1030000,S,5,977335.665
105.108,1,1040000,S,5,977335.665
105.288,1,980000,B,5,977335.665
105.314,1,1000000,S,5,977335.665
105.397,1,960000,B,5,977335.665
105.565,1,980000,S,5,977335.665
105.591,1,990000,B,5,977335.665
105.811,1,930000,B,5,977335.665
105.864,1,960000,B,5,977335.665
106.006,1,910000,B,5,977335.665
106.022,1,1000000,S,5,977335.665
106.029,1,990000,B,5,977335.665
106.06,1,990000,S,5,977335.665
106.115,1,1020000,S,5,977335.665
106.277,1,940000,S,5,977335.665
106.327,1,1000000,S,5,977335.665
106.396,1,1010000,S,5,977335.665
106.41,1,980000,S,5,977335.665
106.421,1,1010000,S,5,977335.665
106.436,1,990000,B,5,977335.665
106.503,1,1000000,B,5,977335.665
106.561,1,960000,B,5,977335.665
106.591,1,970000,B,5,977335.665
106.627,1,990000,B,5,977335.665
106.656,1,1040000,S,5,977335.665
106.667,1,940000,B,5,977335.665
106.702,1,950000,B,5,977335.665
106.735,1,960000,B,5,977335.665
106.776,1,990000,B,5,977335.665
106.79,1,940000,B,5,977335.665
106.895,1,1010000,S,5,977335.665
106.936,1,960000,B,5,977335.665
106.986,1,1020000,S,5,977335.665
107.052,1,1000000,B,5,977335.665
107.129,1,1050000,S,5,977335.665
107.199,1,960000,B,5,977335.665
107.201,1,960000,S,5,977335.665
107.203,1,1040000,S,5,977335.665
107.338,1,1000000,S,5,977335.665
107.387,1,1040000,S,5,977335.665
107.403,1,1040000,S,5,977335.665
107.449,1,990000,B,5,977335.665
107.453,1,970000,B,5,977335.665
107.514,1,990000,S,5,977335.665
107.587,1,960000,B,5,977335.665
107.62,1,980000,S,5,977335.665
107.67,1,970000,B,5,977335.665
107.805,1,940000,B,5,977335.665
107.866,1,960000,B,5,977335.665
107.973,1,970000,S,5,977335.665
107.98,1,940000,B,5,977335.665
108.054,1,950000,B,5,977335.665
108.163,1,980000,B,5,977335.665
108.233,1,970000,S,5,977335.665
108.243,1,930000,B,5,977335.665
108.265,1,1010000,S,5,977335.665
108.28,1,970000,B,5,977335.665
108.304,1,950000,B,5,977335.665
108.318,1,940000,S,5,977335.665
108.471,1,910000,B,5,977335.665
108.494,1,990000,B,5,977335.665
108.505,1,920000,B,5,977335.665
108.549,1,1010000,S,5,977335.665
108.652,1,1000000,S,5,977335.665
108.759,1,940000,B,5,977335.665
108.842,1,950000,B,5,977335.665
108.879,1,930000,B,5,977335.665
108.97,1,970000,B,5,977335.665
108.983,1,990000,B,5,977335.665
109.063,1,990000,S,5,977335.665
109.078,1,1030000,S,5,977335.665
109.089,1,1020000,S,5,977335.665
109.155,1,940000,B,5,977335.665
109.181,1,930000,B,5,977335.665
109.242,1,1020000,S,5,977335.665
109.412,1,950000,B,5,977335.665
109.468,1,1020000,S,5,977335.665
109.474,1,990000,S,5,977335.665
109.483,1,940000,B,5,977335.665
109.728,1,950000,B,5,977335.665
109.754,1,960000,S,5,977335.665
109.834,1,950000,B,5,977335.665
109.848,1,910000,B,5,977335.665
109.918,1,960000,B,5,977335.665
109.924,1,980000,S,5,977335.665
109.929,1,990000,S,5,977335.665
109.943,1,1070000,S,5,977335.665
11.032,1,1200000,S,5,1148307.208
11.042,0,,J,,1006462.946
11.091,1,1050000,S,5,1006462.946
11.137,1,980000,B,5,1006462.946
11.148,1,990000,B,5,1006462.946
11.15,1,960000,B,5,1006462.946
11.233,1,980000,B,5,1006462.946
11.301,1,1040000,S,5,1006462.946
11.363,1,1020000,B,5,1006462.946
11.436,1,940000,B,5,1006462.946
11.438,1,1000000,B,5,1006462.946
11.62,1,1010000,B,5,1006462.946
11.692,1,980000,S,5,1006462.946
11.757,1,960000,B,5,1006462.946
11.816,1,980000,B,5,1006462.946
11.829,1,1050000,S,5,1006462.946
11.837,1,1020000,S,5,1006462.946
11.859,1,980000,B,5,1006462.946
11.925,1,990000,S,5,1006462.946
11.975,1,1010000,S,5,1006462.946
11.995,1,940000,B,5,1006462.946
11.997,1,990000,B,5,1006462.946
110.046,1,970000,S,5,977335.665
110.116,0,,J,,1021190.747
110.178,1,1040000,B,5,1021190.747
110.247,1,1040000,B,5,1021190.747
110.266,1,980000,B,5,1021190.747
110.29,1,1040000,S,5,1021190.747
110.392,1,1050000,S,5,1021190.747
110.398,1,1010000,B,5,1021190.747
110.399,1,990000,S,5,1021190.747
110.424,1,970000,S,5,1021190.747
110.486,1,990000,B,5,1021190.747
110.624,1,1050000,S,5,1021190.747
110.627,1,1050000,B,5,1021190.747
110.661,1,1020000,S,5,1021190.747
110.671,1,1020000,S,5,1021190.747
110.671,1,940000,B,5,1021190.747
110.728,1,1050000,B,5,1021190.747
110.795,1,960000,B,5,1021190.747
110.796,1,990000,S,5,1021190.747
110.9,1,1020000,B,5,1021190.747
110.901,1,1060000,S,5,1021190.747
110.922,1,1010000,B,5,1021190.747
110.95,1,1060000,S,5,1021190.747
111.027,1,1070000,S,5,1021190.747
111.108,1,950000,B,5,1021190.747
111.284,1,1020000,B,5,1021190.747
111.285,1,1060000,S,5,1021190.747
111.366,1,940000,B,5,1021190.747
111.392,1,1010000,B,5,1021190.747
111.393,1,1020000,B,5,1021190.747
111.431,1,1030000,B,5,1021190.747
111.463,1,1080000,S,5,1021190.747
111.496,1,970000,B,5,1021190.747
111.524,1,990000,S,5,1021190.747
111.642,1,1040000,B,5,1021190.747
111.75,1,1000000,B,5,1021190.747
111.846,1,900000,B,5,1021190.747
111.847,1,1010000,B,5,1021190.747
111.899,1,960000,B,5,1021190.747
111.914,1,1020000,S,5,1021190.747
111.919,1,1020000,B,5,1021190.747
111.941,1,1020000,S,5,1021190.747
112.024,1,960000,B,5,1021190.747
112.025,1,1010000,B,5,1021190.747
112.046,1,1060000,S,5,1021190.747
112.049,1,990000,B,5,1021190.747
112.084,1,980000,B,5,1021190.747
112.098,1,1020000,S,5,1021190.747
112.135,1,1030000,S,5,1021190.747
112.166,1,960000,S,5,1021190.747
112.209,1,1040000,S,5,1021190.747
112.276,1,1090000,S,5,1021190.747
112.371,1,1020000,B,5,1021190.747
112.497,1,980000,B,5,1021190.747
112.56,1,1050000,S,5,1021190.747
112.642,1,1020000,B,5,1021190.747
112.649,1,990000,B,5,1021190.747
112.675,1,1090000,S,5,1021190.747
112.702,1,1050000,S,5,1021190.747
112.798,1,1000000,B,5,1021190.747
112.821,1,1030000,B,5,1021190.747
112.948,1,1010000,B,5,1021190.747
112.961,1,1020000,S,5,1021190.747
113.084,1,990000,B,5,1021190.747
113.131,1,1020000,B,5,1021190.747
113.192,1,910000,B,5,1021190.747
113.249,1,1040000,S,5,1021190.747
113.291,1,1030000,B,5,1021190.747
113.301,1,1030000,S,5,1021190.747
113.388,1,980000,B,5,1021190.747
113.395,1,1030000,S,5,1021190.747
113.409,1,1060000,S,5,1021190.747
113.486,1,960000,B,5,1021190.747
113.499,1,1050000,S,5,1021190.747
113.585,1,1000000,S,5,1021190.747
113.684,1,1030000,S,5,1021190.747
113.736,1,1000000,B,5,1021190.747
113.894,1,980000,B,5,1021190.747
113.907,1,1000000,B,5,1021190.747
113.934,1,1070000,S,5,1021190.747
114.055,1,1030000,B,5,1021190.747
114.076,1,1050000,S,5,1021190.747
114.09,1,1040000,S,5,1021190.747
114.096,1,1050000,S,5,1021190.747
114.142,1,1000000,S,5,1021190.747
114.185,1,1080000,S,5,1021190.747
114.19,1,990000,B,5,1021190.747
114.289,1,1010000,B,5,1021190.747
114.351,1,1010000,S,5,1021190.747
114.412,1,1020000,B,5,1021190.747
114.437,1,940000,B,5,1021190.747
114.505,1,1010000,B,5,1021190.747
114.509,1,980000,B,5,1021190.747
114.654,1,1000000,S,5,1021190.747
114.926,1,970000,B,5,1021190.747
114.942,1,1080000,S,5,1021190.747
115.019,1,1030000,B,5,1021190.747
115.022,1,1070000,B,5,1021190.747
115.207,1,1060000,S,5,1021190.747
115.259,1,1020000,S,5,1021190.747
115.287,1,1010000,S,5,1021190.747
115.494,1,980000,B,5,1021190.747
115.502,1,1020000,B,5,1021190.747
115.586,1,950000,B,5,1021190.747
115.613,1,1020000,S,5,1021190.747
115.646,1,980000,B,5,1021190.747
115.662,1,1020000,B,5,1021190.747
115.672,1,1060000,S,5,1021190.747
115.675,1,1080000,S,5,1021190.747
115.837,1,970000,S,5,1021190.747
115.845,1,1020000,S,5,1021190.747
115.855,1,1050000,S,5,1021190.747
115.886,1,1100000,S,5,1021190.747
115.95,1,980000,S,5,1021190.747
115.958,1,1050000,B,5,1021190.747
116.006,1,1020000,B,5,1021190.747
116.028,1,950000,B,5,1021190.747
116.054,1,980000,B,5,1021190.747
116.133,1,980000,B,5,1021190.747
116.276,1,1030000,S,5,1021190.747
116.316,1,990000,B,5,1021190.747
116.323,1,1040000,S,5,1021190.747
116.359,1,1030000,S,5,1021190.747
116.418,1,1010000,S,5,1021190.747
116.459,1,1050000,S,5,1021190.747
116.466,1,990000,B,5,1021190.747
116.495,1,1040000,B,5,1021190.747
116.522,1,1090000,S,5,1021190.747
116.638,1,1010000,S,5,1021190.747
116.67,1,1060000,S,5,1021190.747
116.673,1,970000,B,5,1021190.747
116.74,1,1020000,S,5,1021190.747
116.931,1,1050000,S,5,1021190.747
117.044,1,1010000,B,5,1021190.747
117.057,1,920000,B,5,1021190.747
117.063,1,1010000,B,5,1021190.747
117.152,1,1000000,B,5,1021190.747
117.204,1,1030000,B,5,1021190.747
117.255,1,1030000,B,5,1021190.747
117.277,1,1010000,B,5,1021190.747
117.476,1,1010000,B,5,1021190.747
117.556,1,990000,S,5,1021190.747
117.639,1,980000,B,5,1021190.747
117.797,1,1010000,B,5,1021190.747
117.798,1,1020000,S,5,1021190.747
117.802,1,980000,B,5,1021190.747
117.881,1,1000000,S,5,1021190.747
117.915,1,1050000,B,5,1021190.747
117.926,1,1050000,S,5,1021190.747
117.951,1,960000,B,5,1021190.747
117.983,1,1000000,S,5,1021190.747
118.039,1,980000,B,5,1021190.747
118.072,1,1070000,S,5,1021190.747
118.087,1,1070000,S,5,1021190.747
118.141,1,1080000,S,5,1021190.747
118.157,1,970000,B,5,1021190.747
118.297,1,1070000,S,5,1021190.747
118.321,1,1010000,B,5,1021190.747
118.349,1,990000,S,5,1021190.747
118.349,1,990000,B,5,1021190.747
118.403,1,1060000,S,5,1021190.747
118.431,1,1050000,S,5,1021190.747
118.518,1,1020000,B,5,1021190.747
118.559,1,1040000,S,5,1021190.747
118.568,1,1010000,S,5,1021190.747
118.619,1,1000000,B,5,1021190.747
118.62,1,940000,B,5,1021190.747
118.621,1,970000,B,5,1021190.747
118.639,1,1030000,B,5,1021190.747
118.642,1,1100000,S,5,1021190.747
118.645,1,1040000,B,5,1021190.747
118.654,1,1040000,S,5,1021190.747
118.736,1,970000,B,5,1021190.747
118.745,1,940000,B,5,1021190.747
118.823,1,1070000,S,5,1021190.747
118.824,1,1060000,S,5,1021190.747
118.858,1,1000000,S,5,1021190.747
119.019,1,980000,B,5,1021190.747
119.04,1,980000,B,5,1021190.747
119.158,1,980000,B,5,1021190.747
119.187,1,1020000,S,5,1021190.747
119.268,1,1040000,S,5,1021190.747
119.274,1,1040000,S,5,1021190.747
119.358,1,1040000,S,5,1021190.747
119.36,1,1040000,B,5,1021190.747
119.393,1,1050000,S,5,1021190.747
119.413,1,970000,B,5,1021190.747
119.438,1,1060000,S,5,1021190.747
119.454,1,1060000,S,5,1021190.747
119.462,1,1030000,S,5,1021190.747
119.671,1,1010000,B,5,1021190.747
119.676,1,980000,B,5,1021190.747
119.695,1,1020000,S,5,1021190.747
119.702,1,960000,B,5,1021190.747
119.711,1,950000,B,5,1021190.747
119.788,1,1030000,B,5,1021190.747
119.813,1,990000,B,5,1021190.747
119.87,1,970000,S,5,1021190.747
119.886,1,1040000,B,5,1021190.747
119.899,1,980000,B,5,1021190.747
119.906,1,1040000,B,5,1021190.747
119.909,1,980000,B,5,1021190.747
119.916,1,1010000,B,5,1021190.747
119.986,1,990000,S,5,1021190.747
12.125,1,1040000,B,5,1006462.946
12.159,1,1000000,S,5,1006462.946
12.182,1,1050000,S,5,1006462.946
12.191,1,1000000,B,5,1006462.946
12.192,1,950000,B,5,1006462.946
12.257,1,1000000,S,5,1006462.946
12.375,1,1010000,B,5,1006462.946
12.39,1,950000,B,5,1006462.946
12.393,1,990000,B,5,1006462.946
12.412,1,960000,B,5,1006462.946
12.572,1,1000000,S,5,1006462.946
12.631,1,1030000,S,5,1006462.946
12.632,1,1000000,B,5,1006462.946
12.809,1,1040000,S,5,1006462.946
12.84,1,1000000,S,5,1006462.946
12.858,1,1050000,B,5,1006462.946
12.914,1,1020000,B,5,1006462.946
12.93,1,970000,B,5,1006462.946
12.987,1,980000,B,5,1006462.946
120.028,1,1010000,B,5,1021190.747
120.152,1,980000,B,5,1021190.747
120.285,1,1040000,S,5,1021190.747
120.34,1,1030000,B,5,1021190.747
120.358,1,920000,B,5,1021190.747
120.372,1,1000000,B,5,1021190.747
120.475,1,1050000,S,5,1021190.747
120.481,1,1080000,S,5,1021190.747
120.486,1,1010000,S,5,1021190.747
120.495,1,1020000,S,5,1021190.747
120.506,1,950000,B,5,1021190.747
120.528,1,1070000,S,5,1021190.747
120.647,1,1000000,B,5,1021190.747
120.678,1,1060000,S,5,1021190.747
120.73,1,1000000,B,5,1021190.747
120.944,1,1040000,B,5,1021190.747
120.945,1,1040000,B,5,1021190.747
120.946,1,980000,B,5,1021190.747
121.096,1,990000,S,5,1021190.747
121.122,1,1010000,B,5,1021190.747
121.168,1,1020000,S,5,1021190.747
121.237,1,1000000,S,5,1021190.747
121.244,1,1060000,S,5,1021190.747
121.271,1,1050000,S,5,1021190.747
121.421,1,1100000,S,5,1021190.747
121.433,1,1080000,S,5,1021190.747
121.452,1,1010000,B,5,1021190.747
121.486,1,980000,B,5,1021190.747
121.51,1,1010000,S,5,1021190.747
121.516,1,1040000,S,5,1021190.747
121.582,1,1050000,S,5,1021190.747
121.733,1,1010000,S,5,1021190.747
121.753,1,980000,S,5,1021190.747
121.785,1,990000,B,5,1021190.747
121.845,1,1000000,B,5,1021190.747
121.912,1,990000,B,5,1021190.747
122.115,1,1060000,S,5,1021190.747
122.132,1,1040000,B,5,1021190.747
