arrival_time,price
0.065,830000
0.191,850000
0.348,820000
0.876,860000
1.019,880000
1.115,870000
1.58,850000
1.807,850000
2.577,860000
2.776,850000
3.001,850000
3.246,840000
3.26,840000
3.729,840000
4.317,840000
4.372,860000
4.596,860000
4.977,860000
5.067,840000
6.49,840000
6.639,840000
7.247,840000
7.342,840000
7.597,840000
7.817,850000
7.86,840000
8.67,840000
8.999,850000
9.387,850000
9.779,840000
10.138,850000
10.866,850000
11.066,850000
11.428,850000
11.485,850000
11.56,850000
11.607,840000
11.707,840000
11.928,840000
11.965,850000
12.474,850000
12.505,850000
12.542,850000
12.611,850000
12.741,850000
12.811,860000
12.818,860000
12.963,860000
13.08,860000
13.245,860000
13.25,860000
13.258,870000
13.601,870000
13.736,870000
13.743,880000
13.776,880000
14.084,880000
14.232,880000
14.262,880000
14.38,900000
14.465,900000
14.624,900000
14.693,920000
15.039,930000
15.074,950000
15.075,960000
15.355,960000
15.503,960000
15.608,950000
15.747,960000
16.84,970000
16.902,960000
17.306,950000
18.047,950000
18.212,950000
18.329,950000
18.883,950000
18.993,950000
19.131,950000
19.147,940000
19.35,950000
19.645,940000
20.062,940000
20.129,950000
20.587,960000
20.715,950000
21.301,940000
21.613,940000
21.661,940000
21.892,940000
22.108,940000
22.253,940000
22.428,940000
22.751,940000
22.848,940000
23.425,940000
23.569,940000
23.952,950000
23.989,940000
24.55,940000
24.605,940000
24.717,940000
24.802,940000
25.252,940000
25.361,940000
25.497,950000
25.597,950000
25.676,950000
26.093,950000
26.127,950000
26.183,950000
26.703,950000
27.719,930000
28.142,930000
28.247,930000
28.307,930000
28.522,930000
28.595,940000
28.945,940000
29.175,940000
29.274,940000
29.363,950000
29.57,930000
29.574,930000
29.64,930000
29.825,930000
29.828,930000
30.507,930000
30.785,920000
30.791,920000
31.191,920000
31.288,940000
31.646,920000
31.905,920000
32.316,920000
32.383,920000
32.835,920000
33.216,920000
33.301,930000
33.816,920000
34.086,940000
34.209,920000
34.517,910000
34.647,910000
35.367,920000
35.849,910000
36.114,910000
36.201,910000
37.773,910000
37.82,910000
38.06,910000
38.118,910000
38.476,910000
38.48,920000
38.683,920000
39.442,920000
39.483,930000
40.306,920000
40.413,920000
40.5,930000
40.726,920000
41.023,920000
41.195,920000
41.246,920000
41.374,920000
41.514,920000
42.627,920000
42.69,920000
43.08,920000
43.163,930000
43.377,930000
43.464,930000
43.536,920000
43.707,930000
43.729,930000
43.835,930000
43.871,920000
44.145,920000
44.149,910000
44.736,910000
44.745,910000
44.819,910000
44.944,910000
45.091,910000
45.481,910000
45.545,910000
45.559,910000
45.63,890000
45.669,910000
45.828,890000
45.901,910000
45.98,900000
46.849,890000
46.859,880000
