arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.043,1,1060000,S,5,1051811.611
0.064,1,1040000,S,5,1051811.611
0.065,1,1060000,B,5,1051811.611
0.095,1,1050000,S,5,1051811.611
0.191,1,1070000,B,5,1051811.611
0.23,1,1020000,S,5,1051811.611
0.348,1,1050000,B,5,1051811.611
0.386,1,1040000,B,5,1051811.611
0.409,1,1020000,B,5,1051811.611
0.605,1,1020000,B,5,1051811.611
0.691,1,1120000,S,5,1051811.611
0.7,1,1020000,B,5,1051811.611
0.804,1,1050000,B,5,1051811.611
0.876,1,1080000,B,5,1051811.611
0.934,1,1080000,B,5,1051811.611
0.969,1,1030000,B,5,1051811.611
1.019,1,1040000,S,5,1051811.611
1.039,1,1050000,B,5,1051811.611
1.068,1,1070000,B,5,1051811.611
1.083,1,1070000,S,5,1051811.611
1.115,1,1050000,S,5,1051811.611
1.127,1,1060000,S,5,1051811.611
1.145,1,1090000,S,5,1051811.611
1.184,1,1050000,B,5,1051811.611
1.236,1,1060000,S,5,1051811.611
1.257,1,1110000,S,5,1051811.611
1.258,1,1080000,S,5,1051811.611
1.299,1,1120000,S,5,1051811.611
1.305,1,1010000,B,5,1051811.611
1.438,1,1080000,S,5,1051811.611
1.443,1,1060000,S,5,1051811.611
1.444,1,1020000,B,5,1051811.611
1.501,1,1020000,B,5,1051811.611
1.575,1,1010000,B,5,1051811.611
1.58,1,1040000,S,5,1051811.611
1.601,1,1090000,S,5,1051811.611
1.65,1,1020000,B,5,1051811.611
1.705,1,1000000,B,5,1051811.611
1.807,1,1030000,S,5,1051811.611
1.894,1,1100000,S,5,1051811.611
1.914,1,1090000,S,5,1051811.611
1.919,1,990000,B,5,1051811.611
1.927,1,1040000,B,5,1051811.611
1.955,1,1040000,B,5,1051811.611
10.134,1,1000000,S,5,989469.822
10.138,1,1010000,B,5,989469.822
10.15,1,980000,S,5,989469.822
10.203,1,990000,B,5,989469.822
10.258,1,970000,B,5,989469.822
10.292,1,1020000,S,5,989469.822
10.359,1,960000,B,5,989469.822
10.524,1,990000,S,5,989469.822
10.53,1,990000,B,5,989469.822
10.626,1,980000,S,5,989469.822
10.643,1,1000000,S,5,989469.822
10.647,1,970000,B,5,989469.822
10.669,1,980000,S,5,989469.822
10.676,1,1000000,S,5,989469.822
10.691,1,960000,B,5,989469.822
10.8,1,1000000,S,5,989469.822
10.818,1,1030000,S,5,989469.822
10.83,1,1020000,S,5,989469.822
10.866,1,970000,S,5,989469.822
10.901,1,1020000,S,5,989469.822
10.927,1,940000,B,5,989469.822
10.992,1,1010000,S,5,989469.822
100.033,1,1020000,S,5,1031785.028
100.069,1,1030000,S,5,1031785.028
100.212,1,1000000,B,5,1031785.028
100.212,1,1000000,S,5,1031785.028
100.217,1,1060000,B,5,1031785.028
100.469,1,1050000,B,5,1031785.028
100.486,1,1080000,S,5,1031785.028
100.57,1,1000000,B,5,1031785.028
100.701,1,1050000,S,5,1031785.028
100.721,1,970000,B,5,1031785.028
100.745,1,1010000,B,5,1031785.028
100.799,1,1020000,B,5,1031785.028
100.907,1,970000,B,5,1031785.028
100.943,1,1050000,S,5,1031785.028
100.96,1,1080000,S,5,1031785.028
100.99,1,980000,B,5,1031785.028
101.073,1,980000,B,5,1031785.028
101.077,1,1030000,B,5,1031785.028
101.124,1,1030000,B,5,1031785.028
101.147,1,980000,B,5,1031785.028
101.32,1,990000,B,5,1031785.028
101.339,1,1030000,B,5,1031785.028
101.354,1,1070000,S,5,1031785.028
101.378,1,1050000,S,5,1031785.028
101.515,1,1000000,S,5,1031785.028
101.568,1,1030000,B,5,1031785.028
101.686,1,1040000,S,5,1031785.028
101.697,1,1080000,S,5,1031785.028
101.708,1,1010000,B,5,1031785.028
101.713,1,1020000,B,5,1031785.028
101.83,1,930000,B,5,1031785.028
101.92,1,1020000,B,5,1031785.028
101.959,1,1040000,B,5,1031785.028
102.023,1,980000,B,5,1031785.028
102.038,1,1020000,B,5,1031785.028
102.048,1,1030000,B,5,1031785.028
102.08,1,1050000,S,5,1031785.028
102.107,1,1030000,S,5,1031785.028
102.151,1,1030000,B,5,1031785.028
102.199,1,1040000,S,5,1031785.028
102.217,1,1040000,B,5,1031785.028
102.303,1,1000000,B,5,1031785.028
102.356,1,1020000,B,5,1031785.028
102.502,1,1070000,S,5,1031785.028
102.55,1,1110000,S,5,1031785.028
102.571,1,1000000,S,5,1031785.028
102.706,1,1050000,S,5,1031785.028
102.714,1,1050000,S,5,1031785.028
102.79,1,1060000,B,5,1031785.028
102.79,1,1070000,S,5,1031785.028
102.817,1,1030000,S,5,1031785.028
102.857,1,980000,B,5,1031785.028
102.946,1,1080000,S,5,1031785.028
103.06,1,1020000,B,5,1031785.028
103.075,1,1050000,S,5,1031785.028
103.166,1,1060000,S,5,1031785.028
103.187,1,1030000,B,5,1031785.028
103.23,1,1050000,S,5,1031785.028
103.236,1,990000,B,5,1031785.028
103.25,1,1050000,S,5,1031785.028
103.292,1,1000000,S,5,1031785.028
103.332,1,1060000,B,5,1031785.028
103.378,1,1040000,B,5,1031785.028
103.387,1,1090000,S,5,1031785.028
103.395,1,1130000,B,5,1031785.028
103.397,1,1000000,S,5,1031785.028
103.413,1,1090000,S,5,1031785.028
103.457,1,1100000,S,5,1031785.028
103.479,1,1030000,B,5,1031785.028
103.555,1,1050000,S,5,1031785.028
103.573,1,980000,B,5,1031785.028
103.598,1,1020000,B,5,1031785.028
103.608,1,1060000,B,5,1031785.028
103.634,1,1050000,S,5,1031785.028
103.637,1,1070000,S,5,1031785.028
103.68,1,1060000,S,5,1031785.028
103.715,1,1080000,S,5,1031785.028
103.743,1,1100000,S,5,1031785.028
103.767,1,1040000,S,5,1031785.028
104.027,1,1080000,S,5,1031785.028
104.208,1,1060000,S,5,1031785.028
104.293,1,970000,B,5,1031785.028
104.377,1,1050000,S,5,1031785.028
104.404,1,1030000,B,5,1031785.028
104.416,1,1060000,S,5,1031785.028
104.469,1,1100000,S,5,1031785.028
104.493,1,1060000,S,5,1031785.028
104.499,1,1080000,B,5,1031785.028
104.578,1,1060000,S,5,1031785.028
104.589,1,1040000,S,5,1031785.028
104.638,1,1010000,B,5,1031785.028
104.645,1,1030000,B,5,1031785.028
104.662,1,1040000,S,5,1031785.028
104.704,1,1050000,S,5,1031785.028
104.717,1,1040000,S,5,1031785.028
104.749,1,1000000,B,5,1031785.028
104.84,1,1010000,B,5,1031785.028
104.854,1,1040000,B,5,1031785.028
104.878,1,1030000,S,5,1031785.028
104.898,1,1020000,S,5,1031785.028
104.955,1,1040000,S,5,1031785.028
104.982,1,990000,B,5,1031785.028
105.015,1,1020000,S,5,1031785.028
105.063,1,1030000,B,5,1031785.028
105.065,1,1070000,S,5,1031785.028
105.072,1,1070000,S,5,1031785.028
105.084,1,1040000,B,5,1031785.028
105.1,1,1080000,S,5,1031785.028
105.169,1,1040000,B,5,1031785.028
105.173,1,1030000,B,5,1031785.028
105.206,1,1060000,S,5,1031785.028
105.208,1,1050000,S,5,1031785.028
105.338,1,1060000,S,5,1031785.028
105.414,1,990000,B,5,1031785.028
105.422,1,1060000,S,5,1031785.028
105.444,1,1040000,S,5,1031785.028
105.457,1,1110000,S,5,1031785.028
105.581,1,1060000,S,5,1031785.028
105.602,1,1070000,B,5,1031785.028
105.683,1,1040000,B,5,1031785.028
105.74,1,1040000,S,5,1031785.028
105.808,1,1040000,S,5,1031785.028
105.844,1,1040000,B,5,1031785.028
106.116,1,1050000,B,5,1031785.028
106.222,1,1110000,S,5,1031785.028
106.283,1,1030000,B,5,1031785.028
106.297,1,1010000,B,5,1031785.028
106.303,1,1070000,S,5,1031785.028
106.304,1,1070000,S,5,1031785.028
106.33,1,1010000,B,5,1031785.028
106.36,1,1030000,S,5,1031785.028
106.366,1,1030000,B,5,1031785.028
106.452,1,1090000,S,5,1031785.028
106.496,1,1060000,S,5,1031785.028
106.514,1,1100000,S,5,1031785.028
106.517,1,1050000,S,5,1031785.028
106.524,1,1070000,S,5,1031785.028
106.588,1,1030000,S,5,1031785.028
106.636,1,1040000,S,5,1031785.028
106.684,1,980000,B,5,1031785.028
106.713,1,1000000,B,5,1031785.028
106.74,1,990000,B,5,1031785.028
106.74,1,1010000,B,5,1031785.028
106.748,1,970000,B,5,1031785.028
106.786,1,1040000,S,5,1031785.028
106.821,1,1090000,B,5,1031785.028
106.837,1,1040000,S,5,1031785.028
106.854,1,1010000,S,5,1031785.028
106.87,1,980000,B,5,1031785.028
106.902,1,1030000,B,5,1031785.028
106.938,1,1070000,S,5,1031785.028
107.064,1,1130000,S,5,1031785.028
107.084,1,1100000,S,5,1031785.028
107.086,1,1050000,B,5,1031785.028
107.128,1,980000,B,5,1031785.028
107.169,1,1000000,B,5,1031785.028
107.237,1,980000,B,5,1031785.028
107.337,1,960000,B,5,1031785.028
107.339,1,1050000,B,5,1031785.028
107.356,1,1040000,S,5,1031785.028
107.406,1,1100000,S,5,1031785.028
107.627,1,1000000,B,5,1031785.028
107.79,1,990000,B,5,1031785.028
107.806,1,1030000,S,5,1031785.028
107.812,1,990000,B,5,1031785.028
107.849,1,1060000,B,5,1031785.028
107.867,1,1090000,S,5,1031785.028
107.91,1,1030000,S,5,1031785.028
108.066,1,1010000,B,5,1031785.028
108.113,1,1030000,B,5,1031785.028
108.161,1,990000,B,5,1031785.028
108.233,1,1020000,B,5,1031785.028
108.298,1,1070000,S,5,1031785.028
108.348,1,1040000,S,5,1031785.028
108.462,1,1000000,S,5,1031785.028
108.478,1,1080000,S,5,1031785.028
108.511,1,1050000,S,5,1031785.028
108.514,1,1150000,S,5,1031785.028
108.561,1,1040000,B,5,1031785.028
108.575,1,1010000,B,5,1031785.028
108.654,1,990000,B,5,1031785.028
108.703,1,1090000,S,5,1031785.028
108.722,1,970000,B,5,1031785.028
108.807,1,1070000,S,5,1031785.028
108.86,1,1090000,S,5,1031785.028
108.897,1,1060000,S,5,1031785.028
109.104,1,1010000,B,5,1031785.028
109.183,1,1080000,S,5,1031785.028
109.191,1,980000,B,5,1031785.028
109.197,1,1050000,S,5,1031785.028
109.216,1,1070000,S,5,1031785.028
109.249,1,1070000,S,5,1031785.028
109.275,1,1020000,B,5,1031785.028
109.3,1,1050000,B,5,1031785.028
109.306,1,990000,B,5,1031785.028
109.31,1,990000,B,5,1031785.028
109.34,1,1040000,B,5,1031785.028
109.423,1,1060000,S,5,1031785.028
109.506,1,1070000,B,5,1031785.028
109.543,1,1020000,B,5,1031785.028
109.653,1,1040000,S,5,1031785.028
109.696,1,1090000,B,5,1031785.028
109.727,1,1060000,S,5,1031785.028
109.751,1,1040000,B,5,1031785.028
109.773,1,1050000,B,5,1031785.028
109.835,1,1020000,S,5,1031785.028
109.847,1,980000,B,5,1031785.028
109.86,1,1050000,B,5,1031785.028
11.059,1,1000000,S,5,989469.822
11.066,1,1000000,B,5,989469.822
11.066,1,1040000,S,5,989469.822
11.147,1,1010000,S,5,989469.822
11.159,1,930000,B,5,989469.822
11.202,1,1020000,S,5,989469.822
11.351,1,980000,B,5,989469.822
11.367,1,950000,B,5,989469.822
11.377,1,960000,B,5,989469.822
11.428,1,980000,S,5,989469.822
11.471,1,970000,B,5,989469.822
11.485,1,980000,S,5,989469.822
11.513,1,950000,B,5,989469.822
11.56,1,1020000,B,5,989469.822
11.567,1,980000,S,5,989469.822
11.607,1,970000,S,5,989469.822
11.652,1,970000,B,5,989469.822
11.707,1,940000,S,5,989469.822
11.86,1,1000000,S,5,989469.822
11.899,1,1040000,S,5,989469.822
11.928,1,950000,B,5,989469.822
11.931,1,980000,S,5,989469.822
11.964,1,980000,S,5,989469.822
11.965,1,1010000,B,5,989469.822
110.041,1,1110000,S,5,1031785.028
110.088,1,1030000,B,5,1031785.028
110.172,1,1090000,S,5,1031785.028
110.259,1,1100000,S,5,1031785.028
110.331,1,1000000,B,5,1031785.028
110.362,1,1050000,S,5,1031785.028
110.387,1,1020000,S,5,1031785.028
110.43,1,1060000,B,5,1031785.028
110.494,1,1030000,B,5,1031785.028
110.512,1,1020000,B,5,1031785.028
110.521,1,1020000,B,5,1031785.028
110.627,1,1080000,S,5,1031785.028
110.697,1,1050000,S,5,1031785.028
110.791,1,1070000,B,5,1031785.028
110.852,1,1030000,B,5,1031785.028
110.879,1,1060000,B,5,1031785.028
110.905,1,1000000,S,5,1031785.028
111.112,1,1040000,S,5,1031785.028
111.116,1,1020000,B,5,1031785.028
111.217,1,1030000,B,5,1031785.028
111.315,1,1060000,S,5,1031785.028
111.368,1,1080000,S,5,1031785.028
111.401,1,970000,B,5,1031785.028
111.411,1,1010000,B,5,1031785.028
111.508,1,990000,B,5,1031785.028
111.569,1,1020000,B,5,1031785.028
111.572,1,1030000,B,5,1031785.028
111.666,1,1020000,B,5,1031785.028
111.69,1,1030000,B,5,1031785.028
111.738,1,1070000,S,5,1031785.028
111.748,1,1120000,S,5,1031785.028
111.774,1,1000000,B,5,1031785.028
111.799,1,1070000,B,5,1031785.028
111.833,1,980000,B,5,1031785.028
111.841,1,980000,S,5,1031785.028
111.878,1,1030000,S,5,1031785.028
111.94,1,1060000,S,5,1031785.028
111.99,1,1020000,B,5,1031785.028
111.993,1,1040000,S,5,1031785.028
112.038,1,980000,B,5,1031785.028
112.098,1,1050000,S,5,1031785.028
112.098,1,1030000,S,5,1031785.028
112.184,1,1000000,B,5,1031785.028
112.189,1,1030000,B,5,1031785.028
112.277,1,980000,B,5,1031785.028
112.287,1,1020000,S,5,1031785.028
112.385,1,1050000,S,5,1031785.028
112.399,1,1040000,S,5,1031785.028
112.43,1,1000000,B,5,1031785.028
112.432,1,1060000,S,5,1031785.028
112.468,1,1000000,B,5,1031785.028
112.496,1,1060000,S,5,1031785.028
112.532,1,1020000,B,5,1031785.028
112.602,1,1000000,B,5,1031785.028
112.633,1,1000000,B,5,1031785.028
112.831,1,1040000,S,5,1031785.028
112.849,1,1050000,S,5,1031785.028
112.856,1,1040000,S,5,1031785.028
112.868,1,1060000,S,5,1031785.028
112.987,1,1060000,S,5,1031785.028
113.002,1,990000,B,5,1031785.028
113.151,1,1000000,S,5,1031785.028
113.2,1,1040000,S,5,1031785.028
113.202,1,1010000,B,5,1031785.028
113.24,1,1050000,S,5,1031785.028
113.25,1,1050000,S,5,1031785.028
113.253,1,970000,S,5,1031785.028
113.283,1,1010000,B,5,1031785.028
113.287,1,1030000,B,5,1031785.028
113.31,1,1050000,S,5,1031785.028
113.322,1,1040000,S,5,1031785.028
113.355,1,1010000,B,5,1031785.028
113.412,1,1040000,B,5,1031785.028
113.455,1,1030000,S,5,1031785.028
113.476,1,1020000,B,5,1031785.028
113.671,1,1000000,B,5,1031785.028
113.703,1,1060000,B,5,1031785.028
113.724,1,1040000,S,5,1031785.028
113.736,1,970000,B,5,1031785.028
113.745,1,1030000,S,5,1031785.028
113.844,1,1000000,S,5,1031785.028
113.858,1,1040000,B,5,1031785.028
113.859,1,1080000,S,5,1031785.028
113.865,1,1090000,S,5,1031785.028
113.976,1,990000,S,5,1031785.028
113.988,1,1070000,S,5,1031785.028
113.996,1,1050000,B,5,1031785.028
114.048,1,1030000,B,5,1031785.028
114.057,1,980000,B,5,1031785.028
114.071,1,990000,S,5,1031785.028
114.087,1,1040000,S,5,1031785.028
114.109,1,1010000,S,5,1031785.028
114.149,1,1070000,S,5,1031785.028
114.151,1,1030000,B,5,1031785.028
114.198,1,1010000,B,5,1031785.028
114.233,1,1050000,B,5,1031785.028
114.235,1,1050000,B,5,1031785.028
114.359,1,950000,S,5,1031785.028
114.404,1,1080000,S,5,1031785.028
114.412,1,1020000,S,5,1031785.028
114.539,1,1040000,S,5,1031785.028
114.554,1,1060000,B,5,1031785.028
114.614,1,1010000,B,5,1031785.028
114.622,1,1050000,S,5,1031785.028
114.675,1,1060000,S,5,1031785.028
114.736,1,1050000,B,5,1031785.028
114.783,1,1080000,S,5,1031785.028
114.784,1,1040000,S,5,1031785.028
114.846,1,1060000,B,5,1031785.028
114.851,1,980000,B,5,1031785.028
114.872,1,1030000,B,5,1031785.028
114.9,1,1090000,S,5,1031785.028
114.911,1,1020000,B,5,1031785.028
114.944,1,1060000,S,5,1031785.028
115.02,1,1020000,B,5,1031785.028
115.056,1,990000,B,5,1031785.028
115.18,1,1030000,S,5,1031785.028
115.304,1,1050000,S,5,1031785.028
115.327,1,1060000,S,5,1031785.028
115.357,1,1050000,S,5,1031785.028
115.39,1,1000000,B,5,1031785.028
115.466,1,1030000,S,5,1031785.028
115.496,1,1010000,B,5,1031785.028
115.499,1,1030000,B,5,1031785.028
115.556,1,1050000,S,5,1031785.028
115.653,1,960000,B,5,1031785.028
115.751,1,1010000,B,5,1031785.028
115.765,1,1090000,S,5,1031785.028
115.773,1,1060000,B,5,1031785.028
115.832,1,1000000,S,5,1031785.028
115.865,1,1060000,B,5,1031785.028
115.869,1,1020000,B,5,1031785.028
115.94,1,1030000,S,5,1031785.028
116.05,1,1090000,S,5,1031785.028
116.169,1,1090000,B,5,1031785.028
116.265,1,1040000,S,5,1031785.028
116.32,1,1100000,S,5,1031785.028
116.459,1,1030000,B,5,1031785.028
116.479,1,980000,S,5,1031785.028
116.553,1,980000,B,5,1031785.028
116.607,1,1010000,B,5,1031785.028
116.619,0,,J,,1012748.276
116.778,1,1040000,S,5,1012748.276
116.844,1,1010000,S,5,1012748.276
116.975,1,1000000,S,5,1012748.276
117.043,1,970000,B,5,1012748.276
117.073,1,1000000,B,5,1012748.276
117.173,1,1050000,S,5,1012748.276
117.176,1,1010000,S,5,1012748.276
117.19,1,1000000,B,5,1012748.276
117.201,1,1080000,S,5,1012748.276
117.268,1,1030000,S,5,1012748.276
117.294,1,1020000,S,5,1012748.276
117.336,1,1010000,S,5,1012748.276
117.434,1,1020000,S,5,1012748.276
117.485,1,1030000,S,5,1012748.276
117.587,1,990000,B,5,1012748.276
117.712,1,1040000,S,5,1012748.276
117.841,1,1010000,S,5,1012748.276
117.851,1,1060000,B,5,1012748.276
117.852,1,1000000,S,5,1012748.276
117.906,1,1110000,S,5,1012748.276
117.947,1,940000,B,5,1012748.276
117.982,1,1070000,S,5,1012748.276
118.018,1,1060000,S,5,1012748.276
118.03,1,1020000,B,5,1012748.276
118.131,1,1000000,S,5,1012748.276
118.178,1,1060000,S,5,1012748.276
118.201,1,1000000,B,5,1012748.276
118.263,1,1060000,S,5,1012748.276
118.295,1,1110000,S,5,1012748.276
118.3,1,1000000,B,5,1012748.276
118.341,1,1030000,S,5,1012748.276
118.354,1,1000000,B,5,1012748.276
118.372,1,950000,B,5,1012748.276
118.412,1,1000000,B,5,1012748.276
118.528,1,990000,B,5,1012748.276
118.55,1,1000000,B,5,1012748.276
118.558,1,1050000,S,5,1012748.276
118.59,1,1010000,S,5,1012748.276
118.622,1,1030000,S,5,1012748.276
118.634,1,1040000,S,5,1012748.276
118.676,1,1040000,S,5,1012748.276
118.705,1,1040000,S,5,1012748.276
118.756,1,1100000,S,5,1012748.276
118.814,1,980000,B,5,1012748.276
118.82,1,1030000,S,5,1012748.276
118.824,1,1030000,B,5,1012748.276
118.85,1,1070000,S,5,1012748.276
118.884,1,1000000,B,5,1012748.276
118.9,1,950000,B,5,1012748.276
118.913,1,970000,B,5,1012748.276
118.981,1,980000,B,5,1012748.276
119.185,1,1000000,B,5,1012748.276
119.286,1,1090000,S,5,1012748.276
119.31,1,980000,B,5,1012748.276
119.405,1,960000,B,5,1012748.276
119.423,1,1020000,S,5,1012748.276
119.44,1,1040000,S,5,1012748.276
119.478,1,1040000,B,5,1012748.276
119.508,1,980000,B,5,1012748.276
119.559,1,1030000,S,5,1012748.276
119.61,1,1050000,S,5,1012748.276
119.617,1,950000,B,5,1012748.276
119.618,1,1060000,S,5,1012748.276
119.631,1,980000,S,5,1012748.276
119.747,1,1030000,S,5,1012748.276
119.756,1,1000000,B,5,1012748.276
119.793,1,1030000,S,5,1012748.276
119.815,1,1030000,S,5,1012748.276
119.822,1,1030000,S,5,1012748.276
119.852,1,1020000,B,5,1012748.276
119.86,1,1070000,S,5,1012748.276
119.931,1,980000,B,5,1012748.276
12.248,1,1020000,S,5,989469.822
12.439,1,950000,S,5,989469.822
12.468,1,990000,S,5,989469.822
12.474,1,990000,B,5,989469.822
12.505,1,950000,B,5,989469.822
12.542,1,1000000,B,5,989469.822
12.588,1,1060000,S,5,989469.822
12.611,1,960000,B,5,989469.822
12.612,1,1020000,S,5,989469.822
12.654,1,990000,S,5,989469.822
12.741,1,990000,B,5,989469.822
12.811,1,1000000,B,5,989469.822
12.818,1,970000,B,5,989469.822
