arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.043,1,1090000,S,5,1051811.611
0.064,1,1060000,S,5,1051811.611
0.095,1,1070000,B,5,1051811.611
0.348,1,1030000,B,5,1051811.611
0.7,1,1090000,S,5,1051811.611
0.804,1,1080000,S,5,1051811.611
1.019,1,1100000,S,5,1051811.611
1.039,1,1100000,B,5,1051811.611
1.145,1,1090000,B,5,1051811.611
1.257,1,1060000,S,5,1051811.611
1.258,1,1090000,S,5,1051811.611
1.299,1,1000000,B,5,1051811.611
1.305,1,1100000,S,5,1051811.611
1.443,1,1120000,S,5,1051811.611
1.601,1,1080000,S,5,1051811.611
1.65,1,1120000,S,5,1051811.611
1.705,1,1040000,B,5,1051811.611
1.807,1,1020000,B,5,1051811.611
1.894,1,1070000,S,5,1051811.611
2.082,1,1100000,S,5,1051811.611
2.084,1,1110000,S,5,1051811.611
2.544,1,970000,S,5,989469.822
2.609,1,1000000,B,5,989469.822
2.934,1,1010000,S,5,989469.822
2.962,1,1040000,S,5,989469.822
2.972,1,950000,B,5,989469.822
3.111,1,980000,B,5,989469.822
3.266,1,1000000,B,5,989469.822
3.376,1,990000,B,5,989469.822
3.492,1,1030000,S,5,989469.822
3.682,1,1040000,S,5,989469.822
3.697,1,980000,B,5,989469.822
3.729,1,1040000,S,5,989469.822
4.317,1,1000000,S,5,989469.822
4.332,1,970000,S,5,989469.822
4.372,1,1000000,B,5,989469.822
4.596,1,960000,B,5,989469.822
4.928,1,980000,B,5,989469.822
5.067,1,970000,B,5,989469.822
5.129,1,990000,B,5,989469.822
5.137,1,1000000,S,5,989469.822
5.141,1,960000,B,5,989469.822
5.177,1,990000,S,5,989469.822
5.276,1,970000,B,5,989469.822
5.316,1,1050000,S,5,989469.822
5.389,1,940000,B,5,989469.822
5.54,1,980000,B,5,989469.822
5.576,1,1030000,S,5,989469.822
5.763,1,1020000,S,5,989469.822
5.909,1,1070000,S,5,989469.822
5.92,1,960000,B,5,989469.822
6.133,1,980000,S,5,989469.822
6.134,1,1020000,B,5,989469.822
6.279,1,960000,B,5,989469.822
6.43,1,1030000,S,5,989469.822
6.478,1,1040000,S,5,989469.822
6.571,1,980000,B,5,989469.822
6.634,1,1000000,S,5,989469.822
6.655,1,990000,S,5,989469.822
6.671,1,990000,S,5,989469.822
6.681,1,1050000,S,5,989469.822
6.687,1,980000,S,5,989469.822
6.7,1,1000000,B,5,989469.822
6.8,1,1000000,S,5,989469.822
6.822,1,940000,B,5,989469.822
7.025,1,990000,B,5,989469.822
7.206,1,990000,S,5,989469.822
7.245,1,1010000,S,5,989469.822
7.247,1,980000,B,5,989469.822
7.282,1,1030000,S,5,989469.822
7.515,1,930000,B,5,989469.822
7.527,1,920000,B,5,989469.822
7.649,1,950000,B,5,989469.822
7.716,1,1000000,B,5,989469.822
7.776,1,890000,S,5,989469.822
7.817,1,990000,S,5,989469.822
7.86,1,1000000,S,5,989469.822
8.031,1,1020000,B,5,989469.822
8.061,1,950000,B,5,989469.822
8.142,1,1070000,S,5,989469.822
8.199,1,1020000,S,5,989469.822
8.455,1,990000,B,5,989469.822
8.52,1,960000,S,5,989469.822
8.635,1,930000,B,5,989469.822
8.663,1,1040000,S,5,989469.822
8.67,1,1010000,S,5,989469.822
8.743,1,1000000,B,5,989469.822
8.905,1,950000,B,5,989469.822
8.965,1,970000,B,5,989469.822
9.069,1,950000,B,5,989469.822
9.151,1,1040000,S,5,989469.822
9.256,1,940000,B,5,989469.822
9.301,1,1000000,B,5,989469.822
9.495,1,1010000,S,5,989469.822
9.648,1,1030000,S,5,989469.822
9.657,1,1000000,S,5,989469.822
9.703,1,1030000,S,5,989469.822
9.729,1,1000000,S,5,989469.822
9.779,1,1040000,S,5,989469.822
9.868,1,1020000,S,5,989469.822
9.936,1,970000,S,5,989469.822
9.988,1,1010000,S,5,989469.822
10.134,1,1010000,S,5,989469.822
10.138,1,950000,B,5,989469.822
10.258,1,950000,B,5,989469.822
10.643,1,950000,B,5,989469.822
10.691,1,1020000,B,5,989469.822
10.8,1,1030000,S,5,989469.822
10.818,1,950000,B,5,989469.822
10.83,1,970000,S,5,989469.822
10.901,1,1000000,S,5,989469.822
10.992,1,930000,B,5,989469.822
11.059,1,930000,B,5,989469.822
11.066,1,980000,B,5,989469.822
11.147,1,990000,S,5,989469.822
11.159,1,970000,B,5,989469.822
11.367,1,1050000,S,5,989469.822
11.377,1,980000,B,5,989469.822
11.428,1,960000,B,5,989469.822
11.471,1,1030000,S,5,989469.822
11.56,1,960000,S,5,989469.822
11.567,1,970000,S,5,989469.822
11.899,1,980000,B,5,989469.822
12.248,1,1040000,S,5,989469.822
