arrival_time,price
0.065,1040000
0.191,1050000
0.348,1020000
0.876,1060000
1.019,1080000
1.115,1070000
1.58,1050000
1.807,1050000
2.577,1060000
2.609,1050000
2.745,1040000
2.962,1040000
2.972,1040000
3.001,1030000
3.099,1020000
3.246,1020000
3.266,1020000
3.296,1020000
3.49,1020000
3.729,1020000
4.411,1020000
4.741,1010000
4.977,1010000
5.067,1010000
5.101,1010000
5.137,1010000
5.264,1000000
5.538,990000
5.909,990000
6.49,990000
6.639,990000
7.247,990000
7.817,990000
7.86,990000
8.67,990000
8.999,990000
9.387,990000
9.779,980000
10.138,990000
10.15,990000
10.626,990000
10.669,990000
10.866,980000
11.066,990000
11.56,980000
11.607,980000
11.707,980000
11.965,980000
12.439,980000
12.474,980000
12.542,980000
12.741,980000
12.811,990000
13.25,970000
13.601,990000
14.084,990000
14.38,990000
15.355,1000000
15.376,1000000
15.608,990000
15.686,980000
15.796,980000
15.81,970000
16.384,970000
16.564,970000
16.84,970000
16.902,970000
16.914,960000
17.306,960000
17.324,960000
17.727,960000
18.047,960000
18.329,960000
18.883,950000
18.993,950000
19.131,950000
19.147,940000
19.35,940000
19.466,940000
19.645,940000
20.062,930000
20.129,950000
20.587,950000
20.715,940000
21.301,930000
21.613,930000
21.661,930000
21.892,930000
22.108,930000
22.253,930000
22.428,930000
22.536,930000
22.698,930000
22.767,940000
22.848,940000
23.425,930000
23.569,930000
23.952,930000
23.983,930000
24.35,930000
24.55,930000
24.59,930000
24.605,920000
24.717,920000
25.252,940000
25.361,920000
25.497,940000
25.597,930000
25.676,930000
26.093,940000
26.127,930000
26.598,940000
26.703,940000
27.719,930000
28.142,930000
28.247,940000
28.307,930000
28.522,940000
28.523,940000
28.806,930000
28.945,950000
29.274,950000
29.319,950000
29.57,930000
29.574,930000
29.64,920000
30.507,930000
30.785,930000
30.791,930000
31.191,930000
31.288,930000
31.646,930000
31.905,930000
32.316,930000
32.383,930000
33.216,920000
33.301,930000
33.877,920000
34.517,920000
34.647,920000
34.84,920000
35.367,920000
35.849,920000
36.114,920000
36.201,920000
37.773,920000
37.82,920000
38.118,910000
38.118,910000
38.476,920000
38.48,930000
38.683,930000
39.442,940000
39.483,940000
40.306,930000
40.413,930000
40.5,940000
40.726,930000
40.986,930000
41.023,940000
41.374,940000
41.423,940000
41.608,940000
41.845,940000
42.044,940000
42.648,950000
42.69,960000
42.89,960000
43.08,960000
43.159,960000
43.163,970000
43.236,970000
43.377,970000
43.536,970000
43.707,970000
43.729,970000
43.835,980000
44.237,960000
44.312,980000
44.517,980000
44.662,980000
44.745,970000
44.944,990000
45.32,980000
45.481,960000
45.669,970000
45.901,970000
45.955,970000
45.98,970000
46.859,980000
47.149,970000
47.239,960000
47.559,980000
47.948,980000
48.761,980000
49.418,980000
49.606,980000
49.89,970000
49.931,960000
49.956,970000
50.703,970000
51.026,980000
51.705,970000
52.052,970000
52.064,980000
52.3,980000
52.491,980000
52.705,980000
52.831,970000
53.003,980000
53.258,970000
53.574,970000
54.34,970000
54.53,980000
55.703,980000
55.918,980000
56.015,970000
56.146,980000
56.335,990000
56.342,980000
56.936,970000
58.056,980000
58.299,970000
58.587,980000
58.679,990000
58.685,990000
58.691,980000
58.917,990000
58.925,990000
59.277,970000
59.818,990000
59.977,970000
60.232,990000
60.34,990000
60.539,980000
60.642,980000
60.965,980000
61.807,970000
61.82,970000
61.938,980000
62.165,980000
63.315,970000
63.381,980000
63.624,980000
63.749,970000
63.937,990000
64.109,990000
64.129,990000
64.495,990000
64.497,990000
64.636,990000
64.641,990000
64.751,990000
64.786,1000000
65.205,1000000
65.364,1000000
65.537,1000000
65.542,1010000
65.605,1010000
65.628,1010000
65.651,1010000
66.31,1020000
66.427,1020000
67.023,1020000
67.023,1020000
67.06,1030000
67.181,1030000
67.206,1030000
67.274,1030000
67.34,1030000
67.675,1030000
67.86,1050000
68.384,1050000
68.417,1050000
68.594,1050000
69.32,1040000
69.323,1040000
69.374,1040000
69.844,1040000
70.02,1060000
70.205,1040000
70.784,1060000
70.923,1060000
71.02,1060000
71.066,1060000
71.068,1060000
71.075,1050000
72.08,1060000
72.126,1060000
72.252,1060000
72.766,1060000
73.041,1070000
73.065,1070000
73.148,1060000
73.469,1060000
73.485,1060000
73.567,1060000
74.182,1070000
74.421,1070000
74.685,1060000
74.82,1060000
75.282,1060000
76.365,1060000
76.369,1060000
76.483,1060000
76.757,1060000
76.828,1060000
76.968,1060000
77.213,1070000
77.334,1070000
77.599,1070000
77.692,1070000
77.827,1070000
77.851,1070000
78.747,1060000
78.94,1060000
79.259,1060000
79.401,1060000
79.945,1060000
80.667,1060000
80.846,1060000
80.879,1060000
81.094,1060000
81.211,1050000
81.378,1060000
81.5,1050000
81.756,1060000
81.857,1060000
83.097,1060000
83.81,1060000
83.989,1060000
84.595,1060000
84.631,1060000
84.854,1060000
85.627,1060000
85.69,1060000
85.972,1060000
86.053,1060000
86.278,1060000
86.305,1060000
86.614,1060000
86.816,1050000
87.512,1060000
87.894,1060000
88.037,1070000
88.406,1070000
88.695,1070000
88.766,1070000
88.81,1070000
89.119,1070000
89.23,1070000
89.342,1070000
89.698,1060000
90.664,1060000
90.874,1060000
90.876,1060000
91.013,1060000
91.109,1060000
91.199,1060000
91.616,1060000
92.206,1050000
92.21,1050000
92.367,1050000
92.552,1050000
93.065,1050000
93.404,1050000
93.408,1040000
93.647,1040000
93.769,1040000
93.946,1030000
94.206,1030000
94.238,1030000
94.29,1030000
94.95,1030000
95.075,1030000
95.372,1030000
95.712,1030000
95.815,1030000
95.882,1020000
95.958,1020000
95.963,1030000
96.066,1030000
96.071,1040000
96.414,1030000
96.534,1030000
96.578,1030000
96.684,1020000
96.867,1020000
