arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
0.0,1,1060000,2147483647,0
0.055,1,1060000,1070000,0
0.32,1,1060000,1120000,0
0.336,1,1110000,1120000,0
0.371,1,1070000,1120000,0
0.653,1,1100000,1120000,0
0.985,1,1070000,1120000,0
1.1440000000000001,1,1070000,1120000,0
1.151,1,1080000,1120000,0
1.235,1,1080000,1080000,0
1.2690000000000001,1,1080000,1120000,0
1.6480000000000001,1,1080000,1110000,0
1.82,1,1110000,1110000,0
2.025,1,1080000,1110000,0
2.049,1,1080000,1110000,0
2.089,1,1080000,1110000,0
2.127,1,1090000,1110000,0
2.198,1,1090000,1120000,0
2.358,1,1090000,1120000,0
2.388,1,1090000,1110000,0
2.458,1,1090000,1100000,0
2.659,1,1080000,1100000,0
2.688,1,1100000,1100000,0
2.7569999999999997,1,1100000,1100000,0
2.7689999999999997,1,1100000,1100000,0
2.7939999999999996,1,1100000,1100000,0
2.813,1,1100000,1100000,0
2.9989999999999997,1,1080000,1100000,0
3.0269999999999997,1,1100000,1100000,0
3.2880000000000003,1,1080000,1100000,0
3.345,1,1090000,1100000,0
3.3489999999999998,1,1080000,1100000,0
3.497,1,1100000,1100000,0
3.7319999999999998,1,1100000,1100000,0
3.8280000000000003,1,1100000,1100000,0
3.9219999999999997,1,1080000,1100000,0
3.926,1,1090000,1100000,0
3.951,1,1090000,1090000,0
4.034,1,1090000,1090000,0
4.115,1,1090000,1090000,0
4.479,1,1090000,1090000,0
4.519,1,1090000,1090000,0
4.539,1,1090000,1090000,0
4.982,1,1090000,1090000,0
5.1339999999999995,1,1090000,1090000,0
5.325,1,1090000,1090000,0
5.439,1,1090000,1090000,0
5.561,1,1090000,1100000,0
5.684,1,1090000,1090000,0
5.94,1,1090000,1090000,0
5.971,1,1090000,1100000,0
6.386,1,1090000,1090000,0
6.745,1,1090000,1100000,0
6.898,1,1090000,1100000,0
6.949,1,1090000,1090000,0
7.053999999999999,1,1090000,1100000,0
7.226,1,1090000,1090000,0
7.532,1,1090000,1090000,0
7.702999999999999,1,1090000,1100000,0
7.867000000000001,1,1090000,1100000,0
7.9079999999999995,1,1090000,1100000,0
8.719,1,1080000,1100000,0
8.987,1,1080000,1090000,0
9.042,1,1080000,1100000,0
9.22,1,1090000,1100000,0
9.347000000000001,1,1090000,1090000,0
10.064,1,1090000,1090000,0
10.118,1,1090000,1090000,0
10.27,1,1090000,1100000,0
10.272,1,1090000,1100000,0
10.368,1,1100000,1100000,0
10.664000000000001,1,1090000,1100000,0
10.732000000000001,1,1090000,1090000,0
10.752,1,1090000,1100000,0
10.839,1,1090000,1100000,0
10.856,1,1090000,1090000,0
11.002,1,1090000,1090000,0
11.02,1,1090000,1090000,0
11.155,1,1090000,1090000,0
11.232999999999999,1,1090000,1090000,0
11.372,1,1090000,1090000,0
11.388,1,1090000,1090000,0
11.394,1,1090000,1090000,0
11.423,1,1090000,1090000,0
11.455,1,1090000,1090000,0
11.474,1,1090000,1090000,0
11.534,1,1090000,1090000,0
11.550999999999998,1,1090000,1090000,0
11.583,1,1090000,1090000,0
11.620999999999999,1,1090000,1090000,0
11.647,1,1090000,1090000,0
11.717,1,1090000,1090000,0
11.769,1,1090000,1090000,0
11.770999999999999,1,1090000,1090000,0
11.804,1,1090000,1090000,0
11.857000000000001,1,1090000,1090000,0
12.012,1,1090000,1090000,0
12.204,1,1090000,1090000,0
12.288,1,1090000,1090000,0
12.404000000000002,1,1090000,1090000,0
12.47,1,1090000,1100000,0
12.677,1,1090000,1090000,0
12.864,1,1090000,1090000,0
13.459000000000001,1,1090000,1090000,0
13.51,1,1090000,1090000,0
13.544,1,1090000,1090000,0
13.747,1,1080000,1090000,0
13.970999999999998,1,1080000,1090000,0
14.047,1,1080000,1090000,0
14.07,1,1080000,1090000,0
14.129000000000001,1,1080000,1090000,0
14.270999999999999,1,1070000,1090000,0
14.523,1,1070000,1090000,0
14.543,1,1060000,1090000,0
14.544,1,1060000,1090000,0
14.648,1,1060000,1090000,0
14.784,1,1060000,1090000,0
14.843,1,1050000,1090000,0
14.856,1,1050000,1090000,0
14.892999999999999,1,1050000,1090000,0
15.027000000000001,1,1040000,1090000,0
15.275,1,1030000,1090000,0
15.36,1,1030000,1090000,0
15.392000000000001,1,1030000,1090000,0
15.397,1,1020000,1090000,0
15.425,1,1020000,1020000,0
15.464,1,1020000,1020000,0
15.632,1,1020000,1090000,0
15.755999999999998,1,1010000,1090000,0
15.870999999999999,1,1010000,1050000,0
16.037,1,1000000,1050000,0
16.104,1,990000,1050000,0
16.108,1,990000,1040000,0
16.173,1,1000000,1040000,0
16.323,1,990000,1040000,0
16.706,1,990000,1030000,0
16.739,1,990000,990000,0
16.783,1,990000,990000,0
16.998,1,990000,1030000,0
17.11,1,980000,1030000,0
17.137999999999998,1,980000,1030000,0
17.139,1,990000,1030000,0
17.239,1,980000,1030000,0
17.28,1,980000,1020000,0
17.295,1,980000,990000,0
17.307000000000002,1,980000,990000,0
17.358,1,980000,990000,0
17.369,1,980000,990000,0
17.389,1,980000,1010000,0
17.392,1,980000,1000000,0
17.404,1,980000,1000000,0
17.424,1,1000000,1000000,0
17.708,1,980000,1000000,0
17.715999999999998,1,980000,990000,0
17.83,1,980000,990000,0
18.05,1,980000,1000000,0
18.07,1,990000,1000000,0
18.089000000000002,1,990000,1000000,0
18.122,1,990000,1000000,0
18.171,1,990000,1000000,0
18.235,1,990000,1000000,0
18.252,1,990000,1000000,0
18.265,1,990000,1000000,0
18.283,1,990000,1000000,0
18.375,1,990000,1000000,0
18.447,1,990000,1000000,0
18.452,1,990000,1000000,0
18.491,1,990000,1000000,0
18.51,1,990000,1000000,0
18.553,1,990000,1000000,0
18.598,1,990000,1000000,0
18.683,1,990000,990000,0
19.015,1,990000,1000000,0
19.047,1,990000,1000000,0
19.065,1,990000,1000000,0
19.13,1,990000,1000000,0
19.159000000000002,1,1000000,1000000,0
19.26,1,1000000,1000000,0
19.303,1,1000000,1000000,0
19.43,1,1000000,1000000,0
19.524,1,1000000,1000000,0
19.602,1,1000000,1000000,0
19.733,1,990000,1000000,0
19.819000000000003,1,990000,1000000,0
19.825,1,980000,1000000,0
19.869,1,980000,1000000,0
19.915,1,980000,980000,0
19.993,1,970000,980000,0
20.205,1,970000,970000,0
20.329,1,970000,970000,0
20.484,1,970000,970000,0
20.557,1,970000,970000,0
20.624000000000002,1,970000,970000,0
20.688000000000002,1,970000,970000,0
20.703000000000003,1,970000,970000,0
20.714000000000002,1,970000,970000,0
20.834,1,970000,970000,0
20.859,1,970000,970000,0
20.886,1,970000,970000,0
20.97,1,970000,970000,0
20.997,1,970000,970000,0
21.245,1,970000,980000,0
21.647,1,970000,980000,0
21.697,1,970000,980000,0
21.999000000000002,1,980000,980000,0
22.084,1,970000,980000,0
22.198,1,980000,980000,0
22.365,1,980000,980000,0
22.585,1,980000,980000,0
22.694000000000003,1,970000,980000,0
22.761,1,970000,980000,0
22.908,1,970000,980000,0
23.133000000000003,1,970000,980000,0
23.14,1,980000,980000,0
23.276999999999997,1,980000,980000,0
24.095,1,980000,980000,0
24.101999999999997,1,980000,980000,0
24.799,1,970000,980000,0
24.96,1,970000,980000,0
25.049,1,970000,980000,0
25.105,1,980000,980000,0
25.436999999999998,1,970000,980000,0
25.453000000000003,1,970000,980000,0
25.576,1,970000,980000,0
25.663,1,970000,980000,0
26.182,1,970000,980000,0
26.521,1,970000,980000,0
26.776999999999997,1,970000,980000,0
26.886999999999997,1,970000,980000,0
27.025,1,980000,980000,0
27.409000000000002,1,980000,980000,0
27.41,1,970000,980000,0
27.881999999999998,1,970000,980000,0
27.921999999999997,1,970000,970000,0
28.088,1,970000,970000,0
28.139,1,970000,970000,0
29.289,1,970000,980000,0
29.544,1,970000,970000,0
29.662,1,970000,970000,0
29.814,1,970000,970000,0
30.055999999999997,1,960000,970000,0
30.158,1,960000,970000,0
30.294,1,960000,970000,0
30.34,1,970000,970000,0
30.549,1,970000,970000,0
30.99,1,960000,970000,0
31.002,1,960000,970000,0
31.03,1,960000,970000,0
31.156999999999996,1,960000,970000,0
31.541,1,960000,970000,0
31.587,1,960000,970000,0
31.592,1,960000,970000,0
31.631,1,960000,970000,0
31.678,1,950000,970000,0
31.688000000000002,1,950000,960000,0
31.78,1,950000,960000,0
31.905,1,950000,950000,0
32.205,1,950000,950000,0
32.24,1,950000,950000,0
32.247,1,950000,950000,0
32.271,1,950000,960000,0
32.298,1,940000,960000,0
32.588,1,940000,950000,0
32.681999999999995,1,940000,940000,0
32.952,1,940000,940000,0
33.6,1,940000,940000,0
33.691,1,940000,940000,0
33.928000000000004,1,940000,940000,0
33.946,1,940000,940000,0
33.981,1,940000,940000,0
34.08,1,940000,940000,0
34.186,1,940000,940000,0
34.295,1,930000,940000,0
34.352,1,930000,940000,0
34.442,1,930000,940000,0
34.725,1,930000,940000,0
34.754,1,930000,940000,0
34.835,1,930000,940000,0
34.876,1,930000,940000,0
34.921,1,920000,940000,0
34.991,1,930000,940000,0
35.008,1,930000,940000,0
35.116,1,920000,940000,0
35.172,1,930000,940000,0
35.559,1,930000,940000,0
35.646,1,940000,940000,0
35.946999999999996,1,930000,940000,0
36.163000000000004,1,930000,940000,0
36.683,1,930000,940000,0
36.7,1,940000,940000,0
36.722,1,930000,940000,0
37.007,1,930000,940000,0
37.037,1,930000,940000,0
37.238,1,930000,940000,0
37.314,1,930000,940000,0
37.492,1,920000,940000,0
37.509,1,930000,940000,0
37.532,1,920000,940000,0
37.54,1,930000,940000,0
38.091,1,930000,940000,0
38.113,1,920000,940000,0
38.207,1,920000,930000,0
38.235,1,920000,930000,0
38.317,1,920000,920000,0
38.408,1,920000,930000,0
38.503,1,920000,930000,0
38.504,1,920000,920000,0
39.195,1,920000,920000,0
39.413000000000004,1,920000,920000,0
39.782,1,910000,920000,0
40.398,1,910000,920000,0
40.54,1,920000,920000,0
