arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.0,1,1060000,B,5,1093673.238
0.014,1,1050000,B,5,1093673.238
0.055,1,1070000,S,5,1093673.238
0.09,1,1120000,S,5,1093673.238
0.23,1,1140000,S,5,1093673.238
0.32,1,1100000,B,5,1093673.238
0.336,1,1110000,B,5,1093673.238
0.37,1,1070000,B,5,1093673.238
0.371,1,1090000,S,5,1093673.238
0.585,1,1060000,B,5,1093673.238
0.588,1,1140000,S,5,1093673.238
0.653,1,1100000,B,5,1093673.238
0.665,1,1130000,S,5,1093673.238
0.796,1,1070000,B,5,1093673.238
0.821,1,1030000,B,5,1093673.238
0.856,1,1140000,S,5,1093673.238
0.948,1,1050000,B,5,1093673.238
0.954,1,1050000,B,5,1093673.238
0.984,1,1070000,B,5,1093673.238
0.985,1,1080000,S,5,1093673.238
1.144,1,1170000,S,5,1093673.238
1.151,1,1080000,B,5,1093673.238
1.235,1,1080000,S,5,1093673.238
1.269,1,1090000,B,5,1093673.238
1.347,1,1080000,B,5,1093673.238
1.431,1,1040000,B,5,1093673.238
1.481,1,1050000,B,5,1093673.238
1.56,1,1080000,B,5,1093673.238
1.648,1,1110000,S,5,1093673.238
1.679,1,1140000,S,5,1093673.238
1.799,1,1000000,B,5,1093673.238
1.82,1,1110000,B,5,1093673.238
1.856,1,1000000,B,5,1093673.238
10.064,1,1090000,B,5,1093673.238
10.118,1,1110000,B,5,1093673.238
10.16,1,1130000,S,5,1093673.238
10.165,1,1130000,S,5,1093673.238
10.255,1,1090000,B,5,1093673.238
10.27,1,1130000,B,5,1093673.238
10.272,1,1100000,S,5,1093673.238
10.368,1,1100000,B,5,1093673.238
10.384,1,1140000,S,5,1093673.238
10.433,1,1130000,S,5,1093673.238
10.47,1,1090000,B,5,1093673.238
10.505,1,1100000,S,5,1093673.238
10.581,1,1140000,B,5,1093673.238
10.632,1,1120000,S,5,1093673.238
10.664,1,1070000,S,5,1093673.238
10.665,1,1170000,S,5,1093673.238
10.675,1,1150000,S,5,1093673.238
10.732,1,1090000,S,5,1093673.238
10.752,1,1110000,B,5,1093673.238
10.839,1,1060000,S,5,1093673.238
10.856,1,1090000,S,5,1093673.238
10.867,1,1030000,B,5,1093673.238
10.976,1,1090000,S,5,1093673.238
100.031,1,950000,S,5,924487.426
100.043,1,990000,S,5,924487.426
100.253,1,990000,S,5,924487.426
100.315,1,940000,B,5,924487.426
100.323,1,940000,S,5,924487.426
100.442,1,920000,S,5,924487.426
100.469,1,920000,S,5,924487.426
100.507,1,930000,B,5,924487.426
100.511,1,950000,S,5,924487.426
100.57,1,960000,S,5,924487.426
100.589,1,920000,B,5,924487.426
100.6,1,960000,S,5,924487.426
100.639,1,940000,S,5,924487.426
100.666,1,920000,B,5,924487.426
100.693,1,900000,B,5,924487.426
100.696,1,980000,S,5,924487.426
100.706,1,910000,S,5,924487.426
100.747,1,930000,B,5,924487.426
100.894,1,900000,B,5,924487.426
101.049,1,920000,B,5,924487.426
101.076,1,930000,S,5,924487.426
101.222,1,940000,S,5,924487.426
101.284,1,910000,B,5,924487.426
101.317,1,920000,B,5,924487.426
101.322,1,840000,B,5,924487.426
101.444,1,930000,B,5,924487.426
101.449,1,890000,B,5,924487.426
101.479,1,910000,B,5,924487.426
101.495,1,880000,B,5,924487.426
101.498,1,940000,S,5,924487.426
101.622,1,880000,B,5,924487.426
101.658,1,900000,B,5,924487.426
101.963,1,900000,B,5,924487.426
102.086,1,910000,B,5,924487.426
102.178,1,910000,S,5,924487.426
102.234,1,930000,S,5,924487.426
102.267,1,890000,B,5,924487.426
102.27,1,980000,B,5,924487.426
102.314,1,950000,S,5,924487.426
102.346,0,,J,,934180.784
102.358,1,970000,S,5,934180.784
102.368,1,900000,B,5,934180.784
102.369,1,860000,B,5,934180.784
102.506,1,910000,B,5,934180.784
102.52,1,990000,S,5,934180.784
102.572,1,910000,B,5,934180.784
102.666,1,920000,S,5,934180.784
102.676,1,920000,B,5,934180.784
102.69,1,960000,S,5,934180.784
102.705,1,930000,S,5,934180.784
102.732,1,970000,B,5,934180.784
102.754,1,890000,B,5,934180.784
102.765,1,960000,B,5,934180.784
102.867,1,890000,B,5,934180.784
102.954,1,950000,S,5,934180.784
102.976,1,900000,B,5,934180.784
103.005,1,910000,B,5,934180.784
103.019,1,890000,B,5,934180.784
103.065,1,910000,S,5,934180.784
103.097,1,960000,S,5,934180.784
103.205,1,970000,S,5,934180.784
103.243,1,850000,B,5,934180.784
103.337,1,930000,B,5,934180.784
103.516,1,880000,B,5,934180.784
103.528,1,980000,S,5,934180.784
103.72,1,910000,B,5,934180.784
103.78,1,990000,S,5,934180.784
103.79,1,930000,S,5,934180.784
103.902,1,900000,B,5,934180.784
103.968,1,930000,B,5,934180.784
104.014,1,960000,B,5,934180.784
104.018,1,930000,S,5,934180.784
104.051,1,960000,S,5,934180.784
104.246,1,980000,B,5,934180.784
104.316,1,960000,S,5,934180.784
104.382,1,940000,S,5,934180.784
104.556,1,870000,B,5,934180.784
104.575,1,930000,S,5,934180.784
104.639,1,940000,S,5,934180.784
104.642,1,910000,B,5,934180.784
104.694,1,920000,B,5,934180.784
104.763,1,910000,B,5,934180.784
104.794,1,910000,B,5,934180.784
104.796,1,980000,B,5,934180.784
104.809,1,930000,B,5,934180.784
104.855,0,,J,,984307.847
104.876,1,950000,B,5,984307.847
104.894,1,1010000,S,5,984307.847
104.917,1,1010000,B,5,984307.847
104.917,1,980000,B,5,984307.847
104.949,1,1000000,S,5,984307.847
104.984,1,1010000,S,5,984307.847
105.004,1,1000000,B,5,984307.847
105.046,1,940000,B,5,984307.847
105.125,1,990000,B,5,984307.847
105.244,1,940000,B,5,984307.847
105.288,1,940000,B,5,984307.847
105.314,1,990000,B,5,984307.847
105.321,1,1000000,S,5,984307.847
105.381,1,1010000,S,5,984307.847
105.394,1,960000,B,5,984307.847
105.459,1,950000,B,5,984307.847
105.489,1,950000,B,5,984307.847
105.544,1,1010000,B,5,984307.847
105.573,1,940000,B,5,984307.847
105.729,1,930000,B,5,984307.847
105.776,1,1010000,B,5,984307.847
105.824,1,930000,B,5,984307.847
105.831,1,970000,B,5,984307.847
105.848,1,990000,B,5,984307.847
105.884,1,930000,B,5,984307.847
105.932,1,1020000,S,5,984307.847
106.0,1,970000,B,5,984307.847
106.004,1,1040000,S,5,984307.847
106.097,1,1010000,S,5,984307.847
106.195,1,980000,S,5,984307.847
106.504,1,940000,B,5,984307.847
106.578,1,930000,S,5,984307.847
106.678,1,950000,B,5,984307.847
106.704,1,1010000,B,5,984307.847
106.716,1,950000,S,5,984307.847
106.721,1,940000,S,5,984307.847
106.743,1,1010000,S,5,984307.847
106.954,1,950000,B,5,984307.847
106.968,1,990000,S,5,984307.847
107.219,1,1010000,S,5,984307.847
107.252,1,980000,S,5,984307.847
107.298,1,930000,B,5,984307.847
107.308,1,980000,S,5,984307.847
107.314,1,980000,S,5,984307.847
107.318,1,1020000,B,5,984307.847
107.335,1,980000,S,5,984307.847
107.394,1,950000,B,5,984307.847
107.454,1,980000,B,5,984307.847
107.493,1,930000,B,5,984307.847
107.501,1,990000,S,5,984307.847
107.513,1,1000000,B,5,984307.847
107.531,1,1010000,B,5,984307.847
107.537,1,1000000,B,5,984307.847
107.545,1,1050000,S,5,984307.847
107.558,1,1030000,B,5,984307.847
107.619,1,940000,B,5,984307.847
107.694,1,1000000,S,5,984307.847
107.708,1,1010000,B,5,984307.847
107.738,1,980000,S,5,984307.847
107.746,1,1070000,S,5,984307.847
107.763,1,970000,S,5,984307.847
107.779,1,990000,S,5,984307.847
107.884,1,980000,S,5,984307.847
107.962,1,940000,B,5,984307.847
108.115,1,920000,B,5,984307.847
108.153,1,930000,B,5,984307.847
108.175,1,970000,S,5,984307.847
108.219,1,1000000,B,5,984307.847
108.24,1,980000,B,5,984307.847
108.255,1,1010000,B,5,984307.847
108.256,1,910000,B,5,984307.847
108.264,1,910000,B,5,984307.847
108.354,1,1000000,S,5,984307.847
108.381,1,910000,B,5,984307.847
108.495,1,960000,S,5,984307.847
108.521,1,970000,B,5,984307.847
108.578,1,1000000,S,5,984307.847
108.609,1,1000000,B,5,984307.847
108.69,1,950000,B,5,984307.847
108.768,1,960000,B,5,984307.847
108.786,1,960000,B,5,984307.847
108.94,1,970000,S,5,984307.847
108.943,1,1050000,S,5,984307.847
108.945,1,1000000,S,5,984307.847
108.951,1,1000000,S,5,984307.847
108.959,1,990000,S,5,984307.847
109.025,1,1050000,S,5,984307.847
109.121,1,970000,B,5,984307.847
109.127,1,970000,S,5,984307.847
109.37,1,1050000,S,5,984307.847
109.392,1,1010000,B,5,984307.847
109.406,1,970000,B,5,984307.847
109.45,1,1030000,S,5,984307.847
109.477,1,970000,B,5,984307.847
109.536,1,950000,B,5,984307.847
109.6,1,1020000,S,5,984307.847
109.712,1,940000,B,5,984307.847
109.733,1,980000,S,5,984307.847
109.853,1,930000,S,5,984307.847
109.945,1,1000000,S,5,984307.847
11.002,1,1070000,B,5,1093673.238
11.02,1,1110000,S,5,1093673.238
11.155,1,1130000,S,5,1093673.238
11.233,1,1050000,B,5,1093673.238
11.372,1,1140000,S,5,1093673.238
11.388,1,1090000,B,5,1093673.238
11.394,1,1080000,B,5,1093673.238
11.423,1,1030000,B,5,1093673.238
11.455,1,1110000,S,5,1093673.238
11.474,1,1060000,B,5,1093673.238
11.534,1,1130000,S,5,1093673.238
11.551,1,1020000,B,5,1093673.238
11.583,1,1110000,S,5,1093673.238
11.621,1,1140000,S,5,1093673.238
11.647,1,1070000,B,5,1093673.238
11.717,1,1080000,S,5,1093673.238
11.769,1,1060000,B,5,1093673.238
11.771,1,1080000,B,5,1093673.238
11.804,1,1010000,B,5,1093673.238
11.857,1,1090000,S,5,1093673.238
11.86,1,1160000,S,5,1093673.238
11.886,1,1050000,B,5,1093673.238
11.956,1,1020000,B,5,1093673.238
11.993,1,1080000,B,5,1093673.238
110.04,1,1030000,S,5,984307.847
110.054,1,970000,B,5,984307.847
110.11,1,950000,B,5,984307.847
110.181,1,920000,B,5,984307.847
110.299,1,960000,B,5,984307.847
110.429,1,1030000,S,5,984307.847
110.443,1,1010000,S,5,984307.847
110.444,1,950000,B,5,984307.847
110.492,1,1030000,B,5,984307.847
110.538,1,1030000,S,5,984307.847
110.552,1,960000,S,5,984307.847
110.559,1,960000,B,5,984307.847
110.562,1,1040000,S,5,984307.847
110.564,1,1000000,B,5,984307.847
110.579,1,940000,B,5,984307.847
110.651,1,980000,B,5,984307.847
110.823,1,950000,B,5,984307.847
110.844,1,1010000,S,5,984307.847
110.852,1,1040000,S,5,984307.847
110.971,1,1010000,B,5,984307.847
110.972,1,970000,B,5,984307.847
111.015,1,990000,B,5,984307.847
111.051,1,970000,B,5,984307.847
111.066,1,1040000,S,5,984307.847
111.149,1,950000,B,5,984307.847
111.151,1,950000,B,5,984307.847
111.156,1,1010000,S,5,984307.847
111.174,1,950000,S,5,984307.847
111.206,1,930000,B,5,984307.847
111.237,1,980000,B,5,984307.847
111.314,1,1020000,S,5,984307.847
111.322,1,930000,B,5,984307.847
111.44,1,1040000,S,5,984307.847
111.451,1,930000,B,5,984307.847
111.557,1,1010000,B,5,984307.847
111.655,1,1010000,S,5,984307.847
111.74,1,1050000,S,5,984307.847
111.778,1,1080000,S,5,984307.847
111.833,1,1050000,S,5,984307.847
111.846,1,1000000,B,5,984307.847
111.979,1,940000,B,5,984307.847
112.264,1,1010000,S,5,984307.847
112.266,1,960000,S,5,984307.847
112.337,1,990000,B,5,984307.847
112.352,1,1000000,S,5,984307.847
112.536,1,1020000,S,5,984307.847
112.576,1,900000,B,5,984307.847
112.625,1,980000,S,5,984307.847
112.626,1,1050000,B,5,984307.847
112.666,1,1060000,S,5,984307.847
112.734,1,980000,S,5,984307.847
112.738,1,950000,B,5,984307.847
112.766,1,1040000,S,5,984307.847
112.789,1,950000,B,5,984307.847
112.8,1,990000,S,5,984307.847
112.803,1,930000,B,5,984307.847
112.918,1,1050000,S,5,984307.847
112.989,1,1030000,S,5,984307.847
113.071,1,910000,B,5,984307.847
113.149,1,950000,B,5,984307.847
113.173,1,1000000,S,5,984307.847
113.283,1,1070000,S,5,984307.847
113.313,1,990000,S,5,984307.847
113.341,1,1020000,S,5,984307.847
113.358,1,1010000,S,5,984307.847
113.383,1,1040000,S,5,984307.847
113.391,1,990000,S,5,984307.847
113.44,1,990000,B,5,984307.847
113.649,1,1020000,B,5,984307.847
113.681,1,990000,S,5,984307.847
113.713,1,980000,B,5,984307.847
113.775,1,1020000,S,5,984307.847
113.801,1,930000,B,5,984307.847
113.851,1,980000,S,5,984307.847
113.87,1,990000,S,5,984307.847
114.035,1,950000,B,5,984307.847
114.095,1,950000,S,5,984307.847
114.143,1,990000,S,5,984307.847
114.145,1,950000,B,5,984307.847
114.151,1,990000,S,5,984307.847
114.162,1,1050000,S,5,984307.847
114.164,1,980000,S,5,984307.847
114.219,1,980000,B,5,984307.847
114.252,1,1040000,B,5,984307.847
114.253,1,1030000,S,5,984307.847
114.307,1,990000,S,5,984307.847
114.346,1,940000,B,5,984307.847
114.363,1,960000,B,5,984307.847
114.376,1,1000000,S,5,984307.847
114.53,1,1000000,B,5,984307.847
114.566,1,970000,B,5,984307.847
114.58,1,1010000,S,5,984307.847
114.614,1,1050000,S,5,984307.847
114.659,1,990000,S,5,984307.847
114.702,1,1040000,S,5,984307.847
114.76,1,1040000,B,5,984307.847
114.782,1,960000,S,5,984307.847
114.845,1,1020000,S,5,984307.847
114.865,1,960000,B,5,984307.847
114.888,1,940000,B,5,984307.847
114.944,1,1000000,B,5,984307.847
114.947,1,1020000,S,5,984307.847
115.008,1,950000,S,5,984307.847
115.02,1,980000,S,5,984307.847
115.026,1,1030000,S,5,984307.847
115.077,1,950000,B,5,984307.847
115.227,1,910000,B,5,984307.847
115.228,1,1010000,S,5,984307.847
115.246,1,910000,B,5,984307.847
115.29,1,1000000,S,5,984307.847
115.354,1,960000,S,5,984307.847
115.36,1,980000,S,5,984307.847
115.38,1,1030000,B,5,984307.847
115.401,1,960000,S,5,984307.847
115.472,1,940000,B,5,984307.847
115.48,1,1030000,S,5,984307.847
115.508,1,980000,B,5,984307.847
115.555,1,1000000,B,5,984307.847
115.602,1,980000,B,5,984307.847
115.605,1,1030000,S,5,984307.847
115.663,1,950000,S,5,984307.847
115.663,1,1020000,S,5,984307.847
115.698,1,1010000,S,5,984307.847
115.718,1,1030000,S,5,984307.847
115.81,1,1010000,B,5,984307.847
115.987,1,920000,B,5,984307.847
116.0,1,950000,B,5,984307.847
116.084,1,1000000,S,5,984307.847
116.154,1,1010000,S,5,984307.847
116.183,1,970000,B,5,984307.847
116.302,1,1000000,B,5,984307.847
116.315,1,960000,B,5,984307.847
116.398,1,960000,B,5,984307.847
116.412,1,970000,B,5,984307.847
116.522,1,950000,B,5,984307.847
