arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.033,1,930000,B,5,936386.787
0.098,1,950000,B,5,936386.787
0.151,1,880000,B,5,936386.787
0.359,1,940000,S,5,936386.787
0.394,1,930000,B,5,936386.787
0.574,1,950000,S,5,936386.787
0.869,1,960000,S,5,936386.787
0.882,1,960000,S,5,936386.787
1.002,1,970000,B,5,936386.787
1.072,1,1050000,S,5,936386.787
1.176,1,940000,B,5,936386.787
1.318,1,980000,S,5,936386.787
1.434,1,980000,S,5,936386.787
1.455,1,970000,B,5,936386.787
1.753,1,950000,B,5,936386.787
1.815,1,920000,B,5,936386.787
1.939,1,990000,S,5,936386.787
1.976,1,900000,B,5,936386.787
2.021,1,890000,B,5,936386.787
2.049,1,990000,S,5,936386.787
2.131,1,890000,B,5,936386.787
2.271,1,960000,S,5,936386.787
2.518,1,970000,S,5,936386.787
2.555,1,930000,S,5,936386.787
2.733,1,990000,S,5,936386.787
2.846,1,980000,S,5,936386.787
3.228,1,1010000,S,5,936386.787
3.391,1,1010000,S,5,936386.787
3.442,1,960000,S,5,936386.787
3.725,1,950000,B,5,936386.787
3.751,1,900000,B,5,936386.787
3.799,1,920000,S,5,936386.787
3.916,1,970000,B,5,936386.787
3.996,1,960000,B,5,936386.787
4.055,1,880000,B,5,936386.787
4.179,1,1060000,S,5,1024499.647
4.384,1,1020000,S,5,1024499.647
4.445,1,1000000,B,5,1024499.647
4.546,1,1060000,S,5,1024499.647
4.573,1,980000,B,5,1024499.647
4.694,1,1020000,S,5,1024499.647
4.735,1,1050000,B,5,1024499.647
4.853,1,1020000,S,5,1024499.647
4.934,1,1000000,B,5,1024499.647
4.962,1,1020000,S,5,1024499.647
4.978,1,1000000,B,5,1024499.647
5.087,1,1040000,S,5,1024499.647
5.197,1,970000,B,5,1024499.647
5.255,1,1020000,B,5,1024499.647
5.443,1,1020000,S,5,1024499.647
5.469,1,1030000,S,5,1024499.647
5.615,1,1050000,B,5,1024499.647
5.691,1,1000000,S,5,1024499.647
5.92,1,1050000,B,5,1024499.647
5.953,1,1040000,S,5,1024499.647
6.101,1,1000000,B,5,1024499.647
6.242,1,1060000,S,5,1024499.647
6.501,1,1050000,S,5,1024499.647
6.712,1,960000,B,5,991288.604
6.796,1,940000,S,5,991288.604
6.823,1,1010000,S,5,991288.604
6.826,1,950000,S,5,991288.604
6.829,1,1030000,S,5,991288.604
6.859,1,1000000,B,5,991288.604
7.197,1,1000000,B,5,991288.604
7.218,1,1020000,S,5,991288.604
7.246,1,1020000,B,5,991288.604
7.336,1,990000,S,5,991288.604
