arrival_time,price
0.568,1080000
0.777,1090000
1.054,1070000
1.733,1070000
2.299,1090000
2.688,1090000
3.106,1090000
3.316,1090000
3.399,1090000
3.702,1090000
3.823,1090000
3.925,1090000
3.96,1070000
4.119,1070000
4.476,1090000
4.484,1090000
4.915,1070000
5.436,1070000
5.644,1070000
6.18,1080000
6.189,1080000
6.807,1080000
6.959,1070000
7.267,1070000
7.275,1070000
7.499,1070000
7.513,1060000
7.815,1060000
7.899,1060000
7.915,1060000
8.265,1060000
8.289,1060000
8.366,1060000
8.43,1060000
8.725,1060000
8.768,1050000
8.78,1040000
8.806,1040000
9.041,1030000
9.091,1030000
9.108,1030000
9.443,1020000
9.456,1020000
9.804,1010000
9.992,1010000
10.906,1010000
12.064,990000
12.106,990000
12.286,990000
13.456,990000
13.78,990000
14.245,990000
14.321,980000
14.999,980000
15.197,990000
15.208,990000
15.335,980000
15.713,980000
15.964,980000
16.031,980000
16.189,990000
16.338,980000
16.387,980000
16.541,980000
16.71,990000
17.969,990000
18.253,990000
18.617,990000
18.744,980000
19.267,990000
19.361,1000000
19.527,1000000
20.603,990000
21.11,980000
21.646,990000
21.714,980000
21.81,980000
21.898,990000
22.451,990000
22.521,990000
22.764,990000
22.958,990000
23.562,990000
23.986,990000
24.06,990000
24.262,990000
24.479,990000
24.865,980000
24.99,990000
26.012,980000
26.271,980000
26.307,980000
26.631,990000
26.658,1000000
26.728,990000
27.002,1000000
27.202,1000000
27.286,1000000
27.624,980000
27.756,1000000
27.829,1000000
27.841,1000000
27.87,1000000
28.106,980000
28.212,1000000
28.221,1000000
28.511,1000000
28.563,980000
28.771,1000000
29.059,1000000
29.156,1000000
29.219,1010000
29.307,1000000
29.628,1000000
30.292,1010000
30.768,1000000
31.337,1000000
31.358,1000000
32.055,1000000
32.616,1000000
32.728,1000000
32.816,1000000
33.499,1010000
33.751,1010000
34.047,1010000
34.584,1010000
34.722,1010000
34.816,1000000
34.999,1000000
35.426,1000000
35.639,990000
36.943,1010000
36.944,1010000
36.951,1000000
37.014,1020000
37.143,1000000
37.273,1000000
37.482,1000000
38.775,1020000
38.925,1020000
39.131,1020000
39.206,1010000
39.281,1010000
39.52,1000000
39.688,1000000
40.007,1000000
40.38,1000000
40.626,990000
40.919,990000
41.051,1000000
41.344,1010000
41.421,1000000
41.429,1000000
41.51,1010000
41.785,1010000
41.801,990000
42.108,1010000
42.197,1020000
42.334,1010000
42.424,1010000
42.66,1000000
42.72,1000000
42.823,1000000
43.337,1020000
43.387,1010000
43.479,1020000
43.542,1010000
43.916,1010000
44.15,1000000
44.456,1000000
44.748,990000
44.952,990000
44.98,1000000
45.395,1010000
45.903,1000000
46.068,1000000
46.361,1010000
46.561,1010000
46.934,1010000
46.961,990000
47.272,1000000
47.369,990000
47.997,1000000
48.408,1010000
48.536,1000000
48.607,1000000
48.614,1010000
48.869,1010000
49.159,1000000
49.465,1010000
49.688,1000000
49.877,1000000
50.316,1010000
50.458,1000000
50.573,1000000
51.705,1010000
51.743,1000000
51.748,1010000
51.986,1020000
52.302,1000000
52.433,990000
52.564,1000000
52.591,990000
52.784,990000
52.819,990000
53.89,1000000
53.982,1000000
54.345,990000
54.578,1010000
55.069,990000
55.241,990000
55.649,1000000
55.811,990000
55.822,1000000
55.886,1010000
56.212,1000000
56.927,990000
56.967,990000
57.359,1010000
57.55,1000000
57.595,990000
57.826,1010000
57.871,1010000
57.997,1010000
58.062,1000000
58.155,990000
58.999,1010000
59.248,1010000
59.521,1000000
60.155,1010000
60.355,1000000
60.478,1010000
61.431,1000000
61.525,1000000
61.529,1000000
61.753,1000000
61.88,1000000
62.037,1010000
62.462,1010000
62.79,990000
62.79,990000
62.898,990000
63.224,990000
63.243,990000
63.472,1010000
64.259,1010000
64.483,1000000
64.799,1000000
64.882,1000000
64.934,1010000
65.674,990000
65.688,990000
66.219,990000
66.239,1000000
67.237,1000000
67.264,1000000
67.56,1000000
67.951,990000
68.047,1000000
68.06,990000
68.139,1000000
