arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.027,1,670000,S,5,640371.122
0.096,1,670000,B,5,640371.122
0.689,1,730000,S,5,640371.122
0.724,1,710000,S,5,640371.122
1.258,1,590000,B,5,640371.122
10.692,1,600000,B,5,640371.122
10.763,1,650000,B,5,640371.122
100.153,1,760000,B,5,806990.981
100.607,1,750000,B,5,806990.981
100.846,1,800000,S,5,806990.981
101.066,1,770000,B,5,806990.981
102.135,1,830000,S,5,806990.981
102.354,1,830000,B,5,806990.981
102.408,1,840000,B,5,806990.981
102.657,1,790000,B,5,806990.981
102.742,1,710000,B,5,806990.981
102.869,1,800000,B,5,806990.981
102.905,1,790000,S,5,806990.981
103.259,1,770000,B,5,806990.981
103.484,1,750000,B,5,806990.981
104.062,1,800000,B,5,806990.981
104.082,1,770000,B,5,806990.981
104.473,1,850000,S,5,806990.981
106.057,1,800000,B,5,806990.981
107.075,1,780000,B,5,806990.981
107.494,1,830000,S,5,806990.981
107.819,1,850000,S,5,806990.981
107.979,1,820000,S,5,806990.981
108.021,1,850000,S,5,806990.981
108.21,1,830000,S,5,806990.981
108.416,1,800000,B,5,806990.981
108.577,1,810000,B,5,806990.981
108.685,1,830000,B,5,806990.981
109.177,0,,J,,760510.915
109.674,1,760000,B,5,760510.915
109.777,1,780000,S,5,760510.915
11.989,1,670000,S,5,640371.122
110.06,1,760000,B,5,760510.915
110.371,1,730000,S,5,760510.915
111.326,1,830000,S,5,760510.915
111.6,1,700000,B,5,760510.915
111.77,1,810000,S,5,760510.915
112.051,1,720000,B,5,760510.915
112.471,1,760000,B,5,760510.915
112.835,0,,J,,669189.413
113.761,1,650000,B,5,669189.413
114.452,1,700000,S,5,669189.413
114.514,1,630000,B,5,669189.413
114.728,1,620000,S,5,669189.413
114.737,1,660000,B,5,669189.413
116.263,1,630000,B,5,669189.413
116.638,1,670000,S,5,669189.413
116.723,1,630000,B,5,669189.413
117.661,1,710000,B,5,669189.413
117.978,1,670000,S,5,669189.413
118.097,1,700000,S,5,669189.413
118.505,1,610000,B,5,669189.413
118.588,1,730000,S,5,669189.413
119.34,1,670000,S,5,669189.413
119.9,1,610000,S,5,669189.413
12.807,1,610000,B,5,640371.122
12.938,1,620000,B,5,640371.122
121.085,1,730000,B,5,669189.413
121.359,1,660000,S,5,669189.413
121.901,1,690000,B,5,669189.413
122.044,1,710000,S,5,669189.413
122.674,1,710000,S,5,669189.413
122.95,1,640000,B,5,669189.413
123.573,1,690000,S,5,669189.413
123.806,1,690000,B,5,669189.413
124.144,1,680000,S,5,669189.413
124.563,1,660000,B,5,669189.413
124.564,1,720000,S,5,669189.413
124.58,1,690000,S,5,669189.413
124.644,1,680000,S,5,669189.413
125.292,1,690000,B,5,669189.413
125.735,1,660000,B,5,669189.413
125.921,1,650000,B,5,669189.413
126.342,1,630000,B,5,669189.413
126.494,1,620000,B,5,669189.413
126.652,1,720000,S,5,669189.413
126.697,1,720000,S,5,669189.413
127.111,0,,J,,642680.004
127.367,1,560000,B,5,642680.004
127.96,1,640000,S,5,642680.004
128.077,1,690000,S,5,642680.004
128.615,1,700000,B,5,642680.004
129.226,1,690000,B,5,642680.004
129.271,1,650000,B,5,642680.004
129.316,1,660000,B,5,642680.004
129.319,1,610000,B,5,642680.004
129.828,1,690000,S,5,642680.004
129.974,1,630000,S,5,642680.004
13.474,1,630000,B,5,640371.122
13.663,1,590000,S,5,640371.122
13.671,1,670000,S,5,640371.122
130.562,1,650000,S,5,642680.004
131.057,1,630000,B,5,642680.004
131.123,1,730000,S,5,642680.004
131.892,1,650000,B,5,642680.004
132.228,1,630000,B,5,642680.004
132.261,1,660000,S,5,642680.004
132.677,1,620000,S,5,642680.004
132.932,1,680000,S,5,642680.004
133.498,1,650000,S,5,642680.004
133.597,1,630000,B,5,642680.004
134.044,1,600000,B,5,642680.004
134.086,1,630000,B,5,642680.004
134.332,1,580000,B,5,642680.004
134.527,1,680000,S,5,642680.004
134.647,1,660000,B,5,642680.004
134.724,0,,J,,631715.184
136.344,1,640000,B,5,631715.184
136.524,1,680000,B,5,631715.184
136.526,1,660000,S,5,631715.184
136.679,1,670000,S,5,631715.184
136.972,1,630000,B,5,631715.184
137.377,1,590000,B,5,631715.184
137.397,1,680000,B,5,631715.184
137.683,1,680000,S,5,631715.184
137.788,1,640000,S,5,631715.184
137.813,1,620000,S,5,631715.184
137.931,1,670000,S,5,631715.184
138.421,1,640000,B,5,631715.184
138.686,1,660000,S,5,631715.184
138.814,1,620000,B,5,631715.184
138.84,1,610000,B,5,631715.184
139.139,1,650000,S,5,631715.184
139.526,1,690000,S,5,631715.184
139.579,1,650000,B,5,631715.184
139.683,1,610000,S,5,631715.184
14.031,0,,J,,1029584.216
14.38,1,1000000,B,5,1029584.216
140.582,1,660000,S,5,631715.184
140.773,1,620000,S,5,631715.184
140.84,1,610000,S,5,631715.184
141.433,1,630000,B,5,631715.184
142.203,1,630000,S,5,631715.184
142.424,1,560000,S,5,631715.184
142.436,1,630000,B,5,631715.184
142.649,1,650000,B,5,631715.184
142.946,1,710000,S,5,631715.184
143.311,1,640000,S,5,631715.184
143.786,1,700000,S,5,631715.184
144.229,1,530000,B,5,631715.184
145.035,1,580000,B,5,631715.184
145.132,1,670000,S,5,631715.184
145.519,1,630000,B,5,631715.184
145.703,1,650000,B,5,631715.184
146.458,1,680000,S,5,631715.184
146.887,1,610000,B,5,631715.184
148.004,1,700000,S,5,631715.184
148.027,1,670000,S,5,631715.184
148.115,1,660000,B,5,631715.184
148.443,1,630000,S,5,631715.184
148.789,1,660000,S,5,631715.184
149.207,1,640000,S,5,631715.184
149.233,1,680000,S,5,631715.184
149.261,1,610000,B,5,631715.184
149.399,1,640000,S,5,631715.184
149.606,1,610000,S,5,631715.184
149.681,1,620000,B,5,631715.184
15.689,1,1100000,S,5,1029584.216
15.831,1,990000,B,5,1029584.216
15.84,1,1080000,S,5,1029584.216
15.92,1,930000,B,5,1029584.216
15.969,1,1030000,B,5,1029584.216
150.359,1,650000,B,5,631715.184
150.738,1,680000,S,5,631715.184
150.794,1,520000,B,5,631715.184
151.132,1,560000,B,5,631715.184
151.753,1,670000,B,5,631715.184
151.828,1,650000,S,5,631715.184
152.109,1,650000,S,5,631715.184
152.785,1,690000,S,5,631715.184
153.172,1,620000,B,5,631715.184
153.471,1,630000,S,5,631715.184
153.976,1,650000,S,5,631715.184
154.535,1,710000,S,5,631715.184
154.647,1,570000,B,5,631715.184
155.797,1,690000,S,5,631715.184
156.313,1,640000,S,5,631715.184
156.993,1,640000,S,5,631715.184
159.053,1,670000,B,5,631715.184
159.226,1,630000,S,5,631715.184
159.311,1,640000,B,5,631715.184
159.385,1,600000,B,5,631715.184
16.014,1,1060000,S,5,1029584.216
16.37,1,1040000,S,5,1029584.216
16.805,1,1050000,S,5,1029584.216
160.496,1,610000,S,5,631715.184
160.616,1,650000,S,5,631715.184
160.912,1,690000,S,5,631715.184
160.989,1,650000,S,5,631715.184
161.215,1,670000,S,5,631715.184
161.393,1,660000,S,5,631715.184
161.59,0,,J,,686745.834
161.688,1,670000,B,5,686745.834
161.724,1,650000,B,5,686745.834
161.895,1,710000,S,5,686745.834
162.672,1,610000,B,5,686745.834
162.757,0,,J,,679136.509
162.921,1,650000,B,5,679136.509
162.977,1,650000,S,5,679136.509
164.453,1,670000,B,5,679136.509
164.76,1,670000,B,5,679136.509
164.834,1,680000,S,5,679136.509
165.219,1,680000,B,5,679136.509
165.655,1,670000,B,5,679136.509
165.815,1,670000,B,5,679136.509
165.826,1,690000,S,5,679136.509
166.051,1,710000,S,5,679136.509
166.157,1,690000,B,5,679136.509
166.243,1,680000,S,5,679136.509
166.656,1,670000,S,5,679136.509
167.232,1,690000,B,5,679136.509
167.236,1,630000,S,5,679136.509
167.479,0,,J,,672833.755
167.534,1,570000,B,5,672833.755
167.942,1,600000,B,5,672833.755
168.45,1,660000,B,5,672833.755
168.844,1,660000,B,5,672833.755
169.452,1,710000,S,5,672833.755
17.274,1,1040000,S,5,1029584.216
170.253,1,700000,S,5,672833.755
170.669,1,700000,B,5,672833.755
170.715,1,740000,S,5,672833.755
170.766,1,730000,S,5,672833.755
171.117,1,660000,S,5,672833.755
172.051,1,700000,S,5,672833.755
173.5,1,630000,B,5,672833.755
174.24,1,640000,B,5,672833.755
174.861,1,620000,B,5,672833.755
175.037,1,690000,S,5,672833.755
175.222,1,670000,B,5,672833.755
175.586,1,700000,S,5,672833.755
175.615,1,660000,S,5,672833.755
175.632,1,650000,S,5,672833.755
175.868,0,,J,,617596.337
175.954,1,610000,S,5,617596.337
175.979,1,570000,B,5,617596.337
176.416,1,660000,S,5,617596.337
177.619,1,630000,S,5,617596.337
177.846,0,,J,,610209.42
178.518,1,620000,S,5,610209.42
178.674,1,590000,B,5,610209.42
178.88,1,620000,B,5,610209.42
178.953,1,640000,B,5,610209.42
179.265,1,600000,B,5,610209.42
179.309,1,620000,S,5,610209.42
179.357,1,670000,S,5,610209.42
179.56,1,640000,S,5,610209.42
179.743,1,580000,B,5,610209.42
179.966,1,620000,B,5,610209.42
18.285,1,1020000,B,5,1029584.216
18.33,0,,J,,985098.03
18.813,1,1000000,S,5,985098.03
180.005,1,600000,B,5,610209.42
180.035,1,550000,B,5,610209.42
180.041,1,610000,B,5,610209.42
180.195,1,640000,S,5,610209.42
180.226,1,570000,S,5,610209.42
180.367,1,570000,S,5,610209.42
180.661,1,590000,B,5,610209.42
180.93,1,610000,B,5,610209.42
181.033,1,610000,B,5,610209.42
181.167,1,550000,B,5,610209.42
181.174,1,580000,B,5,610209.42
181.22,1,610000,B,5,610209.42
181.311,1,580000,S,5,610209.42
181.987,1,630000,S,5,610209.42
182.207,1,600000,B,5,610209.42
183.891,1,660000,S,5,610209.42
184.148,1,520000,B,5,610209.42
184.194,1,630000,S,5,610209.42
184.836,1,690000,S,5,610209.42
184.857,1,610000,S,5,610209.42
185.012,1,580000,B,5,610209.42
185.323,1,660000,S,5,610209.42
185.712,1,610000,S,5,610209.42
185.73,1,620000,B,5,610209.42
187.724,1,650000,S,5,610209.42
187.86,1,580000,S,5,610209.42
188.471,1,590000,B,5,610209.42
188.908,1,590000,S,5,610209.42
189.012,1,660000,S,5,610209.42
189.09,0,,J,,606042.602
189.103,1,540000,B,5,606042.602
189.427,1,570000,S,5,606042.602
189.458,0,,J,,609420.709
19.11,1,910000,B,5,985098.03
19.225,1,1000000,S,5,985098.03
19.327,1,1070000,S,5,985098.03
19.554,1,1010000,S,5,985098.03
191.032,1,560000,B,5,609420.709
191.181,1,610000,S,5,609420.709
191.433,1,670000,S,5,609420.709
191.665,1,590000,B,5,609420.709
191.665,1,600000,B,5,609420.709
191.908,1,660000,S,5,609420.709
191.946,1,610000,S,5,609420.709
192.152,1,610000,S,5,609420.709
192.179,1,600000,S,5,609420.709
192.519,1,650000,S,5,609420.709
192.711,1,680000,S,5,609420.709
192.759,1,600000,B,5,609420.709
192.951,1,570000,B,5,609420.709
193.141,1,570000,B,5,609420.709
193.705,1,600000,S,5,609420.709
193.767,1,610000,B,5,609420.709
193.774,1,600000,S,5,609420.709
193.848,1,620000,S,5,609420.709
194.176,0,,J,,640371.122
194.278,1,590000,B,5,640371.122
194.397,1,560000,B,5,640371.122
194.846,1,540000,B,5,640371.122
195.027,1,590000,B,5,640371.122
195.924,1,670000,S,5,640371.122
196.04,1,610000,B,5,640371.122
196.581,1,650000,S,5,640371.122
197.762,1,630000,S,5,640371.122
197.817,1,590000,B,5,640371.122
198.338,1,590000,B,5,640371.122
198.508,1,630000,B,5,640371.122
198.923,1,720000,S,5,640371.122
198.955,1,660000,S,5,640371.122
199.296,1,580000,B,5,640371.122
2.244,1,700000,S,5,640371.122
2.487,1,690000,S,5,640371.122
2.613,1,600000,S,5,640371.122
20.411,1,970000,B,5,985098.03
20.996,1,990000,S,5,985098.03
200.31,1,660000,B,5,640371.122
200.365,1,590000,B,5,640371.122
200.465,1,680000,S,5,640371.122
202.087,1,610000,B,5,640371.122
202.522,1,660000,S,5,640371.122
202.639,1,720000,B,5,640371.122
202.73,1,640000,S,5,640371.122
202.736,1,600000,B,5,640371.122
203.004,1,670000,S,5,640371.122
203.239,1,620000,B,5,640371.122
204.401,1,610000,B,5,640371.122
204.988,1,640000,S,5,640371.122
205.176,1,680000,S,5,640371.122
205.399,1,650000,B,5,640371.122
205.995,1,590000,B,5,640371.122
206.236,1,590000,B,5,640371.122
206.277,1,680000,B,5,640371.122
206.407,1,580000,B,5,640371.122
206.963,1,680000,S,5,640371.122
207.25,1,670000,S,5,640371.122
207.475,1,630000,S,5,640371.122
207.986,1,640000,B,5,640371.122
209.501,1,630000,S,5,640371.122
209.991,1,590000,B,5,640371.122
210.333,1,580000,B,5,640371.122
210.748,1,650000,B,5,640371.122
210.754,1,650000,S,5,640371.122
210.92,1,650000,B,5,640371.122
211.2,1,600000,B,5,640371.122
211.993,1,640000,B,5,640371.122
212.626,1,700000,S,5,640371.122
213.845,1,620000,B,5,640371.122
214.293,1,590000,B,5,640371.122
214.706,1,650000,S,5,640371.122
215.013,1,660000,B,5,640371.122
216.314,1,640000,B,5,640371.122
216.375,1,650000,S,5,640371.122
216.811,1,610000,S,5,640371.122
216.816,1,680000,S,5,640371.122
216.922,1,670000,B,5,640371.122
217.111,1,710000,S,5,640371.122
217.125,1,670000,S,5,640371.122
217.294,1,610000,B,5,640371.122
217.296,1,600000,B,5,640371.122
217.394,1,640000,S,5,640371.122
217.876,1,570000,B,5,640371.122
218.048,1,720000,S,5,640371.122
218.063,1,620000,B,5,640371.122
218.23,1,730000,S,5,640371.122
218.313,1,620000,B,5,640371.122
218.585,1,570000,B,5,640371.122
219.549,1,680000,B,5,640371.122
219.666,1,590000,B,5,640371.122
219.746,1,610000,B,5,640371.122
219.913,1,670000,B,5,640371.122
219.937,1,700000,S,5,640371.122
22.161,1,970000,B,5,985098.03
22.459,1,1010000,S,5,985098.03
220.16,1,600000,S,5,640371.122
220.464,1,660000,S,5,640371.122
220.496,1,590000,B,5,640371.122
220.85,1,680000,S,5,640371.122
221.526,1,710000,S,5,640371.122
221.629,1,600000,B,5,640371.122
221.954,1,670000,B,5,640371.122
222.284,1,590000,B,5,640371.122
222.602,1,730000,S,5,640371.122
223.065,1,640000,S,5,640371.122
223.647,1,650000,S,5,640371.122
223.673,1,630000,B,5,640371.122
223.823,1,620000,S,5,640371.122
224.848,1,710000,S,5,640371.122
225.333,1,630000,S,5,640371.122
225.626,1,640000,B,5,640371.122
226.703,1,620000,S,5,640371.122
226.874,1,660000,S,5,640371.122
227.412,1,620000,B,5,640371.122
227.513,1,650000,S,5,640371.122
227.764,1,640000,B,5,640371.122
227.877,1,630000,S,5,640371.122
227.953,1,710000,S,5,640371.122
228.042,1,630000,B,5,640371.122
228.287,1,540000,B,5,640371.122
229.893,1,720000,S,5,640371.122
23.603,1,1000000,S,5,985098.03
23.698,1,1030000,S,5,985098.03
230.264,1,670000,S,5,640371.122
231.183,1,670000,B,5,640371.122
231.562,1,660000,S,5,640371.122
232.146,1,550000,B,5,640371.122
232.383,1,610000,B,5,640371.122
232.703,1,580000,B,5,640371.122
232.805,1,620000,B,5,640371.122
233.469,1,610000,B,5,640371.122
233.708,1,670000,S,5,640371.122
233.712,1,610000,S,5,640371.122
233.938,1,660000,S,5,640371.122
234.084,1,650000,S,5,640371.122
234.237,1,680000,S,5,640371.122
234.25,1,610000,S,5,640371.122
234.422,1,650000,S,5,640371.122
235.78,1,710000,S,5,640371.122
235.876,1,580000,B,5,640371.122
236.252,1,640000,B,5,640371.122
236.57,1,660000,B,5,640371.122
237.268,1,660000,S,5,640371.122
237.327,1,650000,B,5,640371.122
237.54,1,690000,S,5,640371.122
237.589,1,670000,B,5,640371.122
237.713,1,610000,B,5,640371.122
238.539,1,660000,S,5,640371.122
239.221,1,640000,B,5,640371.122
239.357,1,600000,B,5,640371.122
24.472,1,980000,S,5,985098.03
24.56,1,1000000,S,5,985098.03
24.774,1,980000,B,5,985098.03
25.195,0,,J,,905820.952
25.58,1,920000,S,5,905820.952
25.799,1,850000,B,5,905820.952
