arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.233,1,1260000,S,5,1203547.352
0.262,1,1190000,S,5,1203547.352
0.531,1,1110000,B,5,1203547.352
0.578,1,1180000,B,5,1203547.352
2.373,1,1030000,B,5,1066657.141
2.485,1,1070000,B,5,1066657.141
2.837,1,1110000,S,5,1066657.141
3.192,1,1110000,S,5,1066657.141
3.206,1,1080000,S,5,1066657.141
3.348,1,1150000,S,5,1066657.141
4.325,1,1050000,B,5,1066657.141
4.54,1,1110000,S,5,1066657.141
5.298,1,970000,B,5,986519.571
5.302,1,1010000,S,5,986519.571
5.917,1,1040000,S,5,986519.571
6.186,1,990000,S,5,986519.571
6.853,1,1000000,B,5,986519.571
6.944,1,1000000,S,5,986519.571
6.996,1,990000,B,5,986519.571
7.079,1,950000,B,5,986519.571
7.105,1,950000,B,5,986519.571
7.538,1,990000,S,5,986519.571
7.719,1,980000,S,5,986519.571
7.786,1,1010000,B,5,986519.571
7.848,1,990000,B,5,986519.571
8.113,1,1030000,S,5,986519.571
8.165,1,1040000,S,5,986519.571
8.564,1,930000,B,5,986519.571
8.673,1,980000,B,5,986519.571
8.848,1,1020000,S,5,986519.571
8.883,1,980000,S,5,986519.571
9.318,1,1020000,S,5,986519.571
9.428,1,990000,B,5,986519.571
9.806,1,1030000,S,5,986519.571
11.019,1,1010000,S,5,967404.662
12.775,1,980000,B,5,1022156.605
14.142,1,980000,B,5,1022156.605
14.337,1,1040000,B,5,1022156.605
14.962,1,1090000,B,5,1022156.605
16.416,1,1050000,S,5,1022156.605
16.532,1,1040000,S,5,1022156.605
16.847,1,1040000,S,5,1022156.605
17.022,1,1070000,S,5,1022156.605
17.25,1,980000,B,5,1022156.605
17.362,1,1000000,B,5,1022156.605
17.824,1,980000,B,5,1022156.605
18.084,1,1040000,S,5,1022156.605
18.491,1,1050000,B,5,1022156.605
18.559,1,1040000,S,5,1022156.605
18.565,1,1070000,S,5,1022156.605
19.195,1,1010000,S,5,1022156.605
19.272,1,1000000,B,5,1022156.605
19.815,1,1030000,S,5,1022156.605
20.251,1,1060000,S,5,1022156.605
20.433,1,1020000,S,5,1022156.605
20.692,1,1040000,S,5,1022156.605
21.382,1,1050000,S,5,1022156.605
21.579,1,1060000,B,5,1022156.605
21.581,1,980000,B,5,1022156.605
21.645,1,1000000,S,5,1022156.605
21.889,1,1010000,B,5,1022156.605
22.209,1,1050000,S,5,1022156.605
22.468,1,1000000,B,5,1032483.346
24.185,1,1030000,B,5,1032483.346
24.27,1,1100000,S,5,1032483.346
24.704,1,1010000,B,5,1032483.346
25.16,1,1060000,S,5,1032483.346
25.503,1,1060000,S,5,1032483.346
25.565,1,1080000,S,5,1032483.346
26.251,1,1090000,S,5,1060577.422
26.32,1,1020000,B,5,1060577.422
26.517,1,1060000,S,5,1060577.422
26.647,1,1070000,S,5,1060577.422
27.285,1,1060000,B,5,1060577.422
27.505,1,1050000,S,5,1060577.422
27.731,1,1120000,S,5,1060577.422
28.475,1,1020000,B,5,1060577.422
32.324,1,1100000,B,5,1060577.422
33.227,1,1090000,S,5,1060577.422
33.893,1,1070000,B,5,1060577.422
34.711,1,1110000,S,5,1060577.422
35.4,1,1030000,B,5,1060577.422
35.968,1,1080000,S,5,1060577.422
36.277,1,1120000,S,5,1060577.422
36.539,1,1090000,S,5,1060577.422
36.671,1,1090000,S,5,1060577.422
37.658,1,1030000,B,5,1060577.422
37.721,1,1010000,B,5,1060577.422
37.776,1,1090000,S,5,1060577.422
38.548,1,990000,B,5,1060577.422
39.385,1,1150000,S,5,1060577.422
39.685,1,1130000,S,5,1060577.422
39.778,1,1120000,S,5,1060577.422
39.831,1,1090000,B,5,1060577.422
39.935,1,1060000,B,5,1060577.422
40.139,1,1010000,B,5,1060577.422
40.684,1,1110000,S,5,1060577.422
41.207,1,1080000,S,5,1060577.422
41.6,1,1060000,B,5,1060577.422
41.888,1,1090000,S,5,1060577.422
42.037,1,1060000,S,5,1060577.422
42.439,1,1080000,B,5,1060577.422
42.609,1,1100000,S,5,1060577.422
43.374,1,1100000,S,5,1060577.422
43.746,1,1020000,B,5,1060577.422
44.954,1,1050000,B,5,1060577.422
44.956,1,1040000,B,5,1060577.422
46.06,1,1040000,B,5,1060577.422
46.754,1,1050000,S,5,1060577.422
47.874,1,1020000,S,5,1060577.422
48.416,1,1080000,S,5,1060577.422
49.115,1,1120000,S,5,1060577.422
50.344,1,1050000,B,5,1060577.422
50.887,1,1080000,S,5,1060577.422
51.022,1,1000000,B,5,1060577.422
51.102,1,1140000,S,5,1060577.422
51.165,1,1060000,B,5,1060577.422
51.781,1,1040000,B,5,1060577.422
51.867,1,1050000,B,5,1060577.422
52.371,1,1040000,B,5,1060577.422
52.822,1,1020000,B,5,1060577.422
53.477,1,1060000,B,5,1060577.422
54.192,1,1070000,S,5,1060577.422
54.414,1,1050000,S,5,1060577.422
54.674,1,1100000,S,5,1060577.422
55.131,1,1080000,B,5,1060577.422
56.257,1,1100000,S,5,1060577.422
57.343,1,1030000,B,5,1060577.422
58.246,1,1070000,B,5,1096112.695
58.37,1,1100000,B,5,1096112.695
58.56,1,1140000,S,5,1096112.695
59.194,1,1080000,B,5,1096112.695
59.399,1,1140000,S,5,1096112.695
59.878,1,1160000,S,5,1096112.695
61.213,1,1070000,B,5,1096112.695
61.296,1,1130000,S,5,1096112.695
61.381,1,1090000,S,5,1096112.695
63.828,1,1050000,B,5,1096112.695
64.299,1,1100000,S,5,1096112.695
64.629,1,1070000,B,5,1096112.695
64.843,1,1080000,S,5,1096112.695
65.691,1,1140000,S,5,1096112.695
65.812,1,1120000,B,5,1096112.695
66.382,1,1070000,B,5,1096112.695
66.67,1,1140000,S,5,1096112.695
67.606,1,1080000,B,5,1096112.695
68.108,1,1140000,S,5,1096112.695
68.23,1,1080000,B,5,1096112.695
69.041,1,1170000,S,5,1125001.488
71.519,1,1060000,B,5,1125001.488
72.41,1,1130000,B,5,1125001.488
73.76,1,1160000,B,5,1125001.488
74.051,1,1180000,S,5,1125001.488
75.016,1,1140000,S,5,1125001.488
75.628,1,1110000,S,5,1125001.488
77.826,1,1160000,S,5,1125001.488
78.971,1,1130000,S,5,1125001.488
79.18,1,1130000,B,5,1125001.488
79.286,1,1080000,B,5,1125001.488
79.327,1,1100000,B,5,1125001.488
80.121,1,1140000,B,5,1125001.488
80.448,1,1120000,S,5,1125001.488
80.877,1,1120000,B,5,1125001.488
80.979,1,1130000,S,5,1125001.488
81.186,1,1080000,B,5,1125001.488
81.228,1,1120000,B,5,1125001.488
81.35,1,1150000,S,5,1125001.488
81.751,1,1150000,S,5,1125001.488
82.161,1,1060000,B,5,1125001.488
82.587,1,1130000,S,5,1125001.488
83.832,1,1120000,S,5,1125001.488
84.045,1,1150000,S,5,1125001.488
84.275,1,1100000,B,5,1125001.488
84.824,1,1110000,B,5,1069717.378
85.526,1,1020000,B,5,1069717.378
85.634,1,1110000,S,5,1069717.378
87.365,1,1120000,S,5,1069717.378
87.406,1,1060000,B,5,1069717.378
