arrival_time,price
1.147,980000
2.092,980000
7.125,970000
9.676,960000
11.675,970000
19.11,950000
21.223,960000
25.727,940000
26.139,950000
30.728,950000
32.391,960000
33.005,950000
33.32,990000
34.719,990000
38.094,990000
38.689,980000
45.477,960000
47.658,950000
49.411,950000
51.309,970000
52.895,970000
53.531,970000
54.485,970000
55.576,960000
55.845,950000
56.407,950000
60.009,950000
62.365,940000
62.474,950000
69.925,970000
70.065,950000
71.171,930000
71.579,900000
73.742,880000
75.643,870000
75.789,880000
79.415,880000
81.017,880000
82.232,880000
87.007,900000
88.627,880000
89.58,870000
92.88,880000
95.267,880000
95.798,880000
98.24,890000
100.611,890000
103.162,890000
103.657,900000
105.415,900000
106.543,900000
106.639,910000
107.058,920000
107.121,930000
108.161,970000
108.192,1020000
109.12,1100000
110.081,1090000
116.587,1100000
119.453,1050000
125.796,1070000
125.903,1070000
129.866,1090000
132.699,1110000
134.307,1100000
134.565,1110000
135.075,1100000
135.551,1090000
143.018,1090000
144.895,1090000
145.445,1090000
145.891,1110000
150.874,1110000
153.234,1110000
153.512,1090000
156.912,1080000
160.976,1100000
162.896,1090000
167.657,1080000
167.73,1080000
170.794,1080000
172.232,1080000
172.605,1080000
173.666,1050000
175.937,960000
177.579,950000
177.928,900000
179.104,900000
181.223,920000
182.066,930000
182.37,930000
184.245,920000
184.246,930000
185.071,920000
185.362,910000
187.108,930000
187.856,930000
196.284,920000
198.836,920000
201.57,920000
203.821,920000
204.514,930000
205.78,920000
206.679,890000
207.102,850000
211.725,850000
212.097,860000
212.526,870000
216.148,880000
216.346,900000
218.333,880000
218.551,900000
223.988,880000
227.054,910000
228.168,910000
230.13,900000
230.617,910000
230.7,900000
234.669,910000
236.382,920000
237.609,940000
239.226,910000
