arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.064,1,1140000,S,5,1126109.52
0.095,1,1130000,S,5,1126109.52
0.804,1,1120000,B,5,1126109.52
1.019,1,1170000,S,5,1126109.52
1.145,1,1110000,B,5,1126109.52
1.257,1,1060000,B,5,1126109.52
1.807,1,1220000,S,5,1126109.52
10.643,1,1050000,S,5,1005543.22
10.691,1,990000,B,5,1005543.22
10.8,1,970000,S,5,1005543.22
101.077,1,960000,B,5,969601.711
101.708,1,950000,B,5,969601.711
102.217,1,920000,B,5,969601.711
102.55,1,970000,B,5,969601.711
103.236,1,980000,B,5,969601.711
103.378,1,990000,S,5,969601.711
104.377,1,990000,B,5,969601.711
104.84,1,930000,B,5,969601.711
106.283,1,1010000,B,5,969601.711
106.303,1,970000,S,5,969601.711
106.366,1,1000000,S,5,969601.711
106.452,1,920000,B,5,969601.711
106.496,1,950000,B,5,969601.711
106.588,1,1010000,S,5,969601.711
106.684,1,910000,B,5,969601.711
106.74,1,970000,B,5,969601.711
106.786,1,1050000,S,5,969601.711
106.854,1,1000000,S,5,969601.711
107.064,1,930000,S,5,969601.711
107.339,1,980000,B,5,969601.711
107.849,1,1060000,S,5,969601.711
108.161,1,990000,S,5,969601.711
108.703,1,960000,B,5,969601.711
109.306,1,1030000,S,5,969601.711
109.847,1,1030000,S,5,969601.711
11.147,1,990000,B,5,1005543.22
11.159,1,970000,B,5,1005543.22
11.377,1,1040000,S,5,1005543.22
110.512,1,960000,B,5,969601.711
111.116,1,940000,S,5,969601.711
111.411,1,990000,S,5,969601.711
111.666,1,950000,S,5,969601.711
112.038,1,1010000,S,5,969601.711
112.098,1,990000,B,5,969601.711
112.432,1,990000,B,5,969601.711
112.602,1,940000,B,5,969601.711
112.868,1,970000,B,5,969601.711
112.987,1,930000,S,5,969601.711
113.253,1,990000,S,5,969601.711
113.31,1,920000,B,5,969601.711
113.322,1,920000,B,5,969601.711
113.671,1,1010000,S,5,969601.711
113.736,1,970000,B,5,969601.711
113.858,1,1000000,S,5,969601.711
114.359,1,990000,B,5,969601.711
114.404,1,1020000,S,5,969601.711
114.614,1,960000,S,5,969601.711
114.911,1,980000,S,5,969601.711
115.304,1,1020000,S,5,969601.711
115.556,1,1000000,S,5,969601.711
115.865,1,1040000,S,5,969601.711
117.043,1,1090000,S,5,969601.711
117.178,0,,J,,994061.408
117.19,1,990000,S,5,994061.408
117.201,1,1000000,S,5,994061.408
117.852,1,1040000,S,5,994061.408
117.947,1,1030000,S,5,994061.408
118.03,1,1000000,S,5,994061.408
118.3,1,1020000,S,5,994061.408
118.372,1,1020000,B,5,994061.408
118.814,1,960000,S,5,994061.408
118.884,1,1050000,S,5,994061.408
119.793,1,1000000,B,5,994061.408
119.86,1,1030000,B,5,994061.408
119.931,1,960000,B,5,994061.408
12.468,1,1040000,B,5,1005543.22
122.091,0,,J,,1026021.675
122.362,1,1010000,S,5,1026021.675
123.03,1,1120000,S,5,1026021.675
123.383,1,990000,B,5,1026021.675
123.421,1,1020000,S,5,1026021.675
123.457,1,1020000,B,5,1026021.675
123.573,1,1070000,B,5,1026021.675
124.594,1,1030000,S,5,1026021.675
124.852,1,1000000,B,5,1026021.675
125.654,1,1080000,S,5,1026021.675
126.059,1,1070000,B,5,1026021.675
126.163,1,1050000,B,5,1026021.675
126.337,1,980000,B,5,1026021.675
126.601,1,1000000,S,5,1026021.675
126.636,1,980000,B,5,1026021.675
126.752,1,960000,B,5,1026021.675
126.763,1,1010000,B,5,1026021.675
128.204,1,970000,B,5,1026021.675
128.833,1,1030000,B,5,1026021.675
128.848,1,1030000,B,5,1026021.675
129.329,1,1060000,S,5,1026021.675
129.468,1,1040000,B,5,1026021.675
129.777,1,970000,B,5,1026021.675
129.79,1,1060000,S,5,1026021.675
129.952,1,1050000,S,5,1026021.675
13.736,1,1040000,S,5,1005543.22
130.841,1,1090000,S,5,1026021.675
130.979,1,990000,B,5,1026021.675
131.252,1,960000,B,5,1026021.675
131.35,1,1060000,B,5,1026021.675
131.499,1,1020000,B,5,1026021.675
131.644,1,1040000,S,5,1026021.675
132.12,1,1040000,B,5,1026021.675
