arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.064,1,1120000,S,5,1126109.52
0.095,1,1090000,B,5,1126109.52
0.804,1,1160000,S,5,1126109.52
1.145,1,1120000,B,5,1126109.52
1.257,1,1110000,S,5,1126109.52
1.807,1,1150000,S,5,1126109.52
2.084,1,1130000,S,5,1126109.52
2.544,1,1180000,S,5,1126109.52
3.697,1,1140000,B,5,1126109.52
4.596,1,1150000,S,5,1126109.52
4.928,1,1210000,S,5,1126109.52
5.137,1,1140000,B,5,1126109.52
5.276,1,1160000,S,5,1126109.52
5.763,1,1140000,B,5,1126109.52
7.515,1,1130000,B,5,1126109.52
7.817,1,990000,B,5,1005543.22
8.52,1,990000,B,5,1005543.22
8.743,1,990000,B,5,1005543.22
8.965,1,1080000,S,5,1005543.22
9.256,1,1060000,S,5,1005543.22
9.301,1,980000,B,5,1005543.22
9.703,1,970000,S,5,1005543.22
10.643,1,1030000,B,5,1005543.22
10.8,1,980000,B,5,1005543.22
11.147,1,1020000,S,5,1005543.22
11.159,1,1000000,B,5,1005543.22
11.377,1,1040000,S,5,1005543.22
12.468,1,1050000,S,5,1005543.22
13.736,1,1000000,S,5,1005543.22
14.16,1,970000,B,5,1005543.22
14.166,1,960000,B,5,1005543.22
14.262,1,1020000,S,5,1005543.22
15.448,1,1090000,S,5,1005543.22
15.73,1,980000,B,5,1005543.22
18.993,1,1040000,B,5,1005543.22
19.131,1,960000,B,5,1005543.22
19.353,1,1000000,B,5,1005543.22
19.457,1,1020000,S,5,1005543.22
19.536,1,970000,B,5,1005543.22
19.569,1,920000,B,5,1005543.22
20.333,1,990000,S,5,1005543.22
20.483,1,1110000,S,5,1005543.22
20.49,1,1020000,S,5,1005543.22
21.613,1,1030000,S,5,1005543.22
21.653,1,990000,B,5,1005543.22
23.425,1,1020000,S,5,1005543.22
23.694,1,1040000,S,5,1005543.22
24.293,1,1000000,S,5,1005543.22
24.43,1,1010000,S,5,1005543.22
24.895,1,1040000,S,5,1005543.22
26.703,1,960000,B,5,1005543.22
29.656,1,970000,B,5,1005543.22
29.679,1,970000,B,5,1005543.22
30.507,1,920000,B,5,1005543.22
33.012,1,1000000,S,5,1005543.22
33.165,1,980000,B,5,1005543.22
33.216,1,980000,B,5,1005543.22
33.644,1,960000,B,5,1005543.22
34.061,1,970000,B,5,1005543.22
34.224,1,1020000,S,5,1005543.22
34.936,1,1000000,S,5,1005543.22
35.512,1,950000,B,5,1005543.22
35.849,1,1050000,S,5,1005543.22
36.322,1,1000000,B,5,1005543.22
36.826,1,1020000,S,5,1005543.22
37.786,1,960000,B,5,1005543.22
38.005,1,1030000,S,5,1005543.22
38.118,1,1050000,B,5,1005543.22
38.322,1,1040000,S,5,1005543.22
38.598,1,980000,S,5,1005543.22
39.234,1,1010000,S,5,1005543.22
40.434,1,1010000,B,5,1005543.22
40.793,1,1010000,B,5,1005543.22
40.84,1,1050000,S,5,1005543.22
41.195,1,960000,B,5,1005543.22
41.262,1,1050000,S,5,1005543.22
41.608,1,1020000,S,5,1005543.22
41.913,1,1070000,S,5,1005543.22
42.627,1,990000,B,5,1005543.22
42.92,1,1020000,S,5,1005543.22
43.236,1,1040000,S,5,1005543.22
44.155,1,950000,B,5,1005543.22
44.519,1,1030000,S,5,1005543.22
44.944,1,960000,B,5,1005543.22
45.035,1,970000,S,5,1005543.22
45.418,1,1030000,B,5,1005543.22
45.669,1,1000000,B,5,1005543.22
45.677,1,970000,B,5,1005543.22
45.98,1,1060000,S,5,1005543.22
46.799,1,940000,B,5,1005543.22
49.927,1,960000,B,5,1005543.22
49.931,1,1060000,S,5,1005543.22
50.326,1,960000,B,5,1005543.22
50.801,1,1060000,S,5,1005543.22
51.263,1,1100000,S,5,1033978.759
51.978,1,1050000,S,5,1033978.759
52.052,1,1030000,B,5,1033978.759
52.234,1,1140000,S,5,1033978.759
53.051,1,1040000,B,5,1033978.759
54.017,1,980000,B,5,1033978.759
54.611,1,990000,B,5,1033978.759
56.345,1,1040000,B,5,998490.806
57.997,1,990000,B,5,998490.806
58.262,1,980000,B,5,998490.806
58.822,1,990000,S,5,998490.806
59.196,1,1040000,S,5,998490.806
59.691,1,1080000,S,5,998490.806
59.948,1,1020000,S,5,998490.806
59.977,1,990000,B,5,998490.806
60.107,1,940000,B,5,998490.806
60.595,1,970000,S,5,998490.806
60.768,1,960000,B,5,998490.806
60.851,1,1000000,S,5,998490.806
61.093,1,980000,B,5,998490.806
61.438,1,1010000,B,5,998490.806
61.807,1,950000,B,5,998490.806
62.081,1,1020000,S,5,998490.806
63.937,1,970000,B,5,998490.806
64.131,1,1050000,S,5,998490.806
64.27,1,1000000,B,5,998490.806
65.021,1,1020000,S,5,998490.806
65.651,1,990000,S,5,998490.806
66.541,1,1040000,S,5,998490.806
67.181,1,1020000,B,5,998490.806
67.333,1,1010000,S,5,998490.806
67.576,1,1040000,B,5,1049828.597
67.675,1,1070000,S,5,1049828.597
68.119,1,1070000,S,5,1049828.597
68.756,1,1080000,B,5,1049828.597
69.359,1,990000,B,5,1049828.597
70.429,1,1110000,B,5,1049828.597
70.43,1,1050000,B,5,1049828.597
70.817,1,1020000,B,5,1049828.597
71.073,1,1050000,S,5,1049828.597
71.392,1,1060000,S,5,1049828.597
72.105,1,940000,B,5,984886.993
72.251,1,990000,S,5,984886.993
72.464,1,980000,B,5,984886.993
72.696,1,970000,B,5,984886.993
73.258,1,1020000,B,5,1011501.949
73.571,1,990000,S,5,1011501.949
73.989,1,1000000,S,5,1011501.949
74.685,1,1050000,S,5,1011501.949
75.261,1,960000,B,5,1011501.949
75.375,1,1040000,S,5,1011501.949
75.546,1,1030000,S,5,1011501.949
76.926,1,980000,B,5,1011501.949
77.33,1,980000,B,5,998364.9
77.823,1,960000,S,5,998364.9
78.229,1,960000,B,5,998364.9
78.263,1,1020000,B,5,998364.9
79.597,1,1010000,S,5,998364.9
80.708,1,1010000,S,5,998364.9
82.892,1,1050000,S,5,998364.9
83.924,1,930000,B,5,998364.9
84.448,1,990000,B,5,998364.9
84.854,1,1040000,S,5,998364.9
85.275,1,980000,S,5,998364.9
86.57,1,1060000,S,5,985620.884
86.847,1,980000,B,5,985620.884
86.915,1,960000,B,5,985620.884
87.129,1,950000,B,5,985620.884
88.379,1,970000,B,5,985620.884
88.875,1,960000,B,5,985620.884
90.516,1,970000,S,5,985620.884
91.197,1,980000,S,5,985620.884
91.459,1,950000,B,5,985620.884
92.367,1,950000,S,5,985620.884
92.714,1,1030000,S,5,985620.884
92.847,1,950000,B,5,985620.884
93.379,1,960000,B,5,985620.884
93.476,1,1020000,B,5,985620.884
93.946,1,990000,B,5,985620.884
95.143,1,970000,S,5,985620.884
95.151,1,1030000,S,5,985620.884
95.436,1,1010000,B,5,985620.884
95.609,1,1010000,B,5,985620.884
95.622,1,960000,B,5,985620.884
95.836,1,940000,S,5,985620.884
95.919,1,960000,B,5,985620.884
96.066,1,1010000,B,5,985620.884
96.071,1,1020000,B,5,985620.884
96.149,1,950000,B,5,985620.884
96.416,1,980000,S,5,985620.884
97.174,1,1050000,S,5,969601.711
97.354,1,890000,B,5,969601.711
97.788,1,970000,B,5,969601.711
98.167,1,1030000,S,5,969601.711
99.504,1,930000,B,5,969601.711
101.077,1,990000,S,5,969601.711
102.217,1,930000,B,5,969601.711
103.378,1,1010000,S,5,969601.711
104.377,1,990000,B,5,969601.711
106.303,1,940000,B,5,969601.711
106.366,1,1000000,S,5,969601.711
106.496,1,970000,S,5,969601.711
106.684,1,950000,S,5,969601.711
106.74,1,940000,B,5,969601.711
106.854,1,1030000,S,5,969601.711
107.849,1,960000,B,5,969601.711
108.703,1,950000,B,5,969601.711
109.306,1,1000000,S,5,969601.711
110.512,1,940000,B,5,969601.711
111.116,1,940000,B,5,969601.711
112.098,1,990000,S,5,969601.711
112.868,1,990000,S,5,969601.711
112.987,1,1000000,S,5,969601.711
113.253,1,1010000,B,5,969601.711
113.31,1,1030000,S,5,969601.711
113.322,1,1010000,S,5,969601.711
113.671,1,960000,B,5,969601.711
113.736,1,990000,S,5,969601.711
113.858,1,1000000,B,5,969601.711
114.359,1,940000,S,5,969601.711
114.404,1,970000,B,5,969601.711
114.614,1,920000,S,5,969601.711
114.911,1,950000,B,5,969601.711
115.304,1,950000,B,5,969601.711
115.556,1,900000,B,5,969601.711
117.19,1,980000,B,5,994061.408
117.201,1,980000,S,5,994061.408
117.852,1,1030000,S,5,994061.408
117.947,1,960000,B,5,994061.408
118.03,1,1060000,S,5,994061.408
118.3,1,940000,B,5,994061.408
118.372,1,980000,S,5,994061.408
119.793,1,970000,B,5,994061.408
119.86,1,950000,B,5,994061.408
122.362,1,1070000,S,5,1026021.675
123.03,1,1030000,B,5,1026021.675
123.383,1,1000000,S,5,1026021.675
123.421,1,1040000,B,5,1026021.675
123.457,1,1040000,S,5,1026021.675
123.573,1,980000,B,5,1026021.675
124.594,1,1110000,S,5,1026021.675
124.852,1,1000000,S,5,1026021.675
126.059,1,1000000,B,5,1026021.675
126.337,1,990000,B,5,1026021.675
126.601,1,1050000,S,5,1026021.675
126.636,1,950000,B,5,1026021.675
126.752,1,1030000,S,5,1026021.675
126.763,1,1050000,S,5,1026021.675
128.204,1,1040000,S,5,1026021.675
128.833,1,1000000,B,5,1026021.675
128.848,1,1040000,S,5,1026021.675
129.329,1,1040000,S,5,1026021.675
129.468,1,1100000,S,5,1026021.675
129.79,1,1020000,B,5,1026021.675
129.952,1,1120000,S,5,1026021.675
130.841,1,1090000,S,5,1026021.675
131.252,1,1090000,S,5,1026021.675
131.35,1,1060000,B,5,1026021.675
131.499,1,1040000,B,5,1026021.675
131.644,1,1010000,S,5,1026021.675
132.12,1,1000000,B,5,1026021.675
132.288,1,1080000,S,5,1026021.675
132.726,1,990000,B,5,1026021.675
133.486,1,950000,B,5,1026021.675
134.499,1,1020000,S,5,1026021.675
134.88,1,1040000,B,5,1026021.675
