arrival_time,price
6.279,1140000
7.817,1110000
8.52,1070000
9.648,1030000
10.8,1000000
14.166,1040000
15.448,990000
15.73,990000
18.993,1000000
19.536,980000
24.293,1010000
29.679,1020000
34.224,1000000
38.118,1000000
38.322,1000000
40.84,1000000
41.195,1020000
41.262,1020000
44.678,1000000
45.035,1000000
46.799,1020000
49.931,1000000
51.978,1030000
52.643,1030000
58.262,1010000
59.196,990000
61.807,990000
64.27,990000
65.626,1000000
67.568,1030000
70.429,1040000
71.095,1040000
72.464,1040000
72.696,1030000
73.312,1030000
74.888,1020000
75.244,1010000
78.774,1010000
79.346,1000000
81.133,1020000
82.604,1000000
87.129,1000000
88.875,1010000
95.622,980000
96.071,980000
96.416,980000
106.283,990000
106.303,990000
107.064,980000
111.116,980000
111.666,970000
112.987,990000
114.614,990000
114.911,990000
118.372,990000
119.793,960000
119.86,1000000
123.457,1010000
123.573,1020000
126.059,1030000
126.601,1050000
131.35,1050000
132.726,1040000
135.557,1050000
139.407,1040000
141.428,1030000
143.259,1030000
144.49,1010000
144.995,1030000
146.792,1010000
152.808,990000
153.798,1010000
153.861,1010000
154.115,1010000
159.858,1010000
161.186,1000000
161.675,1010000
162.885,1000000
163.823,980000
165.375,990000
166.635,970000
166.848,960000
167.946,960000
169.456,950000
171.882,940000
174.184,940000
174.784,910000
175.784,910000
176.131,910000
180.973,910000
181.771,910000
182.388,890000
183.689,880000
185.385,900000
186.055,890000
188.016,890000
188.027,900000
190.516,910000
191.065,930000
192.163,930000
192.936,930000
197.466,940000
200.627,940000
202.31,940000
202.591,930000
204.054,920000
209.918,920000
211.227,920000
215.638,920000
216.369,910000
216.469,900000
225.01,890000
226.141,900000
226.792,910000
228.986,900000
229.173,900000
229.929,930000
230.0,910000
231.731,950000
231.9,950000
233.099,970000
234.406,1030000
235.444,1030000
235.898,1050000
237.593,1060000
237.942,1080000
238.297,1090000
