arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.183,1,1060000,S,5,1067343.499
0.355,1,1160000,S,5,1067343.499
1.512,1,1060000,S,5,1067343.499
1.603,1,1100000,S,5,1067343.499
100.669,1,940000,B,5,980278.69
100.923,1,930000,B,5,980278.69
101.925,1,970000,B,5,980278.69
102.155,1,950000,B,5,980278.69
102.239,1,960000,B,5,980278.69
102.994,1,950000,B,5,980278.69
103.191,1,970000,S,5,980278.69
103.414,1,990000,B,5,980278.69
103.941,1,990000,S,5,980278.69
104.302,1,970000,B,5,980278.69
104.329,1,1000000,S,5,980278.69
105.81,1,940000,B,5,980278.69
106.889,1,1060000,S,5,980278.69
107.397,1,990000,B,5,980278.69
107.399,1,970000,S,5,980278.69
107.44,1,930000,B,5,980278.69
107.55,1,1020000,S,5,980278.69
108.146,0,,J,,964395.221
108.424,1,990000,S,5,964395.221
108.664,1,980000,S,5,964395.221
108.992,1,930000,B,5,964395.221
109.316,1,980000,B,5,964395.221
11.047,1,1000000,B,5,1027301.033
110.419,1,1030000,S,5,964395.221
110.8,1,1030000,S,5,964395.221
111.033,1,920000,B,5,964395.221
111.425,1,990000,S,5,964395.221
111.771,1,1040000,S,5,964395.221
111.784,0,,J,,956503.379
112.259,1,970000,B,5,956503.379
112.287,1,980000,S,5,956503.379
113.242,1,960000,S,5,956503.379
113.865,1,930000,S,5,956503.379
114.239,1,940000,B,5,956503.379
114.782,1,960000,S,5,956503.379
115.124,1,950000,B,5,956503.379
116.145,1,930000,B,5,956503.379
116.324,1,880000,B,5,956503.379
117.703,1,930000,B,5,956503.379
117.951,1,1020000,S,5,956503.379
118.719,1,950000,S,5,956503.379
12.204,1,980000,B,5,1027301.033
12.518,1,1020000,B,5,1027301.033
120.148,1,900000,B,5,956503.379
120.844,1,900000,B,5,956503.379
121.312,1,910000,B,5,956503.379
121.415,0,,J,,951747.814
121.75,1,970000,S,5,951747.814
125.302,1,990000,S,5,951747.814
125.395,0,,J,,989383.012
127.768,1,970000,B,5,989383.012
129.134,1,990000,B,5,989383.012
129.134,1,1020000,S,5,989383.012
129.29,1,1000000,S,5,989383.012
129.492,1,980000,B,5,989383.012
13.029,1,1000000,B,5,1027301.033
13.67,1,1000000,B,5,1027301.033
130.653,1,980000,B,5,989383.012
130.815,1,930000,B,5,989383.012
131.19,1,1060000,S,5,989383.012
132.077,1,1000000,S,5,989383.012
132.104,1,1000000,S,5,989383.012
132.489,1,1040000,S,5,989383.012
133.466,1,1010000,S,5,989383.012
135.17,1,1020000,B,5,989383.012
135.829,1,1040000,S,5,989383.012
136.271,1,950000,B,5,989383.012
138.58,1,1020000,S,5,989383.012
138.886,1,930000,B,5,989383.012
139.268,1,990000,S,5,989383.012
139.549,1,980000,B,5,989383.012
139.721,1,1020000,S,5,989383.012
140.852,1,1050000,S,5,989383.012
141.432,1,990000,S,5,989383.012
142.365,1,960000,B,5,989383.012
142.41,0,,J,,981869.758
142.668,0,,J,,961450.888
143.823,1,970000,B,5,961450.888
146.99,1,930000,B,5,961450.888
148.241,1,1030000,S,5,961450.888
149.924,1,990000,S,5,961450.888
150.039,1,930000,S,5,961450.888
150.068,0,,J,,955459.184
150.083,0,,J,,992456.683
150.334,1,910000,B,5,992456.683
150.746,1,930000,B,5,992456.683
151.18,1,1010000,S,5,992456.683
151.19,1,950000,B,5,992456.683
151.941,1,950000,B,5,992456.683
152.706,0,,J,,961625.728
153.916,1,970000,B,5,961625.728
154.615,1,930000,B,5,961625.728
154.991,1,940000,B,5,961625.728
155.22,1,970000,S,5,961625.728
157.401,0,,J,,1027806.581
157.54,1,1010000,S,5,1027806.581
158.218,1,1020000,B,5,1027806.581
158.88,1,1040000,B,5,1027806.581
159.366,1,1000000,S,5,1027806.581
159.536,1,1050000,B,5,1027806.581
160.436,1,980000,B,5,1027806.581
160.61,1,980000,B,5,1027806.581
160.701,1,1000000,S,5,1027806.581
161.468,1,1070000,B,5,1027806.581
161.531,1,980000,B,5,1027806.581
161.727,1,1030000,B,5,1027806.581
162.666,1,1100000,S,5,1027806.581
162.975,1,1000000,S,5,1027806.581
164.142,1,1040000,B,5,1027806.581
164.422,1,1070000,S,5,1027806.581
164.427,1,990000,B,5,1027806.581
165.443,1,1000000,B,5,1027806.581
165.841,1,1010000,B,5,1027806.581
166.251,1,1060000,B,5,1027806.581
166.608,1,980000,B,5,1027806.581
166.904,0,,J,,1056145.911
169.814,1,1080000,S,5,1056145.911
17.233,1,1010000,B,5,1027301.033
17.241,1,990000,B,5,1027301.033
17.806,1,1010000,B,5,1027301.033
170.519,1,1110000,S,5,1056145.911
170.721,1,1060000,S,5,1056145.911
171.074,1,1060000,S,5,1056145.911
171.142,1,1090000,S,5,1056145.911
171.979,1,1030000,B,5,1056145.911
172.889,1,1050000,S,5,1056145.911
173.115,1,1090000,S,5,1056145.911
173.972,1,1000000,B,5,1056145.911
174.335,1,1040000,B,5,1056145.911
175.526,1,1050000,S,5,1056145.911
175.737,1,1070000,S,5,1056145.911
176.166,1,1080000,S,5,1056145.911
176.291,1,1030000,B,5,1056145.911
177.599,1,1060000,B,5,1056145.911
178.589,1,1060000,S,5,1056145.911
18.144,1,1090000,S,5,1027301.033
18.509,1,1040000,S,5,1027301.033
180.618,1,1000000,B,5,1056145.911
182.676,1,1080000,S,5,1056145.911
183.334,1,1050000,B,5,1056145.911
183.655,1,1110000,S,5,1056145.911
183.948,1,1070000,S,5,1056145.911
184.781,1,1000000,B,5,1056145.911
185.833,0,,J,,1020336.304
186.03,1,1050000,S,5,1020336.304
186.125,1,1020000,B,5,1020336.304
188.302,1,1020000,B,5,1020336.304
188.344,1,1050000,S,5,1020336.304
188.81,1,1050000,S,5,1020336.304
189.195,1,1020000,S,5,1020336.304
189.237,0,,J,,1075436.331
189.559,1,1140000,S,5,1075436.331
