arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.183,1,1020000,B,5,1067343.499
1.603,1,1090000,B,5,1067343.499
4.476,1,1050000,S,5,1027301.033
4.606,1,1070000,S,5,1027301.033
4.735,1,970000,B,5,1027301.033
5.001,1,1060000,S,5,1027301.033
7.319,1,1000000,B,5,1027301.033
8.628,1,1030000,B,5,1027301.033
9.805,1,970000,B,5,1027301.033
9.952,1,1100000,S,5,1027301.033
11.047,1,1030000,S,5,1027301.033
12.204,1,1000000,B,5,1027301.033
12.518,1,1040000,S,5,1027301.033
13.67,1,1080000,B,5,1027301.033
17.233,1,1100000,S,5,1027301.033
17.241,1,1060000,S,5,1027301.033
18.509,1,990000,B,5,1027301.033
19.352,1,950000,B,5,1027301.033
19.905,1,1060000,S,5,1027301.033
20.093,1,1070000,S,5,1027301.033
20.679,1,1030000,B,5,1027301.033
24.153,1,980000,B,5,1027301.033
24.479,1,1050000,B,5,1027301.033
25.235,1,990000,B,5,1027301.033
26.322,1,980000,B,5,1027301.033
26.533,1,1010000,B,5,1027301.033
28.657,1,1010000,S,5,1027301.033
29.582,1,1010000,S,5,1027301.033
32.218,1,1080000,S,5,1027301.033
32.296,1,990000,B,5,1027301.033
32.88,1,1010000,S,5,1027301.033
35.55,1,1070000,S,5,1027301.033
38.637,1,1010000,B,5,1027301.033
39.19,1,1090000,S,5,1027301.033
39.572,1,1020000,B,5,1027301.033
40.049,1,960000,B,5,1027301.033
40.645,1,970000,B,5,1027301.033
41.417,1,1080000,S,5,1027301.033
43.888,1,950000,B,5,1027301.033
46.079,1,1040000,B,5,1030595.166
47.097,1,1060000,S,5,1030595.166
47.227,1,1050000,S,5,1030595.166
47.393,1,1100000,S,5,1030595.166
48.446,1,1070000,B,5,1030595.166
51.397,1,1020000,B,5,1069620.427
51.734,1,1100000,S,5,1069620.427
54.294,1,1000000,B,5,1069620.427
54.91,1,1110000,B,5,1069620.427
57.526,1,1070000,S,5,1069620.427
61.888,1,1100000,S,5,1036882.479
62.27,1,1060000,S,5,1036882.479
62.409,1,990000,B,5,1036882.479
64.077,1,970000,B,5,1036882.479
66.566,1,1070000,S,5,1036882.479
66.675,1,1050000,B,5,1036882.479
67.417,1,1000000,B,5,1036882.479
68.348,1,970000,B,5,1036882.479
68.655,1,1080000,S,5,1036882.479
69.262,1,1020000,B,5,1036882.479
71.105,1,1030000,S,5,1036882.479
72.258,1,970000,B,5,1036882.479
73.467,1,980000,B,5,1036882.479
74.066,1,1100000,S,5,1036882.479
74.067,1,980000,B,5,1036882.479
74.553,1,1010000,S,5,1036882.479
74.588,1,1010000,B,5,1036882.479
75.497,1,1040000,B,5,1036882.479
83.401,1,1000000,B,5,1036882.479
83.631,1,990000,B,5,1036882.479
83.799,1,1070000,S,5,1036882.479
84.458,1,1070000,S,5,1036882.479
85.037,1,1060000,B,5,1036882.479
85.309,1,1040000,S,5,1036882.479
85.582,1,1050000,S,5,1036882.479
86.744,1,1040000,S,5,1036882.479
87.696,1,1050000,S,5,1036882.479
88.649,1,990000,S,5,980278.69
88.694,1,1030000,S,5,980278.69
90.752,1,960000,B,5,980278.69
91.497,1,1010000,B,5,980278.69
91.628,1,990000,B,5,980278.69
93.586,1,1010000,S,5,980278.69
93.891,1,1000000,S,5,980278.69
96.478,1,1020000,S,5,980278.69
98.655,1,980000,S,5,980278.69
99.154,1,1000000,S,5,980278.69
100.923,1,960000,B,5,980278.69
101.925,1,970000,B,5,980278.69
102.155,1,1060000,S,5,980278.69
102.239,1,940000,B,5,980278.69
102.994,1,970000,S,5,980278.69
103.191,1,990000,S,5,980278.69
104.329,1,1050000,S,5,980278.69
105.81,1,980000,S,5,980278.69
107.397,1,1010000,S,5,980278.69
108.424,1,960000,B,5,964395.221
108.664,1,990000,S,5,964395.221
108.992,1,1010000,S,5,964395.221
109.316,1,900000,B,5,964395.221
110.8,1,890000,B,5,964395.221
111.425,1,950000,S,5,964395.221
111.771,1,990000,B,5,964395.221
112.259,1,1050000,S,5,956503.379
112.287,1,970000,S,5,956503.379
113.242,1,940000,S,5,956503.379
113.865,1,970000,S,5,956503.379
114.239,1,990000,B,5,956503.379
115.124,1,930000,B,5,956503.379
116.145,1,940000,B,5,956503.379
116.324,1,950000,B,5,956503.379
117.951,1,900000,B,5,956503.379
118.719,1,950000,B,5,956503.379
120.844,1,1010000,B,5,956503.379
121.312,1,920000,B,5,956503.379
121.75,1,1010000,S,5,951747.814
125.302,1,920000,S,5,951747.814
129.134,1,1000000,B,5,989383.012
129.134,1,1010000,S,5,989383.012
129.29,1,980000,S,5,989383.012
129.492,1,990000,S,5,989383.012
130.653,1,990000,B,5,989383.012
130.815,1,1010000,B,5,989383.012
132.104,1,950000,B,5,989383.012
133.466,1,1010000,B,5,989383.012
135.17,1,960000,S,5,989383.012
135.829,1,990000,B,5,989383.012
136.271,1,1020000,S,5,989383.012
138.886,1,1080000,S,5,989383.012
139.268,1,1010000,B,5,989383.012
139.549,1,1000000,S,5,989383.012
139.721,1,1060000,S,5,989383.012
140.852,1,990000,B,5,989383.012
141.432,1,980000,S,5,989383.012
142.365,1,1000000,B,5,989383.012
