arrival_time,price
12.518,1010000
19.352,1040000
24.479,1030000
27.263,1020000
35.55,1020000
47.393,1040000
48.446,1030000
54.91,1050000
66.566,1080000
68.655,1060000
74.553,1050000
84.458,990000
86.744,1030000
88.36,1000000
94.868,1000000
103.414,970000
107.397,970000
109.316,970000
113.242,970000
114.239,930000
135.17,1000000
151.19,930000
158.218,970000
158.88,1010000
159.536,1000000
161.468,1000000
162.975,1030000
177.599,1050000
191.272,1020000
192.272,1050000
197.703,1080000
204.968,1090000
220.277,1100000
227.105,1000000
235.991,1030000
237.792,1090000
