arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.776,1,690000,S,5,652370.39
1.171,1,690000,B,5,652370.39
1.367,1,620000,B,5,652370.39
1.643,1,600000,B,5,652370.39
1.663,1,720000,S,5,652370.39
1.971,1,680000,S,5,652370.39
10.239,1,680000,S,5,652370.39
10.561,1,630000,B,5,652370.39
10.566,1,640000,B,5,652370.39
10.815,1,640000,B,5,652370.39
10.829,1,640000,S,5,652370.39
10.97,1,630000,S,5,652370.39
100.227,1,1190000,S,5,1178444.213
100.641,1,1210000,S,5,1178444.213
100.866,1,1110000,B,5,1178444.213
101.258,1,1140000,B,5,1178444.213
101.303,1,1190000,S,5,1178444.213
101.45,0,,J,,1137693.199
101.795,1,1110000,B,5,1137693.199
102.481,1,1100000,B,5,1137693.199
102.752,1,1100000,B,5,1137693.199
103.159,1,1150000,S,5,1137693.199
103.224,1,1130000,B,5,1137693.199
103.243,1,1150000,S,5,1137693.199
103.248,1,1110000,S,5,1137693.199
103.254,1,1170000,S,5,1137693.199
103.275,1,1180000,S,5,1137693.199
103.485,1,1100000,B,5,1137693.199
103.745,0,,J,,1103482.895
103.751,1,1140000,S,5,1103482.895
103.878,1,1120000,S,5,1103482.895
104.386,1,1210000,S,5,1103482.895
104.429,1,1060000,B,5,1103482.895
104.451,1,1150000,S,5,1103482.895
104.918,1,1140000,S,5,1103482.895
105.842,1,1060000,B,5,1103482.895
105.901,1,1060000,B,5,1103482.895
106.011,1,1070000,S,5,1103482.895
107.442,1,1160000,S,5,1103482.895
107.607,1,1100000,B,5,1103482.895
107.909,1,1130000,B,5,1103482.895
108.066,1,1060000,B,5,1103482.895
108.484,1,1040000,B,5,1103482.895
108.824,1,1100000,B,5,1103482.895
108.854,1,1110000,B,5,1103482.895
109.028,1,1060000,B,5,1103482.895
109.216,0,,J,,1024386.618
109.295,1,1000000,B,5,1024386.618
109.709,1,1020000,S,5,1024386.618
109.921,1,1000000,B,5,1024386.618
11.19,1,640000,B,5,652370.39
11.255,1,600000,B,5,652370.39
11.278,1,560000,B,5,652370.39
11.581,1,620000,B,5,652370.39
11.796,1,710000,S,5,652370.39
11.984,1,690000,S,5,652370.39
110.187,1,1090000,S,5,1024386.618
110.63,1,1020000,S,5,1024386.618
110.815,1,970000,B,5,1024386.618
111.146,1,1000000,S,5,1024386.618
111.571,1,1100000,S,5,1024386.618
112.157,1,1020000,S,5,1024386.618
112.691,1,1020000,S,5,1024386.618
112.773,1,1030000,S,5,1024386.618
112.875,1,1050000,S,5,1024386.618
113.352,1,1060000,S,5,1024386.618
113.454,1,1050000,S,5,1024386.618
113.64,1,1010000,B,5,1024386.618
113.73,0,,J,,1010221.441
114.232,1,1030000,S,5,1010221.441
114.313,1,980000,B,5,1010221.441
114.532,1,1020000,B,5,1010221.441
114.982,1,960000,B,5,1010221.441
115.317,1,1020000,B,5,1010221.441
115.489,1,990000,B,5,1010221.441
115.834,1,940000,B,5,1010221.441
116.079,1,1040000,S,5,1010221.441
116.711,1,980000,S,5,1010221.441
116.912,1,980000,B,5,1010221.441
117.14,1,1110000,S,5,1010221.441
117.63,1,930000,B,5,1010221.441
117.978,1,1040000,S,5,1010221.441
117.998,1,1010000,S,5,1010221.441
118.093,1,1050000,S,5,1010221.441
118.372,1,980000,S,5,1010221.441
118.568,1,980000,B,5,1010221.441
118.656,1,1050000,S,5,1010221.441
118.703,1,960000,B,5,1010221.441
119.03,1,1020000,S,5,1010221.441
119.198,1,1070000,B,5,1010221.441
119.387,1,1040000,S,5,1010221.441
119.624,0,,J,,970482.036
119.671,1,930000,B,5,970482.036
119.845,1,1030000,S,5,970482.036
12.401,1,700000,S,5,652370.39
120.272,1,920000,S,5,970482.036
120.31,1,970000,B,5,970482.036
120.987,1,970000,B,5,970482.036
121.346,1,950000,B,5,970482.036
121.966,1,930000,B,5,970482.036
