arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.606,1,0,B,5,-139308.865
0.721,1,0,B,5,-139308.865
1.151,1,0,B,5,-139308.865
1.263,1,0,B,5,-139308.865
1.605,1,0,S,5,-139308.865
2.141,1,0,S,5,-139308.865
2.848,1,0,B,5,-139308.865
3.621,1,0,B,5,-139308.865
3.742,1,0,B,5,-139308.865
3.954,1,0,B,5,-139308.865
4.342,1,0,B,5,-139308.865
4.658,1,0,S,5,-139308.865
5.155,1,0,S,5,-139308.865
6.672,1,0,S,5,-139308.865
7.15,1,0,S,5,-139308.865
7.745,1,0,S,5,-139308.865
8.056,1,0,B,5,-139308.865
8.179,1,0,S,5,-139308.865
11.875,1,1120000,S,5,1081339.905
12.85,1,1070000,B,5,1081339.905
13.024,1,1090000,S,5,1081339.905
13.452,1,1140000,S,5,1081339.905
13.856,1,1060000,B,5,1081339.905
15.782,1,1120000,S,5,1081339.905
15.914,1,1100000,B,5,1081339.905
16.043,1,1130000,S,5,1081339.905
16.121,1,1030000,B,5,1081339.905
16.125,1,1100000,S,5,1081339.905
16.416,1,1110000,S,5,1081339.905
16.682,1,1050000,B,5,1081339.905
16.807,1,1100000,B,5,1081339.905
16.833,1,1120000,B,5,1081339.905
17.492,1,1100000,B,5,1081339.905
18.376,1,1070000,S,5,1046902.38
18.407,1,1080000,S,5,1046902.38
18.634,1,1070000,S,5,1046902.38
18.678,1,1050000,B,5,1046902.38
18.769,1,1040000,S,5,1046902.38
19.75,1,1030000,S,5,1046902.38
19.99,1,1050000,S,5,1046902.38
20.16,1,1000000,B,5,1046902.38
20.433,1,1050000,B,5,1046902.38
21.263,1,1030000,S,5,1046902.38
21.48,1,1040000,B,5,1046902.38
21.624,1,1070000,S,5,1046902.38
22.071,1,1010000,B,5,1046902.38
22.297,1,1070000,S,5,1046902.38
22.44,1,1050000,S,5,1046902.38
23.191,1,1030000,B,5,1046902.38
23.362,1,1050000,B,5,1046902.38
25.061,1,1070000,B,5,1046902.38
26.374,1,910000,B,5,950889.142
26.454,1,910000,B,5,950889.142
27.833,1,970000,S,5,950889.142
28.229,1,900000,B,5,950889.142
28.774,1,950000,B,5,950889.142
28.782,1,930000,B,5,950889.142
30.268,1,1020000,S,5,950889.142
30.878,1,940000,B,5,950889.142
31.535,1,860000,S,5,862621.241
31.841,1,870000,B,5,862621.241
32.172,1,860000,S,5,862621.241
33.058,1,920000,S,5,862621.241
33.105,1,910000,S,5,862621.241
33.133,1,800000,B,5,862621.241
33.729,1,880000,B,5,862621.241
35.812,1,850000,B,5,862621.241
36.768,1,870000,S,5,862621.241
36.966,1,850000,B,5,862621.241
37.73,1,880000,S,5,862621.241
37.851,1,850000,B,5,862621.241
38.006,1,850000,S,5,862621.241
38.171,1,880000,B,5,862621.241
38.809,1,830000,B,5,862621.241
39.504,1,890000,B,5,862621.241
39.702,1,850000,B,5,862621.241
39.96,1,840000,B,5,862621.241
40.04,1,820000,B,5,862621.241
41.884,1,880000,S,5,893177.449
42.011,1,890000,B,5,893177.449
42.146,1,840000,B,5,893177.449
43.484,1,840000,S,5,804979.204
43.858,1,820000,B,5,804979.204
44.071,1,860000,S,5,804979.204
44.453,1,750000,B,5,804979.204
45.215,1,780000,S,5,804979.204
45.241,1,830000,S,5,804979.204
45.921,1,770000,B,5,804979.204
47.787,1,770000,B,5,804979.204
48.923,1,850000,S,5,804979.204
49.447,1,850000,S,5,804979.204
50.325,1,770000,S,5,804979.204
51.973,1,860000,S,5,804979.204
52.885,1,790000,B,5,804979.204
53.913,1,840000,S,5,804979.204
54.212,1,830000,B,5,804979.204
54.258,1,840000,S,5,804979.204
54.33,1,820000,S,5,804979.204
54.334,1,830000,S,5,804979.204
54.619,1,800000,B,5,804979.204
55.059,1,740000,S,5,804979.204
55.712,1,790000,B,5,804979.204
55.726,1,760000,B,5,804979.204
56.047,1,830000,S,5,804979.204
56.076,1,790000,B,5,804979.204
56.606,1,780000,B,5,804979.204
58.034,1,780000,B,5,804979.204
58.824,1,720000,S,5,706705.303
60.268,1,720000,S,5,706705.303
60.651,1,730000,B,5,706705.303
61.98,1,730000,S,5,706705.303
62.133,1,700000,B,5,729578.215
62.927,1,770000,S,5,729578.215
63.547,1,710000,S,5,729578.215
63.605,1,650000,B,5,729578.215
63.711,1,740000,S,5,729578.215
63.753,1,720000,S,5,729578.215
65.331,1,780000,S,5,729578.215
65.578,1,730000,B,5,729578.215
65.939,1,750000,S,5,729578.215
65.947,1,710000,B,5,729578.215
66.369,1,730000,B,5,729578.215
66.522,1,730000,S,5,729578.215
66.883,1,760000,S,5,729578.215
68.039,1,740000,S,5,729578.215
68.575,1,810000,S,5,729578.215
68.905,1,730000,B,5,729578.215
69.02,1,710000,B,5,729578.215
69.845,1,690000,B,5,704322.888
70.603,1,740000,S,5,704322.888
71.154,1,680000,B,5,704322.888
71.494,1,710000,B,5,703835.097
71.535,1,770000,S,5,703835.097
