arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.092,1,890000,B,5,939086.004
0.209,1,910000,B,5,939086.004
0.305,1,880000,B,5,939086.004
0.364,1,930000,B,5,939086.004
0.39,1,970000,S,5,939086.004
0.619,1,920000,B,5,939086.004
1.265,1,880000,B,5,939086.004
1.338,1,880000,B,5,939086.004
10.238,1,890000,S,5,867771.61
10.316,1,830000,B,5,867771.61
101.535,1,1000000,S,5,953224.459
101.589,1,960000,S,5,953224.459
102.287,1,930000,B,5,953224.459
102.378,0,,J,,867589.206
102.403,1,850000,B,5,867589.206
102.451,1,940000,S,5,867589.206
102.475,1,880000,S,5,867589.206
103.147,1,770000,B,5,867589.206
103.169,1,890000,B,5,867589.206
103.301,1,860000,B,5,867589.206
103.384,1,850000,B,5,867589.206
103.497,1,840000,B,5,867589.206
104.04,1,770000,B,5,867589.206
105.55,1,830000,B,5,867589.206
107.169,1,920000,S,5,867589.206
107.339,1,900000,B,5,867589.206
107.895,1,790000,B,5,867589.206
108.449,1,840000,B,5,867589.206
108.923,1,830000,B,5,867589.206
109.222,1,840000,B,5,867589.206
109.883,1,880000,S,5,867589.206
11.009,1,880000,B,5,867771.61
11.55,1,890000,S,5,867771.61
110.127,1,880000,B,5,867589.206
110.484,1,910000,S,5,867589.206
111.297,1,870000,B,5,867589.206
111.316,1,830000,B,5,867589.206
112.136,1,920000,S,5,867589.206
112.988,1,900000,S,5,867589.206
113.409,0,,J,,771151.749
113.569,1,770000,S,5,771151.749
113.589,1,740000,B,5,771151.749
115.122,1,780000,B,5,771151.749
115.339,1,830000,B,5,771151.749
115.392,1,750000,B,5,771151.749
115.876,1,760000,S,5,771151.749
116.246,1,820000,S,5,771151.749
116.276,1,800000,S,5,771151.749
116.37,1,770000,B,5,771151.749
116.414,1,730000,B,5,771151.749
116.929,1,820000,S,5,771151.749
117.595,1,850000,S,5,771151.749
117.863,1,780000,B,5,771151.749
118.193,1,770000,S,5,771151.749
119.196,1,770000,S,5,771151.749
119.642,1,790000,S,5,771151.749
119.918,1,740000,B,5,771151.749
12.232,1,880000,S,5,867771.61
12.504,1,900000,B,5,867771.61
12.534,1,890000,S,5,867771.61
12.647,1,940000,S,5,867771.61
120.002,1,710000,B,5,771151.749
120.403,1,800000,B,5,771151.749
120.551,1,860000,S,5,771151.749
122.47,1,800000,S,5,771151.749
122.726,1,760000,B,5,771151.749
123.053,1,720000,B,5,771151.749
123.372,1,780000,S,5,771151.749
