arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force,fundamental_value
0.092,1,980000,S,5,939086.004
0.305,1,890000,B,5,939086.004
0.364,1,900000,B,5,939086.004
0.619,1,960000,S,5,939086.004
1.265,1,940000,S,5,939086.004
2.742,1,920000,B,5,939086.004
2.857,1,990000,S,5,939086.004
3.197,1,930000,S,5,939086.004
3.346,1,820000,B,5,863010.451
3.534,1,870000,B,5,863010.451
4.608,1,890000,S,5,863010.451
4.912,1,890000,S,5,863010.451
5.619,1,810000,B,5,863010.451
6.205,1,900000,S,5,863010.451
6.379,1,850000,B,5,863010.451
8.6,1,840000,B,5,863010.451
11.55,1,790000,B,5,867771.61
12.232,1,830000,B,5,867771.61
12.534,1,910000,S,5,867771.61
12.647,1,830000,B,5,867771.61
13.084,1,890000,S,5,867771.61
13.135,1,810000,B,5,867771.61
13.181,1,850000,B,5,867771.61
15.009,1,800000,B,5,867771.61
17.033,1,830000,S,5,867771.61
17.724,1,880000,B,5,867771.61
18.17,1,860000,B,5,867771.61
18.275,1,920000,S,5,867771.61
20.432,1,880000,S,5,867771.61
20.614,1,950000,S,5,867771.61
20.76,1,880000,B,5,867771.61
20.793,1,900000,S,5,867771.61
20.869,1,850000,B,5,867771.61
21.249,1,910000,S,5,867771.61
21.304,1,800000,B,5,867771.61
21.419,1,880000,B,5,867771.61
21.692,1,930000,S,5,867771.61
21.771,1,910000,S,5,867771.61
22.343,1,760000,S,5,763106.639
22.517,1,800000,S,5,763106.639
22.791,1,780000,S,5,763106.639
23.908,1,750000,S,5,763106.639
23.991,1,780000,S,5,763106.639
24.019,1,720000,B,5,763106.639
24.871,1,810000,S,5,763106.639
25.066,1,780000,B,5,763106.639
25.736,1,780000,B,5,763106.639
25.872,1,690000,B,5,763106.639
26.456,1,800000,B,5,763106.639
27.428,1,820000,S,5,763106.639
27.872,1,710000,B,5,763106.639
28.998,1,750000,B,5,763106.639
29.143,1,770000,S,5,763106.639
29.52,1,730000,B,5,763106.639
29.564,1,730000,B,5,763106.639
29.981,1,750000,S,5,763106.639
30.101,1,710000,B,5,763106.639
30.275,1,770000,B,5,763106.639
30.719,1,820000,S,5,763106.639
30.761,1,750000,S,5,763106.639
31.197,1,760000,B,5,763106.639
31.4,1,790000,S,5,763106.639
31.71,1,790000,S,5,763106.639
32.01,1,720000,B,5,763106.639
32.235,1,770000,S,5,763106.639
32.279,1,800000,S,5,763106.639
33.323,1,750000,S,5,763003.735
33.749,1,820000,S,5,763003.735
33.898,1,780000,S,5,763003.735
34.23,1,810000,B,5,763003.735
35.375,1,790000,S,5,763003.735
35.715,1,810000,S,5,763003.735
35.835,1,750000,S,5,763003.735
35.937,1,750000,S,5,763003.735
35.959,1,750000,B,5,763003.735
36.709,1,720000,S,5,763003.735
36.729,1,760000,B,5,763003.735
36.941,1,810000,S,5,763003.735
37.454,1,720000,B,5,763003.735
38.593,1,780000,B,5,763003.735
38.945,1,740000,B,5,763003.735
39.225,1,740000,B,5,763003.735
39.526,1,750000,B,5,763003.735
39.533,1,730000,B,5,763003.735
40.699,1,750000,S,5,763003.735
40.936,1,730000,S,5,763003.735
41.103,1,810000,S,5,763003.735
43.459,1,790000,S,5,763003.735
44.008,1,710000,B,5,763003.735
44.551,1,860000,S,5,763003.735
45.122,1,710000,S,5,763003.735
45.439,1,750000,B,5,763003.735
45.901,1,880000,B,5,863887.49
45.998,1,830000,B,5,863887.49
46.113,1,930000,S,5,863887.49
46.409,1,880000,S,5,863887.49
46.431,1,900000,S,5,863887.49
46.558,1,890000,B,5,863887.49
46.983,1,900000,S,5,863887.49
48.95,1,890000,S,5,863887.49
49.119,1,860000,B,5,863887.49
49.953,1,880000,S,5,863887.49
50.41,1,920000,S,5,863887.49
51.456,1,860000,B,5,863887.49
54.018,1,820000,B,5,863887.49
54.189,1,940000,S,5,863887.49
54.326,1,860000,S,5,863887.49
55.062,1,920000,S,5,863887.49
55.084,1,850000,B,5,863887.49
55.818,1,860000,B,5,863887.49
56.14,1,870000,S,5,863887.49
56.607,1,910000,S,5,863887.49
57.253,1,840000,S,5,863887.49
57.27,1,840000,S,5,863887.49
58.522,1,880000,S,5,863887.49
59.809,1,910000,S,5,863887.49
59.962,1,900000,S,5,863887.49
60.006,1,930000,S,5,863887.49
61.326,1,910000,S,5,848981.57
61.461,1,870000,S,5,848981.57
61.707,1,810000,S,5,848981.57
61.893,1,820000,B,5,848981.57
62.437,1,820000,B,5,848981.57
62.625,1,810000,B,5,848981.57
62.848,1,850000,S,5,848981.57
64.129,1,860000,B,5,848981.57
64.501,1,820000,S,5,848981.57
64.612,1,770000,B,5,848981.57
65.119,1,840000,B,5,848981.57
67.236,1,950000,S,5,963375.787
68.046,1,920000,S,5,900087.629
68.925,1,910000,B,5,900087.629
69.128,1,880000,S,5,900087.629
69.478,1,850000,B,5,900087.629
69.549,1,950000,S,5,900087.629
70.342,1,880000,B,5,900087.629
70.561,1,880000,B,5,900087.629
70.952,1,940000,S,5,900087.629
71.781,1,910000,B,5,900087.629
71.973,1,920000,S,5,900087.629
72.979,1,930000,S,5,900087.629
73.187,1,890000,B,5,900087.629
74.093,1,930000,S,5,900087.629
74.858,1,960000,S,5,900087.629
75.25,1,950000,S,5,900087.629
75.515,1,930000,B,5,900087.629
75.653,1,880000,B,5,900087.629
75.76,1,900000,B,5,900087.629
77.445,1,890000,S,5,900087.629
77.641,1,870000,B,5,900087.629
78.284,1,890000,B,5,900087.629
79.203,1,900000,S,5,900087.629
79.249,1,940000,S,5,900087.629
79.955,1,900000,S,5,900087.629
80.004,1,930000,S,5,900087.629
81.014,1,880000,S,5,900087.629
82.019,1,920000,S,5,900087.629
82.29,1,930000,S,5,900087.629
82.363,1,900000,S,5,900087.629
82.559,1,960000,S,5,900087.629
83.251,1,850000,B,5,900087.629
83.857,1,900000,S,5,900087.629
84.021,1,920000,S,5,900087.629
84.276,1,860000,B,5,900087.629
84.458,1,900000,B,5,900087.629
84.94,1,920000,S,5,900087.629
85.281,1,920000,S,5,900087.629
85.873,1,890000,B,5,900087.629
85.89,1,900000,S,5,900087.629
86.686,1,890000,B,5,900087.629
86.691,1,890000,S,5,900087.629
88.474,1,900000,S,5,900087.629
88.486,1,910000,B,5,900087.629
89.68,1,930000,S,5,900087.629
89.794,1,940000,S,5,900087.629
90.185,1,950000,S,5,900087.629
91.208,1,860000,B,5,900087.629
91.822,1,990000,S,5,900087.629
91.959,1,910000,B,5,900087.629
95.064,1,860000,B,5,876268.491
95.266,1,870000,S,5,876268.491
95.544,1,880000,S,5,876268.491
95.958,1,910000,S,5,876268.491
95.984,1,900000,S,5,876268.491
96.399,1,840000,S,5,876268.491
96.472,1,890000,S,5,876268.491
97.13,1,880000,S,5,876268.491
97.248,1,870000,B,5,876268.491
97.416,1,820000,S,5,876268.491
97.691,1,920000,S,5,876268.491
98.193,1,890000,B,5,876268.491
99.71,1,920000,B,5,953224.459
101.589,1,970000,S,5,953224.459
102.403,1,800000,B,5,867589.206
102.451,1,880000,B,5,867589.206
102.475,1,850000,B,5,867589.206
103.169,1,890000,B,5,867589.206
103.384,1,860000,S,5,867589.206
103.497,1,840000,B,5,867589.206
104.04,1,830000,B,5,867589.206
105.55,1,790000,B,5,867589.206
107.169,1,840000,B,5,867589.206
107.339,1,900000,S,5,867589.206
107.895,1,840000,B,5,867589.206
108.449,1,890000,B,5,867589.206
108.923,1,890000,S,5,867589.206
109.222,1,900000,B,5,867589.206
109.883,1,860000,B,5,867589.206
110.127,1,860000,S,5,867589.206
111.297,1,850000,S,5,867589.206
111.316,1,840000,B,5,867589.206
112.988,1,890000,S,5,867589.206
113.589,1,750000,B,5,771151.749
115.122,1,870000,S,5,771151.749
115.339,1,740000,B,5,771151.749
115.392,1,730000,B,5,771151.749
115.876,1,840000,S,5,771151.749
116.246,1,760000,B,5,771151.749
116.276,1,780000,B,5,771151.749
116.37,1,710000,B,5,771151.749
116.414,1,770000,B,5,771151.749
116.929,1,850000,S,5,771151.749
117.863,1,690000,B,5,771151.749
118.193,1,740000,B,5,771151.749
119.196,1,790000,S,5,771151.749
119.642,1,760000,S,5,771151.749
120.002,1,750000,B,5,771151.749
120.551,1,810000,S,5,771151.749
122.47,1,780000,S,5,771151.749
122.726,1,830000,S,5,771151.749
123.053,1,790000,S,5,771151.749
123.372,1,730000,B,5,771151.749
124.0,1,770000,S,5,771151.749
124.351,1,780000,S,5,771151.749
124.681,1,760000,B,5,771151.749
126.161,1,780000,B,5,771151.749
126.909,1,830000,S,5,771151.749
127.354,1,830000,S,5,771151.749
127.49,1,770000,S,5,771151.749
128.331,1,840000,S,5,771151.749
128.582,1,720000,B,5,771151.749
129.086,1,770000,B,5,771151.749
129.095,1,780000,S,5,771151.749
129.39,1,780000,S,5,771151.749
129.945,1,790000,S,5,771151.749
130.342,1,800000,S,5,771151.749
130.924,1,780000,B,5,771151.749
131.05,1,830000,S,5,771151.749
131.584,1,770000,B,5,771151.749
131.911,1,770000,S,5,771151.749
131.994,1,850000,S,5,771151.749
132.021,1,850000,S,5,771151.749
132.186,1,730000,B,5,771151.749
132.196,1,800000,S,5,771151.749
132.369,1,830000,S,5,771151.749
132.387,1,810000,S,5,771151.749
133.65,1,860000,S,5,822674.205
133.858,1,810000,B,5,822674.205
133.906,1,810000,B,5,822674.205
133.947,1,820000,S,5,822674.205
134.194,1,920000,S,5,822674.205
134.909,1,840000,S,5,822674.205
134.947,1,820000,B,5,822674.205
135.295,1,830000,S,5,822674.205
136.025,1,750000,B,5,822674.205
136.666,1,740000,B,5,822674.205
138.691,1,800000,B,5,822674.205
138.887,1,800000,B,5,822674.205
139.745,1,840000,S,5,822674.205
140.132,1,840000,S,5,822674.205
140.321,1,750000,B,5,822674.205
140.78,1,800000,S,5,822674.205
140.974,1,790000,S,5,822674.205
141.919,1,860000,S,5,822674.205
143.668,1,760000,B,5,822674.205
143.944,1,820000,B,5,822674.205
144.064,1,820000,S,5,822674.205
144.122,1,780000,B,5,822674.205
144.578,1,820000,B,5,822674.205
144.642,1,790000,S,5,822674.205
145.103,1,820000,S,5,822674.205
