arrival_time,price
4.409,570000
5.722,540000
5.751,550000
5.994,580000
9.215,1040000
10.366,1040000
11.944,1060000
12.704,1180000
12.763,1170000
15.707,1180000
21.822,1160000
23.631,1160000
25.247,1150000
25.905,1160000
27.638,1140000
28.195,1140000
31.16,1130000
32.507,1130000
34.038,1140000
37.899,1150000
40.99,1130000
45.773,1140000
48.006,1130000
48.978,1130000
51.556,1140000
52.014,1120000
52.321,1120000
53.673,1070000
55.35,1060000
57.203,1070000
59.621,1070000
65.758,1080000
66.676,1090000
67.264,1070000
68.165,1050000
69.849,930000
69.922,920000
71.059,920000
71.988,920000
72.235,940000
73.599,920000
74.259,920000
75.928,940000
76.529,920000
79.316,940000
87.366,920000
91.56,940000
93.185,950000
95.138,920000
96.465,910000
99.674,940000
100.849,920000
102.403,920000
103.048,920000
104.698,910000
104.968,910000
105.11,770000
108.136,760000
109.753,750000
109.98,760000
110.77,730000
110.983,750000
112.512,750000
114.004,720000
115.189,730000
115.314,770000
116.195,770000
116.791,780000
118.695,800000
121.314,810000
124.963,790000
125.468,790000
125.684,780000
127.447,770000
128.579,670000
132.356,650000
134.836,650000
138.134,590000
139.172,600000
144.495,590000
144.566,600000
146.464,610000
146.792,610000
149.179,580000
149.639,580000
151.358,540000
155.531,420000
155.696,390000
158.086,410000
159.695,410000
161.117,400000
161.638,420000
163.574,440000
165.893,450000
167.056,450000
167.418,470000
168.159,480000
168.279,510000
169.475,570000
180.797,630000
181.094,640000
181.268,680000
182.134,900000
184.232,870000
184.647,870000
185.278,860000
190.388,860000
190.529,830000
191.192,830000
191.833,830000
192.326,820000
193.177,790000
194.764,690000
197.644,670000
198.157,670000
203.515,660000
206.734,660000
211.414,670000
211.681,640000
211.705,610000
211.922,590000
214.537,580000
222.162,580000
225.597,560000
225.77,560000
227.566,540000
227.785,560000
229.531,550000
234.415,530000
235.126,540000
238.999,540000
