arrival_time,market_id_in_subsession,price,buy_sell_indicator,time_in_force
0.072,0,1210000,B,1
0.422,0,1000000,S,1
0.602,0,1030000,B,1
0.645,0,1030000,S,1
0.686,0,1030000,S,1
0.791,0,1070000,S,1
0.8,0,1010000,S,1
0.814,0,930000,B,1
0.883,0,1130000,S,1
0.948,0,1130000,B,1
0.991,0,1100000,B,1
1.014,0,1130000,S,1
1.058,0,1140000,S,1
1.06,0,1070000,B,1
1.194,0,1090000,B,1
1.238,0,1090000,S,1
1.261,0,1200000,S,1
1.27,0,1090000,B,1
1.322,0,1150000,B,1
1.35,0,1150000,B,1
1.506,0,1180000,S,1
1.523,0,1040000,B,1
1.822,0,1180000,S,1
1.901,0,1140000,S,1
2.078,0,1040000,S,1
2.116,0,1060000,B,1
2.124,0,1100000,S,1
2.213,0,1060000,B,1
2.258,0,990000,B,1
2.345,0,1060000,B,1
2.459,0,1160000,S,1
2.491,0,1080000,S,1
2.508,0,1100000,S,1
2.614,0,1030000,B,1
2.649,0,1090000,S,1
2.743,0,1120000,S,1
2.744,0,1100000,S,1
2.859,0,1080000,S,1
2.931,0,980000,B,1
2.967,0,1030000,S,1
3.005,0,1000000,B,1
3.136,0,1020000,B,1
3.153,0,1030000,S,1
3.182,0,1020000,S,1
3.222,0,960000,B,1
3.23,0,1100000,S,1
3.231,0,980000,S,1
3.248,0,1000000,B,1
3.261,0,1030000,S,1
3.333,0,1010000,S,1
3.345,0,980000,B,1
3.512,0,1000000,S,1
3.514,0,1030000,B,1
3.566,0,1060000,S,1
3.624,0,980000,S,1
3.706,0,1000000,S,1
3.777,0,990000,B,1
3.89,0,1120000,S,1
4.058,0,1070000,B,1
4.074,0,1120000,S,1
4.144,0,1120000,S,1
4.422,0,1120000,S,1
4.482,0,1130000,S,1
4.535,0,1140000,B,1
4.643,0,1110000,B,1
4.676,0,1150000,S,1
4.736,0,1110000,B,1
4.758,0,1120000,S,1
4.873,0,1060000,B,1
4.903,0,1070000,B,1
5.08,0,1020000,B,1
5.151,0,1140000,S,1
5.864,0,1170000,S,1
5.927,0,1100000,S,1
5.937,0,1070000,S,1
5.946,0,1030000,B,1
5.985,0,1070000,S,1
